Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3p54f,2[5/2],3p53d,1D°,1.0131e-07,9.8857e-15,2.2844e+05,1.5559e+06,1.7935e+05,0.0000e+00,4
3p54f,2[5/2],3p53d,1P°,1.6336e-09,1.0138e-19,2.2845e+05,2.3278e+06,2.0196e+05,0.0000e+00,2
3p54f,2[5/2],3p53d,3D°,6.1258e-08,1.0267e-14,2.2832e+05,1.2938e+06,1.8007e+05,2.5840e+05,9
3p54f,2[5/2],3p53d,3F°,7.1784e-08,1.0263e-14,2.2822e+05,1.3953e+06,1.7125e+05,1.4345e+05,5
3p54f,2[5/2],3p53d,3P°,9.7185e-09,8.0305e-17,2.2822e+05,1.3953e+06,1.6475e+05,5.7003e+04,5
3p54f,2[5/2],3p54s,3P°,1.3841e-07,3.5487e-14,2.2952e+05,1.0680e+02,1.6275e+05,1.7739e+05,3
3p54f,2[5/2],3p53d,1F°,4.4272e-08,1.9147e-15,2.2807e+05,1.5430e+06,1.8062e+05,1.2705e-21,3
3p54f,2[7/2],3p53d,1D°,1.2142e-09,6.9494e-20,2.2849e+05,2.0154e+06,1.7935e+05,0.0000e+00,2
3p54f,2[7/2],3p53d,1F°,1.0529e-08,6.2583e-17,2.2849e+05,1.3441e+06,1.8062e+05,0.0000e+00,4
3p54f,2[7/2],3p53d,3D°,1.2128e-06,1.6673e-12,2.2815e+05,1.3418e+06,1.8006e+05,3.3127e+05,3
3p54f,2[7/2],3p53d,3F°,2.7709e-09,1.4438e-18,2.2789e+05,8.0782e+05,1.7081e+05,2.7198e+05,5
3p55f,2[5/2],3p53d,3D°,1.8512e-08,8.2572e-16,2.3864e+05,1.3753e+06,1.8042e+05,9.4753e+02,5
3p55f,2[5/2],3p53d,3P°,4.9860e-08,5.3888e-15,2.3878e+05,1.5495e+06,1.6493e+05,0.0000e+00,3
3p55f,2[5/2],3p54s,3P°,2.9292e-07,7.5959e-14,2.3843e+05,2.3039e+06,1.6287e+05,2.6609e+05,2
