Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
4f5d,y 1F°,5d2,a 1G,8.4034e-07,,2.4523e+04,,7.4733e+03,,1
4f5d,y 1F°,5d2,a 3F,1.3671e-06,2.5492e-13,2.4523e+04,0.0000e+00,9.8535e+02,1.9418e+06,2
4f5d,y 1F°,5d6s,a 3D,8.0544e-07,7.2724e-13,2.4523e+04,0.0000e+00,2.9210e+03,2.1698e+05,2
4f5d,y 3F°,5d2,a 3F,3.9484e-06,1.1541e-11,1.8725e+04,3.1947e+05,1.0007e+03,6.4759e+05,4
4f5d,y 3F°,5d6s,a 3D,9.9415e-07,2.7359e-14,1.8725e+04,4.7920e+05,2.9210e+03,2.1698e+05,2
4f5d,z 1D°,5d2,a 3F,9.4340e-07,,1.8895e+04,,0.0000e+00,,1
4f5d,z 1D°,5d6s,a 3D,1.7544e-06,,1.8895e+04,,1.8952e+03,,1
4f5d,z 1H°,5d2,a 1G,1.2987e-07,,2.8526e+04,,7.4733e+03,,1
4f5d,z 3D°,5d2,a 3F,1.3566e-06,3.8855e-12,2.2232e+04,2.3001e+05,8.0058e+02,6.8598e+05,5
4f5d,z 3D°,5d6s,a 3D,3.2136e-07,1.1048e-13,2.1956e+04,1.8687e+05,2.5790e+03,3.6741e+05,6
4f5d,z 3G°,5d2,a 3F,9.4024e-07,1.2588e-12,2.1150e+04,6.1649e+05,1.1947e+03,6.7386e+05,5
4f5d,z 3P°,5d6s,a 3D,3.5245e-07,1.7673e-13,2.2918e+04,9.0474e+04,2.4448e+03,3.2406e+05,5
4f5d,z 3P°,5d2,a 3F,5.2910e-07,,2.3247e+04,,0.0000e+00,,1
4f5d,z 3P°,5d2,a 3P,2.4390e-06,,2.3247e+04,,5.7181e+03,,1
5d6p,x 3F°,5d2,a 3F,1.2851e-07,1.5566e-14,2.7596e+04,1.2839e+06,1.2548e+03,2.2782e+05,4
5d6p,x 3F°,5d6s,a 3D,1.8960e-08,1.2113e-16,2.7014e+04,7.9725e+05,2.7158e+03,3.1895e+05,5
5d6p,y 1D°,5d2,a 3F,1.4706e-08,,2.4463e+04,,0.0000e+00,,1
5d6p,y 1D°,5d6s,a 3D,3.3003e-08,,2.4463e+04,,1.8952e+03,,1
5d6p,y 3D°,5d2,a 3F,9.2912e-08,2.5709e-14,2.7498e+04,1.2241e+06,1.0007e+03,6.4759e+05,4
5d6p,y 3D°,5d2,a 3P,8.4154e-08,4.4832e-17,2.7226e+04,1.3909e+06,5.7317e+03,2.3912e+05,3
5d6p,y 3D°,5d6s,a 3D,4.0545e-08,1.3252e-15,2.7249e+04,9.3105e+05,2.5808e+03,3.0620e+05,7
5d6p,y 3D°,6s2,a 1S,1.7544e-07,,2.5973e+04,,7.3946e+03,,1
5d6p,y 3D°,5d2,a 1G,1.2048e-06,,2.8315e+04,,7.4733e+03,,1
5d6p,°,5d2,a 3F,2.3256e-08,,2.7424e+04,,0.0000e+00,,1
5d6p,°,5d2,a 3P,1.5311e-07,1.3387e-16,2.7424e+04,0.0000e+00,5.9728e+03,1.2969e+05,2
5d6p,°,5d6s,a 3D,9.5857e-08,1.0844e-14,2.7424e+04,0.0000e+00,2.2434e+03,2.4252e+05,2
5d6p,°,6s2,a 1S,1.4493e-07,,2.7424e+04,,7.3946e+03,,1
6s6p,y 3P°,5d2,a 3P,3.1949e-08,,2.7546e+04,,5.7181e+03,,1
