Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
1s2p,1P°,1s2,1S,3.9110e-11,,5.0181e+05,,0.0000e+00,,1
1s2p,1P°,1s2s,1S,1.9447e-07,,5.0181e+05,,4.9137e+05,,1
1s2p,1P°,1s2s,3S,2.6233e-02,,5.0181e+05,,4.7603e+05,,1
1s2p,3P°,1s2s,3S,4.4006e-08,5.3760e-23,4.9426e+05,7.3516e+00,4.7603e+05,0.0000e+00,3
1s2p,3P°,1s2s,1S,1.5430e+01,,4.9426e+05,,4.9137e+05,,1
1s2p,3P°,1s2,1S,2.8571e-02,,4.9426e+05,,0.0000e+00,,1
1s2s,3S,1s2,1S,4.9044e+01,,4.7603e+05,,0.0000e+00,,1
1s3d,1D,1s2,1S,1.2097e-05,,5.6127e+05,,0.0000e+00,,1
1s3d,1D,1s2p,1P°,9.9315e-10,,5.6127e+05,,5.0181e+05,,1
1s3d,1D,1s2p,3P°,6.7845e-06,1.9303e-11,5.6127e+05,0.0000e+00,4.9426e+05,2.5765e+00,2
1s3d,1D,1s2s,1S,2.1058e-04,,5.6127e+05,,4.9137e+05,,1
1s3d,1D,1s3p,3P°,6.5458e-02,1.8507e-03,5.6127e+05,0.0000e+00,5.5950e+05,5.7245e-01,2
1s3d,1D,1s3s,1S,3.7420e+02,,5.6127e+05,,5.5878e+05,,1
1s3d,3D,1s2p,3P°,6.9151e-09,1.5309e-16,5.6124e+05,3.1822e-01,4.9426e+05,3.9543e+00,6
1s3d,3D,1s3p,3P°,7.0440e-05,1.5885e-08,5.6124e+05,3.1822e-01,5.5950e+05,5.6871e-01,6
1s3d,3D,1s2p,1P°,2.9403e-06,,5.6124e+05,,5.0181e+05,,1
1s3p,1P°,1s2,1S,1.2882e-10,,5.6175e+05,,0.0000e+00,,1
1s3p,1P°,1s2p,1P°,6.6622e-04,,5.6175e+05,,5.0181e+05,,1
1s3p,1P°,1s2s,1S,3.5326e-09,,5.6175e+05,,4.9137e+05,,1
1s3p,1P°,1s3d,1D,2.6838e-04,,5.6175e+05,,5.6127e+05,,1
1s3p,1P°,1s3d,3D,7.7697e+02,1.2053e+06,5.6175e+05,0.0000e+00,5.6124e+05,6.6125e-01,2
1s3p,1P°,1s3s,1S,1.4030e-06,,5.6175e+05,,5.5878e+05,,1
1s3p,3P°,1s2s,3S,3.4520e-09,1.8932e-26,5.5950e+05,9.7263e-01,4.7603e+05,0.0000e+00,3
1s3p,3P°,1s3s,3S,3.8965e-07,0.0000e+00,5.5950e+05,9.7263e-01,5.5475e+05,0.0000e+00,3
1s3p,3P°,1s2,1S,8.3333e-02,,5.5950e+05,,0.0000e+00,,1
1s3s,1S,1s2p,1P°,4.8783e-09,,5.5878e+05,,5.0181e+05,,1
1s3s,3S,1s2p,3P°,1.6092e-08,1.8211e-16,5.5475e+05,0.0000e+00,4.9426e+05,7.3516e+00,3
