Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
2s22p2,1D,2s22p2,3P,6.3537e+05,1.2085e+12,1.5316e+04,4.9631e-24,5.9833e+01,4.3701e+03,3
2s22p2,1S,2s22p2,1D,8.7719e-01,,3.2689e+04,,1.5316e+04,,1
2s22p2,1S,2s22p2,3P,3.2415e+03,2.0609e+07,3.2689e+04,0.0000e+00,8.9750e+01,3.3702e+03,2
2s22p2,3P,2s22p2,3P,2.9762e+11,2.6573e+23,1.0343e+02,2.2468e+03,1.6233e+01,7.9056e+02,3
2s22p3d,1D°,2s22p2,1D,3.6496e-10,,1.8709e+05,,1.5316e+04,,1
2s22p3d,1D°,2s22p2,3P,7.1036e-06,9.5275e-11,1.8709e+05,0.0000e+00,8.9750e+01,3.3702e+03,2
2s22p3d,1D°,2s22p3p,1D,1.1779e-07,,1.8709e+05,,1.7421e+05,,1
2s22p3d,1D°,2s22p3p,1P,8.9286e-09,,1.8709e+05,,1.6461e+05,,1
2s22p3d,1D°,2s22p3p,3D,7.4797e-04,8.5571e-07,1.8709e+05,0.0000e+00,1.6659e+05,6.2629e+03,3
2s22p3d,1D°,2s22p3p,3P,8.7124e-05,1.3856e-08,1.8709e+05,0.0000e+00,1.7064e+05,1.7018e+03,2
2s22p3d,1D°,2s22p3p,3S,3.2154e-05,,1.8709e+05,,1.6889e+05,,1
2s22p3d,1F°,2s22p2,1D,2.6110e-10,,1.8934e+05,,1.5316e+04,,1
2s22p3d,1F°,2s22p2,3P,5.3763e-07,,1.8934e+05,,1.3080e+02,,1
2s22p3d,1F°,2s22p3p,1D,1.6639e-08,,1.8934e+05,,1.7421e+05,,1
2s22p3d,1F°,2s22p3p,3D,1.8025e-04,5.1875e-08,1.8934e+05,0.0000e+00,1.6663e+05,4.6263e+03,2
2s22p3d,1F°,2s22p3p,3P,1.4245e-04,,1.8934e+05,,1.7067e+05,,1
2s22p3d,1P°,2s22p2,1D,2.3585e-06,,1.9012e+05,,1.5316e+04,,1
2s22p3d,1P°,2s22p2,1S,3.8760e-10,,1.9012e+05,,3.2689e+04,,1
2s22p3d,1P°,2s22p2,3P,4.4625e-06,3.7049e-11,1.9012e+05,0.0000e+00,5.9833e+01,4.3701e+03,3
2s22p3d,1P°,2s22p3p,1D,2.1598e-07,,1.9012e+05,,1.7421e+05,,1
2s22p3d,1P°,2s22p3p,1P,1.3228e-08,,1.9012e+05,,1.6461e+05,,1
2s22p3d,1P°,2s22p3p,1S,5.2356e-08,,1.9012e+05,,1.7827e+05,,1
2s22p3d,1P°,2s22p3p,3D,5.1813e-06,,1.9012e+05,,1.6652e+05,,1
2s22p3d,1P°,2s22p3p,3P,1.6697e-04,1.8776e-08,1.9012e+05,0.0000e+00,1.7062e+05,2.2355e+03,3
2s22p3d,1P°,2s22p3p,3S,6.7114e-06,,1.9012e+05,,1.6889e+05,,1
2s22p3d,3D°,2s22p2,1S,6.9930e-07,,1.8744e+05,,3.2689e+04,,1
2s22p3d,3D°,2s22p2,3P,2.1810e-09,1.6628e-17,1.8745e+05,4.7185e+02,8.1633e+01,3.2171e+03,6
2s22p3d,3D°,2s22p3p,1D,2.3323e-04,6.8600e-08,1.8746e+05,7.4156e+02,1.7421e+05,0.0000e+00,3
2s22p3d,3D°,2s22p3p,1P,3.6333e-06,8.3928e-12,1.8745e+05,2.8800e+02,1.6461e+05,0.0000e+00,2
2s22p3d,3D°,2s22p3p,1S,3.2468e-04,,1.8744e+05,,1.7827e+05,,1
2s22p3d,3D°,2s22p3p,3D,1.8545e-07,3.3648e-14,1.8746e+05,4.9501e+02,1.6659e+05,4.1952e+03,7
2s22p3d,3D°,2s22p3p,3P,1.6236e-07,9.0634e-14,1.8745e+05,4.7185e+02,1.7063e+05,1.6402e+03,6
2s22p3d,3D°,2s22p3p,3S,3.8060e-06,2.4023e-12,1.8745e+05,2.8800e+02,1.6889e+05,0.0000e+00,2
2s22p3d,3D°,2s22p2,1D,3.9594e-07,2.0928e-13,1.8748e+05,4.6026e+02,1.5316e+04,0.0000e+00,2
2s22p3d,3F°,2s22p2,1D,2.3679e-07,7.5459e-14,1.8654e+05,1.7642e+03,1.5316e+04,0.0000e+00,2
2s22p3d,3F°,2s22p2,3P,2.1586e-07,3.5018e-14,1.8653e+05,1.1761e+03,1.0343e+02,2.2468e+03,3
2s22p3d,3F°,2s22p3p,1D,5.8514e-05,3.2798e-09,1.8654e+05,1.7642e+03,1.7421e+05,0.0000e+00,2
2s22p3d,3F°,2s22p3p,1P,6.0606e-07,,1.8651e+05,,1.6461e+05,,1
2s22p3d,3F°,2s22p3p,3D,4.8792e-07,1.2182e-12,1.8655e+05,3.1342e+03,1.6662e+05,4.5600e+03,6
2s22p3d,3F°,2s22p3p,3P,2.9931e-05,6.5438e-10,1.8653e+05,1.1761e+03,1.7065e+05,1.1345e+03,3
2s22p3d,3F°,2s22p3p,3S,2.0747e-02,,1.8651e+05,,1.6889e+05,,1
2s22p3d,3P°,2s22p2,3P,1.1341e-09,3.9857e-19,1.8890e+05,1.0407e+03,6.7950e+01,2.7258e+03,6
2s22p3d,3P°,2s22p3p,1P,2.6978e-03,2.1601e-05,1.8890e+05,1.6417e+03,1.6461e+05,0.0000e+00,3
2s22p3d,3P°,2s22p3p,3D,4.5762e-06,1.0277e-10,1.8889e+05,1.2271e+03,1.6657e+05,3.8185e+03,6
2s22p3d,3P°,2s22p3p,3P,8.6260e-08,3.5015e-15,1.8890e+05,1.0407e+03,1.7062e+05,1.3895e+03,6
2s22p3d,3P°,2s22p3p,3S,1.3950e-08,1.9807e-19,1.8890e+05,1.6417e+03,1.6889e+05,0.0000e+00,3
2s22p3d,3P°,2s22p2,1D,1.2003e-05,2.7348e-10,1.8888e+05,1.3416e+03,1.5316e+04,0.0000e+00,2
2s22p3d,3P°,2s22p2,1S,4.3478e-07,,1.8891e+05,,3.2689e+04,,1
2s22p3d,3P°,2s22p3p,1D,3.6973e-04,2.1723e-07,1.8888e+05,1.3416e+03,1.7421e+05,0.0000e+00,2
2s22p3d,3P°,2s22p3p,1S,9.6154e-05,,1.8891e+05,,1.7827e+05,,1
2s22p3p,1D,2s22p3s,1P°,8.1967e-09,,1.7421e+05,,1.4919e+05,,1
2s22p3p,1D,2s22p3s,3P°,6.4226e-05,8.2288e-09,1.7421e+05,0.0000e+00,1.4901e+05,9.2957e+03,2
2s22p3p,1D,2s2p3,1D°,4.9751e-07,,1.7421e+05,,1.4419e+05,,1
2s22p3p,1D,2s2p3,1P°,1.5773e-06,,1.7421e+05,,1.6677e+05,,1
2s22p3p,1D,2s2p3,3P°,6.2893e-04,,1.7421e+05,,1.0922e+05,,1
2s22p3p,1D,2s2p3,3S°,3.1646e-04,,1.7421e+05,,1.5513e+05,,1
2s22p3p,1P,2s22p3s,1P°,3.8760e-08,,1.6461e+05,,1.4919e+05,,1
2s22p3p,1P,2s22p3s,3P°,3.4691e-02,3.5976e-03,1.6461e+05,0.0000e+00,1.4898e+05,7.9649e+03,3
2s22p3p,1P,2s2p3,1D°,3.2895e-07,,1.6461e+05,,1.4419e+05,,1
2s22p3p,1P,2s2p3,3D°,3.8532e-02,2.9477e-03,1.6461e+05,0.0000e+00,9.2251e+04,1.1250e+00,2
2s22p3p,1P,2s2p3,3P°,2.0483e-04,2.1961e-08,1.6461e+05,0.0000e+00,1.0922e+05,1.3903e+01,3
2s22p3p,1P,2s2p3,3S°,2.3981e-03,,1.6461e+05,,1.5513e+05,,1
2s22p3p,1S,2s22p3s,1P°,5.2356e-09,,1.7827e+05,,1.4919e+05,,1
2s22p3p,1S,2s22p3s,3P°,5.2356e-08,,1.7827e+05,,1.4894e+05,,1
2s22p3p,1S,2s2p3,1P°,8.6207e-07,,1.7827e+05,,1.6677e+05,,1
