Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
4f35d2,4H°,4f46s,4I,2.9412e-07,,2.0830e+04,,1.6502e+03,,1
4f35d2,4H°,4f46s,6I,1.1236e-07,,2.0830e+04,,5.1333e+02,,1
4f35d2,4I°,4f46s,4I,1.9049e-07,6.5828e-18,2.1685e+04,2.0489e+06,2.3585e+03,1.0033e+06,2
4f35d2,4I°,4f46s,6I,3.3520e-07,8.2554e-15,2.2022e+04,1.3659e+06,8.3225e+02,3.0514e+05,3
4f35d2,4K°,4f46s,4I,2.1516e-07,2.4559e-16,2.1743e+04,1.3959e+06,2.3585e+03,1.0033e+06,2
4f35d2,4K°,4f46s,6I,9.4340e-07,,2.0907e+04,,5.1333e+02,,1
4f35d6s,6H°,4f46s,6I,1.0204e-07,,2.1241e+04,,0.0000e+00,,1
4f35d6s,°,4f46s,6I,9.4729e-08,3.9954e-15,2.7527e+04,2.3649e+06,3.0471e+03,3.4278e+06,3
4f35d6s,°,4f46s,4I,2.5907e-07,,2.6328e+04,,3.0668e+03,,1
4f46p,4H°,4f46s,4I,4.5872e-08,,2.8214e+04,,1.6502e+03,,1
4f46p,4H°,4f46s,6I,1.7857e-07,,2.8214e+04,,0.0000e+00,,1
4f46p,4I°,4f46s,4I,2.7433e-08,9.4766e-17,3.0256e+04,3.9099e+06,3.8038e+03,3.4812e+06,4
4f46p,4I°,4f46s,6I,7.8125e-08,,2.7921e+04,,1.4701e+03,,1
4f46p,4K°,4f46s,4I,5.1731e-08,2.1838e-16,2.9395e+04,3.6672e+06,3.8038e+03,3.4812e+06,4
4f46p,4K°,4f46s,6I,1.5270e-07,2.0906e-14,2.9395e+04,3.6672e+06,3.2358e+03,2.4277e+06,4
4f46p,6H°,4f46s,6I,5.1797e-08,1.3809e-15,2.7527e+04,1.8172e+06,1.3951e+03,2.3771e+06,6
4f46p,6H°,4f45d,6I,4.3478e-07,,2.9434e+04,,1.1373e+04,,1
4f46p,6H°,4f46s,4I,1.3333e-07,,2.6640e+04,,1.6502e+03,,1
4f46p,6I°,4f45d,6I,3.4093e-07,1.0842e-13,2.7526e+04,3.7949e+06,1.0194e+04,2.7675e+06,5
4f46p,6I°,4f45d,6K,1.2592e-07,1.2122e-15,2.7360e+04,4.6199e+06,8.4948e+03,5.0556e+06,5
4f46p,6I°,4f46s,4I,2.2415e-07,3.7239e-14,2.7313e+04,1.6413e+06,3.0741e+03,1.3655e+06,4
4f46p,6I°,4f46s,6I,1.2410e-07,4.7961e-14,2.7459e+04,3.2971e+06,2.1955e+03,3.4149e+06,13
4f46p,6K°,4f46s,4I,1.7784e-07,6.8805e-14,2.5706e+04,4.1423e+06,3.6564e+03,2.7195e+06,5
4f46p,6K°,4f46s,6I,5.0823e-08,1.8591e-15,2.6097e+04,4.9916e+06,2.4466e+03,3.3009e+06,11
4f46p,6K°,4f45d,6I,7.2245e-07,4.3763e-15,2.6972e+04,4.1891e+06,1.0366e+04,2.0313e+06,2
4f46p,6K°,4f45d,6K,1.2147e-07,1.0400e-15,2.6818e+04,6.8148e+06,8.9170e+03,4.2971e+06,5
4f46p,6K°,4f45d,6L,4.2915e-08,1.1768e-16,2.6818e+04,6.8148e+06,7.7254e+03,5.4705e+06,5
4f46p,°,4f45d,6K,1.8519e-07,,2.7449e+04,,9.0428e+03,,1
4f46p,°,4f46s,6I,6.3535e-08,1.5462e-15,2.8282e+04,2.7769e+06,3.2358e+03,2.4277e+06,4
4f46p,°,4f46s,4I,2.3810e-08,,3.0781e+04,,5.9856e+03,,1
