Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
2s22p43d,2D,2s22p43p,2D°,8.9811e-08,2.6948e-14,2.9146e+05,1.9135e+08,2.6244e+05,1.9416e+08,7
2s22p43d,2D,2s22p43p,2F°,4.0064e-08,5.1364e-18,3.0625e+05,1.8716e+02,2.7439e+05,9.9117e+02,2
2s22p43d,2D,2s22p43p,2P°,1.5209e-08,5.0560e-17,2.9074e+05,2.0044e+08,2.6308e+05,1.4769e+08,5
2s22p43d,2F,2s22p43p,2D°,5.5363e-08,1.2632e-14,2.9114e+05,2.0159e+08,2.6164e+05,2.0524e+08,5
2s22p43d,2F,2s22p43p,2F°,7.6923e-09,0.0000e+00,3.0669e+05,7.3344e-02,2.7439e+05,9.9117e+02,2
2s22p43d,2G,2s22p43p,2F°,2.7519e-08,1.8305e-15,3.0536e+05,4.1218e-01,2.7439e+05,6.6078e+02,3
2s22p43d,2P,2s22p43p,2D°,1.3317e-07,1.3681e-14,2.9358e+05,1.7255e+08,2.6434e+05,2.0252e+08,6
2s22p43d,2P,2s22p43p,2P°,1.8924e-08,1.3340e-16,2.9355e+05,1.6525e+08,2.6531e+05,1.4039e+08,8
2s22p43p,2D°,2s22p43s,2D,3.0068e-08,9.7581e-16,2.7733e+05,1.1646e+02,2.4640e+05,3.7650e+00,4
2s22p43p,2F°,2s22p43s,2D,3.8278e-08,2.8572e-15,2.7438e+05,6.6078e+02,2.4640e+05,3.7650e+00,3
2s22p43p,2P°,2s22p43s,2D,1.9616e-08,5.0093e-16,2.7636e+05,1.8403e+04,2.4640e+05,3.7650e+00,3
2s22p43p,2P°,2s22p43s,2P,2.6474e-08,5.3347e-16,2.6531e+05,1.4039e+08,2.2439e+05,1.0710e+05,8
2s22p43p,2P°,2s22p43s,2S,6.2500e-09,0.0000e+00,3.0540e+05,4.9017e+01,2.7668e+05,0.0000e+00,2
