Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3p63d84p,2F°,3p63d84s,4P,4.3478e-09,,6.8131e+04,,2.3108e+04,,1
3p63d84s,2D,3p63d84s,2F,4.1779e+03,6.9320e+07,2.4416e+04,5.1270e+05,1.4273e+04,6.9618e+05,4
3p63d84s,2D,3p63d84s,4F,1.7630e+02,8.7838e+04,2.4505e+04,4.3946e+05,9.8019e+03,6.8512e+05,7
3p63d84s,2D,3p63d84s,4P,1.8246e+03,8.8761e+06,2.4623e+04,5.1270e+05,2.3668e+04,9.4071e+05,3
3p63d84s,2D,3p63d9,2D,3.1454e+00,3.8089e+00,2.4416e+04,5.1270e+05,7.5347e+02,7.5696e+05,4
3p63d84s,2D,3p63d84s,2D,6.1350e+02,,2.5036e+04,,2.3796e+04,,1
3p63d84s,2G,3p63d84s,2D,2.7753e+04,1.3467e+09,3.2516e+04,1.9216e+02,2.4623e+04,5.1270e+05,3
3p63d84s,2G,3p63d84s,2F,4.3440e+02,7.0622e+05,3.2512e+04,1.9216e+02,1.4273e+04,6.9618e+05,4
3p63d84s,2G,3p63d84s,4F,1.4291e+03,8.2689e+06,3.2513e+04,1.6471e+02,9.4776e+03,7.6898e+05,7
3p63d84s,2G,3p63d84s,4P,1.7405e+04,1.5308e+08,3.2516e+04,1.9216e+02,2.3668e+04,9.4071e+05,3
3p63d84s,2G,3p63d9,2D,1.1201e+00,2.2642e+00,3.2516e+04,1.9216e+02,5.0231e+02,7.5696e+05,3
3p63d84p,2D°,3p63d84s,2F,1.4286e-08,3.4439e-16,5.7849e+04,5.5109e+05,1.4514e+04,6.9618e+05,3
3p63d84p,2D°,3p63d84s,4F,1.2500e-07,,5.8706e+04,,1.0664e+04,,1
3p63d84p,2F°,3p63d84s,2F,1.3756e-08,1.6250e-16,5.7787e+04,6.6520e+05,1.4273e+04,6.9618e+05,4
3p63d84p,2F°,3p63d84s,4F,2.3436e-07,3.0028e-14,5.7646e+04,5.9868e+05,9.5667e+03,7.4816e+05,5
3p63d84p,2F°,3p63d9,2D,2.0833e-08,,5.7081e+04,,0.0000e+00,,1
3p63d84p,2G°,3p63d84s,2F,7.7148e-09,1.7488e-17,5.6014e+04,3.8289e+05,1.4032e+04,6.9618e+05,3
3p63d84p,2G°,3p63d84s,4F,7.1081e-08,5.9027e-15,5.6014e+04,3.8289e+05,9.5919e+03,2.0573e+05,3
3p63d84p,4D°,3p63d84s,4F,6.2087e-07,2.4470e-12,5.2694e+04,1.3069e+06,9.8019e+03,6.8512e+05,7
3p63d84p,4D°,3p63d84s,2F,1.4706e-06,,5.1558e+04,,1.3550e+04,,1
3p63d84p,4F°,3p63d84s,2F,8.4720e-08,2.9566e-15,5.5619e+04,6.7506e+05,1.4273e+04,6.9618e+05,4
3p63d84p,4F°,3p63d84s,4F,3.4402e-08,3.6697e-15,5.5644e+04,4.7696e+05,9.6453e+03,6.8544e+05,10
3p63d84p,4G°,3p63d84s,4F,2.7648e-08,3.5704e-15,5.4226e+04,5.5744e+05,9.4591e+03,6.6185e+05,8
3p63d84p,4G°,3p63d84s,2F,3.6045e-07,3.0732e-13,5.4216e+04,6.8521e+05,1.4032e+04,6.9618e+05,3
3p63d84s,2F,3p63d84s,2F,2.1231e+01,,1.4996e+04,,1.3550e+04,,1
3p63d84s,2F,3p63d84s,4F,1.3254e+02,1.6183e+04,1.4273e+04,6.2656e+05,9.6582e+03,6.4876e+05,6
3p63d84s,2F,3p63d9,2D,2.4240e+01,1.2398e+03,1.4273e+04,6.9618e+05,7.5347e+02,7.5696e+05,4
3p63d84s,4F,3p63d84s,4F,5.6123e+01,1.1476e+03,1.0037e+04,4.4949e+05,9.2799e+03,7.4300e+05,3
3p63d84s,4F,3p63d9,2D,1.1513e+04,3.3163e+08,1.0037e+04,3.5959e+05,7.5347e+02,6.8126e+05,6
3p63d84s,2P,3p63d84s,2D,6.5371e+01,8.1215e+03,2.9245e+04,9.1013e+04,2.4210e+04,5.1270e+05,3
3p63d84s,2P,3p63d84s,2F,5.3993e+01,1.2771e+03,2.9245e+04,9.1013e+04,1.4514e+04,6.9618e+05,3
3p63d84s,2P,3p63d84s,4F,8.6504e+02,6.5080e+05,2.9280e+04,8.1911e+04,1.0178e+04,2.9975e+05,5
3p63d84s,2P,3p63d84s,4P,2.1331e+02,8.2109e+04,2.9280e+04,8.1911e+04,2.4471e+04,5.8115e+05,5
3p63d84s,2P,3p63d9,2D,2.5000e-01,5.7322e-03,2.9332e+04,9.1013e+04,7.5347e+02,7.5696e+05,4
3p63d84s,4P,3p63d84s,2D,1.0049e+02,5.8872e+02,2.4812e+04,1.1391e+03,2.3796e+04,0.0000e+00,2
3p63d84s,4P,3p63d84s,4F,1.0649e+02,6.5709e+03,2.4052e+04,8.0219e+05,9.9325e+03,5.9983e+05,9
3p63d84s,4P,3p63d9,2D,6.1842e+02,1.9301e+06,2.4244e+04,7.7456e+05,7.5347e+02,6.8126e+05,6
3p63d84s,4P,3p63d84s,2F,5.5986e+03,1.2282e+08,2.3948e+04,9.4071e+05,1.4273e+04,6.9618e+05,4
3p63d84s,4P,3p63d84s,4P,5.2083e+01,,2.4788e+04,,2.3108e+04,,1
3p63d9,2D,3p63d9,2D,1.8051e+01,,1.5069e+03,,0.0000e+00,,1
