Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3s23p2,1S,3s23p2,3P,8.1638e+01,1.1886e+04,2.1576e+04,0.0000e+00,3.1701e+02,4.6275e+04,2
3s23p2,3P,3s23p2,3P,5.5561e+07,9.2584e+15,3.6771e+02,3.0850e+04,5.4967e+01,9.0640e+03,3
3s23p4d,1D°,3s23p4p,1D,2.5000e-08,,1.2776e+05,,1.0792e+05,,1
3s23p4d,1F°,3s23p4p,1D,7.1429e-09,,1.3014e+05,,1.0792e+05,,1
3s23p4d,1P°,3s23p4p,1S,1.5873e-08,,1.3176e+05,,1.1151e+05,,1
3s23p4d,3D°,3s23p4p,3P,7.6923e-09,,1.2789e+05,,1.0555e+05,,1
3s23p4d,3F°,3s23p4p,3D,2.1480e-07,2.2877e-13,1.2508e+05,3.0969e+04,1.0347e+05,4.8844e+04,6
3s23p4d,3P°,3s23p4p,3P,3.5444e-08,2.9803e-16,1.2774e+05,8.3276e+04,1.0537e+05,1.9913e+04,6
3s23p4d,3P°,3s23p4p,3S,1.0381e-08,3.8441e-21,1.2773e+05,1.0098e+05,1.0600e+05,0.0000e+00,3
3s23p4p,1D,3s23p4s,1P°,1.0000e-08,,1.0792e+05,,8.8893e+04,,1
3s23p4p,1P,3s23p4s,1P°,3.0303e-08,,1.0164e+05,,8.8893e+04,,1
3s23p4p,1S,3s23p4s,1P°,6.2500e-09,,1.1151e+05,,8.8893e+04,,1
3s23p4p,3D,3s23p4s,3P°,1.2485e-07,5.1820e-14,1.0331e+05,3.8452e+04,8.6910e+04,5.8185e+04,6
3s23p4p,3P,3s23p4s,3P°,2.8111e-08,1.8354e-16,1.0537e+05,1.9913e+04,8.6846e+04,4.9640e+04,6
3s23p4p,3S,3s23p4s,3P°,4.3362e-08,1.2253e-15,1.0600e+05,0.0000e+00,8.6822e+04,7.4017e+04,3
3s23p5s,1P°,3s23p4p,1D,1.4493e-08,,1.2443e+05,,1.0792e+05,,1
3s23p5s,1P°,3s23p4p,1P,2.5000e-08,,1.2443e+05,,1.0164e+05,,1
3s23p5s,1P°,3s23p4p,1S,9.0909e-08,,1.2443e+05,,1.1151e+05,,1
3s23p5s,3P°,3s23p4p,3D,2.5380e-07,2.8061e-13,1.2365e+05,6.8611e+04,1.0331e+05,3.8452e+04,6
3s23p5s,3P°,3s23p4p,3P,5.8940e-08,8.6236e-16,1.2358e+05,5.9064e+04,1.0537e+05,1.9913e+04,6
3s23p5s,3P°,3s23p4p,3S,6.6667e-08,0.0000e+00,1.2356e+05,8.3451e+04,1.0600e+05,0.0000e+00,3
3s3p3,3D°,3s23p2,3P,6.1277e-07,1.2157e-12,6.5268e+04,4.7866e+02,2.8953e+02,4.2330e+04,6
3s3p3,3P°,3s23p2,3P,1.7538e-08,7.2935e-17,7.6798e+04,7.1008e+02,2.3882e+02,3.5901e+04,6
