Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
5d7,"(9/2,0)°",5d86s,2F,2.1277e-07,,6.2821e+04,,1.8098e+04,,1
5d7,"(9/2,0)°",5d86s,4F,2.8559e-08,3.3460e-16,6.2821e+04,0.0000e+00,7.0715e+03,1.0441e+07,2
5d7,"(9/2,1)°",5d76s2,4F,2.7450e-07,3.9363e-14,6.8194e+04,4.5373e+06,2.8787e+04,2.8623e+07,5
5d7,"(9/2,1)°",5d86s,2G,2.9630e-07,5.0412e-14,6.8470e+04,8.7897e+06,2.9185e+04,1.7861e+04,3
5d7,"(9/2,1)°",5d86s,4F,1.2500e-07,,6.5046e+04,,4.7867e+03,,1
5d7,"(9/2,1)°",5d86s,4P,1.2500e-07,,6.7780e+04,,1.3329e+04,,1
5d7,71948°,5d76s2,4F,3.8095e-07,1.8141e-14,7.1949e+04,0.0000e+00,3.5566e+04,1.6869e+06,2
5d7,71948°,5d86s,2F,7.2777e-08,6.5755e-16,7.1949e+04,0.0000e+00,2.0780e+04,1.4385e+07,2
5d7,71948°,5d86s,4P,1.0476e-07,2.9025e-15,7.1949e+04,0.0000e+00,1.8602e+04,5.5612e+07,2
5d7,71948°,5d9,2D,5.5487e-08,2.6290e-15,7.1949e+04,0.0000e+00,6.0528e+03,7.3272e+07,2
5d7,84226°,5d86s,2D,1.1111e-07,,8.4227e+04,,3.2919e+04,,1
5d7,86544°,5d76s2,4F,4.0000e-08,,8.6545e+04,,2.4880e+04,,1
5d76s6p,108385°,5d76s2,2G,1.0753e-09,,1.0839e+05,,4.3737e+04,,1
5d76s6p,85701°,5d86s,2D,2.0408e-08,,8.5702e+04,,3.2237e+04,,1
5d76s6p,85701°,5d86s,2G,5.5556e-08,,8.5702e+04,,2.9031e+04,,1
5d76s6p,85701°,5d86s,4F,7.6923e-08,,8.5702e+04,,9.3563e+03,,1
5d76s6p,86786°,5d86s,4F,3.2258e-09,,8.6787e+04,,4.7867e+03,,1
5d76s6p,97792°,5d9,2D,3.8462e-09,,9.7793e+04,,1.5791e+04,,1
5d86p,"(2,1/2)°",5d86s,2F,3.3333e-08,,6.4389e+04,,2.3462e+04,,1
5d86p,"(2,1/2)°",5d86s,2P,1.7241e-07,,6.4389e+04,,2.7256e+04,,1
5d86p,"(2,1/2)°",5d86s,4F,1.5390e-07,3.3552e-14,5.9001e+04,1.3582e+07,1.7618e+04,1.7997e+07,7
5d86p,"(2,1/2)°",5d86s,4P,5.0913e-08,4.3464e-15,6.1354e+04,1.7285e+07,1.7116e+04,2.7470e+07,5
5d86p,"(2,1/2)°",5d9,2D,3.4353e-08,1.8430e-16,5.8320e+04,1.1554e+07,4.8422e+03,4.3963e+07,5
5d86p,"(2,3/2)°",5d86s,4P,6.7010e-08,4.3910e-15,6.6525e+04,9.7346e+06,1.9937e+04,2.1310e+07,7
5d86p,"(3,1/2)°",5d76s2,4F,5.4425e-07,4.1542e-13,6.4248e+04,5.1867e+05,3.0682e+04,6.7333e+07,2
5d86p,"(3,1/2)°",5d86s,2F,9.3509e-08,8.7914e-15,6.4248e+04,3.4578e+05,2.0780e+04,9.5901e+06,4
5d86p,"(3,1/2)°",5d86s,4F,5.4756e-08,2.4179e-15,6.3994e+04,2.5934e+05,1.1946e+04,3.5164e+07,4
5d86p,"(3,1/2)°",5d86s,4P,2.7109e-08,2.5667e-16,6.4418e+04,3.4578e+05,1.6845e+04,3.7075e+07,3
5d86p,"(3,1/2)°",5d9,2D,2.0688e-08,4.6713e-16,6.4248e+04,5.1867e+05,6.0528e+03,7.3272e+07,2
5d86p,"(3,1/2)°",5d86s,2G,4.0000e-07,,6.3739e+04,,2.9262e+04,,1
5d86p,"(3,3/2)°",5d76s2,4F,1.9257e-07,6.5970e-15,7.1340e+04,1.2560e+03,3.5566e+04,1.6869e+06,2
5d86p,"(3,3/2)°",5d86s,2F,5.4205e-08,3.2083e-15,7.0820e+04,4.6572e+05,2.0780e+04,8.6311e+06,6
5d86p,"(3,3/2)°",5d86s,2P,3.3898e-08,,7.1365e+04,,2.7256e+04,,1
5d86p,"(3,3/2)°",5d86s,4F,6.4823e-08,7.6649e-15,7.0950e+04,3.9064e+05,1.3604e+04,3.8146e+07,8
5d86p,"(3,3/2)°",5d86s,4P,5.8529e-08,1.8613e-15,7.1072e+04,3.9182e+05,1.7116e+04,2.7470e+07,5
5d86p,"(3,3/2)°",5d9,2D,4.2798e-08,2.1254e-15,7.0999e+04,4.8683e+05,2.1050e+03,1.7723e+07,4
5d86p,"(3,3/2)°",5d86s,2G,7.0922e-08,,7.1315e+04,,2.9262e+04,,1
5d86p,"(4,1/2)°",5d86s,2F,2.0254e-07,2.0198e-14,5.2642e+04,3.0434e+06,1.8098e+04,0.0000e+00,2
5d86p,"(4,1/2)°",5d86s,2G,1.0667e-05,1.5633e-10,5.3053e+04,2.0289e+06,2.9185e+04,1.7861e+04,3
5d86p,"(4,1/2)°",5d86s,4F,2.0052e-07,1.5771e-13,5.2395e+04,1.8260e+06,9.0214e+03,2.4231e+07,5
5d86p,"(4,1/2)°",5d86s,4P,3.4483e-07,,5.1408e+04,,1.3329e+04,,1
5d86p,"(4,3/2)°",5d76s2,4F,7.1678e-07,3.8532e-13,6.1280e+04,1.0022e+05,3.0914e+04,4.3958e+07,6
5d86p,"(4,3/2)°",5d86s,2G,1.0084e-06,3.5308e-13,6.0983e+04,1.1371e+04,2.9262e+04,0.0000e+00,2
5d86p,"(4,3/2)°",5d86s,4F,4.5634e-08,4.7807e-15,6.1281e+04,1.1261e+05,9.5088e+03,2.4843e+07,8
5d86p,"(4,3/2)°",5d86s,2F,9.9757e-08,5.5031e-15,6.1254e+04,1.4668e+05,1.9886e+04,9.5901e+06,3
5d86p,"(4,3/2)°",5d86s,4P,1.2724e-07,2.0888e-14,6.1349e+04,7.5353e+04,1.6845e+04,3.7075e+07,3
5d86p,"(4,3/2)°",5d9,2D,2.9944e-08,1.6169e-17,6.1428e+04,1.1303e+05,6.0528e+03,7.3272e+07,2
5d86p,"(0,1/2)°",5d86s,4F,1.4493e-08,,6.5587e+04,,2.1169e+04,,1
5d86p,"(0,1/2)°",5d86s,4P,7.7110e-08,8.6453e-15,6.5587e+04,0.0000e+00,2.2796e+04,2.3291e+06,2
5d86p,"(1,1/2)°",5d86s,4F,7.1429e-08,,6.9236e+04,,2.1169e+04,,1
5d86p,"(1,1/2)°",5d86s,4P,2.1956e-08,3.7861e-16,6.9236e+04,0.0000e+00,2.2796e+04,2.3291e+06,2
5d86p,"(1,1/2)°",5d9,2D,5.5866e-09,,6.9236e+04,,1.2106e+04,,1
5d86p,"(1,3/2)°",5d76s2,4F,4.5714e-07,1.3224e-13,7.0379e+04,0.0000e+00,3.6263e+04,5.2184e+06,2
5d86p,"(1,3/2)°",5d86s,2F,9.1743e-09,,7.0379e+04,,1.8098e+04,,1
5d86p,"(1,3/2)°",5d86s,2G,2.5641e-07,,7.0379e+04,,2.9031e+04,,1
5d86p,"(1,3/2)°",5d86s,4F,1.0529e-07,1.6376e-14,7.0379e+04,0.0000e+00,1.5782e+04,3.5693e+07,3
5d86p,"(1,3/2)°",5d86s,4P,4.4120e-08,2.0757e-15,7.0379e+04,0.0000e+00,1.8602e+04,5.5612e+07,2
