Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
4p55p,2[1/2],4p55s,2[1/2]°,4.6068e-08,1.3194e-15,1.6126e+05,3.3510e+07,1.4000e+05,8.7911e+05,6
4p55p,2[1/2],4p55s,2[3/2]°,3.5415e-08,4.4740e-16,1.6049e+05,3.7488e+07,1.3426e+05,7.0057e+05,5
4p55p,2[1/2],4p54d,3P°,3.8375e-08,6.8354e-16,1.6482e+05,5.3077e+06,1.4347e+05,1.0916e+05,5
4p55p,2[3/2],4p55s,2[1/2]°,4.3563e-08,2.8832e-16,1.6182e+05,1.1420e+07,1.3988e+05,9.8899e+05,5
4p55p,2[3/2],4p55s,2[3/2]°,8.6243e-08,3.0395e-15,1.6203e+05,1.2734e+07,1.3426e+05,7.0057e+05,5
4p55p,2[3/2],4p54d,3P°,1.0988e-07,5.1475e-15,1.6331e+05,6.6479e+06,1.4348e+05,1.7449e+05,6
4p55p,2[3/2],4p54d,3F°,3.8462e-08,,1.6497e+05,,1.4683e+05,,1
4p55s,2[1/2]°,4p6,1S,5.8824e-10,,1.4061e+05,,0.0000e+00,,1
4p55p,2[5/2],4p55s,2[1/2]°,4.5455e-08,,1.5674e+05,,1.4061e+05,,1
4p55p,2[5/2],4p55s,2[3/2]°,2.9125e-08,5.7043e-16,1.5679e+05,8.3714e+03,1.3385e+05,7.7841e+05,3
4p55p,2[5/2],4p54d,3P°,3.2143e-08,2.5510e-17,1.5682e+05,1.2557e+04,1.4396e+05,0.0000e+00,2
4p55s,2[3/2]°,4p6,1S,1.1628e-09,,1.3487e+05,,0.0000e+00,,1
4p56s,2[3/2]°,4p55p,2[1/2],1.0328e-08,2.0293e-17,1.8017e+05,0.0000e+00,1.5774e+05,2.3986e+07,2
4p56s,2[3/2]°,4p55p,2[3/2],8.4308e-09,4.4691e-17,1.8017e+05,0.0000e+00,1.5843e+05,1.5691e+05,2
4p56s,2[3/2]°,4p55p,2[5/2],1.8519e-09,,1.8017e+05,,1.5674e+05,,1
4p54d,1P°,4p6,1S,2.0833e-11,,1.6966e+05,,0.0000e+00,,1
4p54d,3D°,4p6,1S,4.3478e-09,,1.5531e+05,,0.0000e+00,,1
4p54d,3P°,4p6,1S,7.6923e-09,,1.4346e+05,,0.0000e+00,,1
