Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3s23p23d,2D,3s23p24p,2D°,7.0866e-05,1.9199e-08,1.4386e+05,4.1679e+07,1.3582e+05,2.5732e+07,16
3s23p23d,2D,3s23p24p,2F°,4.3632e-05,5.0454e-09,1.4647e+05,7.0233e+06,1.4026e+05,2.1184e+03,6
3s23p23d,2D,3s23p24p,2P°,3.3775e-03,7.6804e-05,1.4650e+05,6.2811e+06,1.3847e+05,2.8504e+07,12
3s23p23d,2D,3s23p3,2D°,3.2242e-09,1.5846e-17,1.4219e+05,4.4563e+07,1.4869e+04,2.7562e+02,12
3s23p23d,2F,3s23p24p,2D°,2.7507e-06,1.5886e-11,1.3852e+05,1.1794e+02,1.3101e+05,9.9401e+04,3
3s23p23d,2F,3s23p24p,4D°,6.1478e-03,1.5845e-04,1.3852e+05,1.0614e+02,1.2833e+05,7.2174e+04,5
3s23p23d,2F,3s23p24p,4P°,6.5175e-05,5.8684e-09,1.3852e+05,1.1794e+02,1.3004e+05,2.5388e+04,3
3s23p23d,2F,3s23p24p,4S°,3.1949e-04,,1.3851e+05,,1.3103e+05,,1
3s23p23d,2F,3s23p3,2D°,5.8583e-08,1.3220e-14,1.2674e+05,1.6642e+08,1.4874e+04,2.6949e+02,6
3s23p23d,2G,3s23p23d,4F,3.1808e+01,3.8389e+02,1.2713e+05,7.8125e-01,1.1064e+05,3.3243e+04,2
3s23p23d,2G,3s3p4,2D,5.8834e-01,2.1492e-03,1.2713e+05,7.8125e-01,9.7905e+04,3.9537e+02,2
3s23p23d,2G,3s23p24s,2D,4.4248e+01,,1.2713e+05,,1.2153e+05,,1
3s23p23d,2G,3s23p23d,2F,1.9504e+02,5.7749e+04,1.2713e+05,0.0000e+00,1.1504e+05,1.1580e+05,2
3s23p23d,2G,3s23p23d,4D,3.7037e+02,,1.2713e+05,,1.1428e+05,,1
3s23p23d,2G,3s3p4,4P,1.1779e+02,,1.2713e+05,,7.9395e+04,,1
3s23p23d,2P,3s23p24p,2D°,2.2720e-05,9.0600e-10,1.3996e+05,9.8361e+03,1.3082e+05,9.9401e+04,3
3s23p23d,2P,3s23p24p,2P°,2.7012e-02,2.8729e-03,1.3993e+05,9.8361e+03,1.3333e+05,5.7457e+03,4
3s23p23d,2P,3s23p24p,2S°,4.8446e-07,1.3255e-15,1.3993e+05,1.4754e+04,1.2549e+05,0.0000e+00,2
3s23p23d,2P,3s23p24p,4P°,8.8217e-04,1.8588e-06,1.3995e+05,8.8525e+03,1.2989e+05,2.0601e+04,5
3s23p23d,2P,3s23p3,2D°,9.4799e-08,4.2070e-14,1.2285e+05,3.5117e+08,1.4864e+04,2.6949e+02,6
3s23p23d,2P,3s23p3,2P°,1.4057e-07,4.1895e-14,1.2288e+05,3.3244e+08,2.4548e+04,6.2338e+02,8
3s23p24d,2D,3s23p24p,2D°,8.4703e-08,7.3856e-15,1.6749e+05,3.8465e+02,1.4073e+05,5.7270e+02,4
3s23p24d,2D,3s23p24p,2P°,5.0743e-08,2.7927e-15,1.6748e+05,3.8465e+02,1.4358e+05,6.0400e+03,3
3s23p24d,2F,3s23p24p,2D°,3.7950e-08,2.6380e-15,1.6027e+05,1.9160e+07,1.3586e+05,2.8369e+07,6
3s23p24d,2F,3s23p24p,2F°,1.7588e-07,3.6639e-14,1.6428e+05,3.6925e+03,1.4027e+05,2.6481e+03,4
3s23p24d,2F,3s23p25p,2D°,1.4334e-06,4.3663e-12,1.6427e+05,3.6925e+03,1.5855e+05,8.3290e+04,3
3s23p24d,2G,3s23p24p,2D°,6.6667e-09,,1.6418e+05,,1.4071e+05,,1
3s23p24d,2G,3s23p24p,2F°,2.5499e-08,1.3274e-15,1.6421e+05,2.5591e+03,1.4029e+05,2.6481e+03,3
3s23p24d,2P,3s23p24p,2P°,2.7495e-08,4.1523e-16,1.6617e+05,3.8217e+02,1.4356e+05,6.0400e+03,4
3s23p24p,2D°,3s23p23d,2F,1.9972e-05,2.5889e-09,1.3748e+05,2.3633e+07,1.2282e+05,1.3870e+08,9
3s23p24p,2D°,3s23p23d,2P,4.1457e-03,1.1729e-04,1.3743e+05,2.4594e+07,1.1715e+05,2.9265e+08,9
3s23p24p,2D°,3s23p24s,2D,2.6765e-06,1.7647e-11,1.3582e+05,2.7570e+07,1.2153e+05,4.8286e-01,8
3s23p24p,2D°,3s23p23d,2D,5.8966e-05,5.3776e-09,1.4073e+05,5.7270e+02,1.3359e+05,6.8699e+04,4
3s23p24p,2D°,3s23p23d,4D,1.3241e-04,5.2818e-08,1.3582e+05,2.6316e+07,1.1422e+05,1.4204e+03,12
3s23p24p,2D°,3s23p24s,2P,9.8288e-08,1.7290e-14,1.3578e+05,2.9523e+07,1.1329e+05,7.3212e+04,6
3s23p24p,2D°,3s23p3,2D°,7.5353e-04,7.7799e-07,1.3582e+05,2.7570e+07,1.4869e+04,2.8874e+02,8
3s23p24p,2D°,3s23p3,2P°,1.3785e-03,2.2433e-06,1.3582e+05,2.7570e+07,2.4548e+04,6.2338e+02,8
3s23p24p,2D°,3s3p4,2D,7.6607e-06,1.4544e-10,1.3582e+05,2.7570e+07,9.7905e+04,2.2592e+02,8
3s23p24p,2F°,3s23p23d,2F,8.0088e-04,2.2206e-06,1.4027e+05,2.2698e+03,1.2678e+05,1.5746e+08,8
3s23p24p,2F°,3s23p23d,2G,8.1160e-07,1.7069e-12,1.4029e+05,2.6481e+03,1.2713e+05,5.2083e-01,3
3s23p24p,2F°,3s23p24s,2D,1.3252e-07,4.2923e-14,1.4026e+05,2.6481e+03,1.2153e+05,5.6333e-01,3
3s23p24p,2F°,3s23p23d,2D,1.9714e-03,1.1074e-05,1.4026e+05,2.6481e+03,1.3366e+05,6.8699e+04,3
3s23p24p,2F°,3s23p23d,4D,1.2832e-04,3.5336e-08,1.4027e+05,2.3832e+03,1.1424e+05,1.1802e+03,5
3s23p24p,2F°,3s23p3,2D°,5.6973e-04,2.3941e-07,1.4027e+05,2.6481e+03,1.4869e+04,3.3687e+02,4
3s23p24p,2F°,3s23p3,2P°,6.8010e-04,2.3720e-07,1.4026e+05,2.6481e+03,2.4556e+04,7.2727e+02,3
3s23p24p,2F°,3s3p4,2D,5.9857e-07,3.8805e-13,1.4026e+05,2.6481e+03,9.7909e+04,2.6358e+02,3
3s23p24p,2P°,3s23p23d,2P,4.0053e-06,2.5996e-11,1.4015e+05,2.5335e+07,1.1719e+05,2.8208e+08,12
3s23p24p,2P°,3s23p24s,2D,8.0633e-07,2.0742e-12,1.3847e+05,3.1354e+07,1.2153e+05,4.5067e-01,6
3s23p24p,2P°,3s23p24s,2S,2.6746e-06,9.4578e-12,1.4989e+05,5.3478e+07,1.3633e+05,0.0000e+00,4
3s23p24p,2P°,3s23p23d,2D,1.6298e-06,4.2286e-12,1.4991e+05,4.8098e+07,1.4120e+05,7.1027e+07,6
3s23p24p,2P°,3s23p24s,2P,9.0604e-08,1.2628e-14,1.3845e+05,2.9859e+07,1.1320e+05,7.8441e+04,8
3s23p24p,2P°,3s23p3,2D°,4.2887e-04,3.5681e-08,1.3845e+05,2.9859e+07,1.4869e+04,2.8874e+02,8
3s23p24p,2P°,3s3p4,2D,6.5853e-07,1.6624e-12,1.3847e+05,3.1354e+07,9.7900e+04,2.1086e+02,6
3s23p24p,2P°,3s3p4,2S,5.1825e-06,3.3909e-11,1.3845e+05,3.4835e+07,1.1978e+05,0.0000e+00,4
3s23p24s,2D,3s23p3,2D°,5.7279e-09,3.1645e-17,1.2153e+05,5.6333e-01,1.4869e+04,3.3687e+02,4
3s23p24s,2D,3s23p3,2P°,9.8466e-09,3.6166e-17,1.2153e+05,5.6333e-01,2.4556e+04,7.2727e+02,3
3s23p25d,2G,3s23p25p,2F°,1.2789e-07,3.3423e-14,1.7820e+05,1.5075e+03,1.6846e+05,3.0684e+02,3
3s23p25p,2F°,3s23p24d,2D,9.1443e-04,1.7433e-06,1.6845e+05,3.0684e+02,1.6750e+05,3.8465e+02,3
3s23p25p,2F°,3s23p24d,2F,1.6081e-05,3.0078e-10,1.6846e+05,3.0684e+02,1.6428e+05,3.6925e+03,4
3s23p25p,2F°,3s23p24d,2G,1.7927e-06,7.0304e-12,1.6846e+05,3.0684e+02,1.6421e+05,2.5591e+03,3
3s23p25p,2F°,3s23p25s,2D,3.8823e-07,3.0372e-13,1.6845e+05,3.0684e+02,1.6173e+05,7.9707e+00,3
3s23p25s,2D,3s23p24p,2D°,8.8103e-08,8.0141e-15,1.6174e+05,7.9707e+00,1.4073e+05,5.7270e+02,4
3s23p25s,2D,3s23p24p,2F°,9.4352e-08,2.0020e-14,1.6173e+05,7.9707e+00,1.4026e+05,2.6481e+03,3
3s23p25s,2D,3s23p24p,2P°,1.2323e-07,1.6556e-14,1.6174e+05,7.9707e+00,1.4358e+05,6.0400e+03,3
3s23p23d,2D,3s23p24p,4P°,1.9553e-03,1.2284e-05,1.4122e+05,6.5501e+07,1.2995e+05,2.4642e+04,10
3s23p23d,2D,3s23p3,2P°,1.4253e-09,3.1306e-18,1.4120e+05,7.1027e+07,2.4556e+04,5.8182e+02,6
3s23p24s,2S,3s23p24p,2P°,1.4659e-04,4.5282e-09,1.3633e+05,0.0000e+00,1.3333e+05,8.6185e+03,2
3s23p24s,2S,3s23p3,2P°,7.4530e-10,1.1054e-19,1.3633e+05,0.0000e+00,2.4548e+04,1.0909e+03,2
3s23p23d,2D,3s23p24p,4D°,1.4624e-02,7.4197e-04,1.3354e+05,6.1829e+04,1.2805e+05,3.2140e+04,5
3s23p23d,4D,3s3p4,4P,7.8037e-01,4.9852e-01,1.1421e+05,1.6515e+03,7.9580e+04,5.7542e+04,7
3s23p23d,4F,3s3p4,4P,2.9797e+00,2.6800e+00,1.1049e+05,5.8381e+04,7.9628e+04,7.8925e+04,4
3s23p23d,4P,3s23p24p,2S°,1.3030e-03,5.9498e-07,1.3088e+05,8.4617e+03,1.2549e+05,0.0000e+00,2
3s23p23d,4P,3s23p24p,4D°,3.3402e-02,5.7521e-03,1.3077e+05,2.2237e+04,1.2808e+05,6.8381e+04,8
3s23p23d,4P,3s23p24p,4P°,1.8570e-03,5.1391e-06,1.3079e+05,2.0572e+04,1.2992e+05,2.3011e+04,7
3s23p23d,4P,3s23p3,4S°,1.0483e-10,5.2078e-25,1.3079e+05,3.0680e+04,0.0000e+00,0.0000e+00,3
3s23p24d,2D,3s23p25p,2D°,4.3269e-04,2.6795e-07,1.5949e+05,3.2240e+00,1.5847e+05,8.3290e+04,4
3s23p24d,2P,3s23p24p,2D°,2.1389e-07,6.9275e-14,1.5883e+05,0.0000e+00,1.3091e+05,1.4910e+05,2
3s23p24d,4D,3s23p24p,4D°,5.4593e-08,9.4496e-16,1.5326e+05,9.0537e+03,1.2815e+05,8.0647e+04,10
3s23p24d,4D,3s23p24p,4P°,2.8119e-08,1.5320e-15,1.5324e+05,7.5683e+03,1.2994e+05,2.5622e+04,8
3s23p24d,4F,3s23p24p,4D°,8.3455e-08,2.3845e-14,1.5215e+05,4.7798e+04,1.2825e+05,8.7107e+04,9
