Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3p63d2,1G,3p63d2,3F,1.5316e+03,2.5228e+05,1.4261e+04,0.0000e+00,4.9357e+03,5.4309e+03,2
3p63d2,1G,3p63d4s,3D,1.0031e+04,1.8342e+08,1.4261e+04,0.0000e+00,1.2274e+02,6.0544e+03,2
3p63d2,3F,3p63d4s,3D,7.3971e+02,1.1159e+06,4.8794e+03,5.8742e+03,9.2055e+01,5.8230e+03,8
3p63d2,3F,3p63d2,3F,5.7453e+04,3.9061e+08,4.9357e+03,5.4309e+03,4.8432e+03,3.2562e+03,2
3p63d2,3P,3p63d2,3F,1.4101e+02,5.6917e+04,1.2123e+04,1.2553e+03,4.8606e+03,5.4462e+03,6
3p63d2,3P,3p63d4s,3D,5.2371e+00,2.6628e+01,1.2120e+04,1.1145e+03,7.9811e+01,5.3944e+03,7
3p63d2,3P,3p63d2,3P,1.6014e+06,2.4259e+12,1.2128e+04,1.4003e+03,1.2088e+04,3.7538e+02,2
3p63d4d,1D,3p63d4p,1D°,4.5455e-09,,6.4367e+04,,2.6081e+04,,1
3p63d4d,1D,3p63d4p,1P°,8.3333e-09,,6.4367e+04,,3.0816e+04,,1
3p63d4d,1F,3p63d4p,1D°,3.4483e-09,,5.9528e+04,,2.6081e+04,,1
3p63d4d,1F,3p63d4p,1F°,1.0000e-08,,5.9528e+04,,3.2350e+04,,1
3p63d4d,1G,3p63d4p,1F°,2.8571e-09,,6.5236e+04,,3.2350e+04,,1
3p63d4d,1P,3p63d4p,1D°,9.0909e-09,,6.0400e+04,,2.6081e+04,,1
3p63d4d,1P,3p63d4p,1P°,4.0000e-09,,6.0400e+04,,3.0816e+04,,1
3p63d4d,1S,3p63d4p,1P°,2.5641e-09,,6.7217e+04,,3.0816e+04,,1
3p63d4d,3D,3p63d4p,3D°,5.1935e-09,1.6111e-19,5.9935e+04,4.0487e+03,2.8033e+04,1.4920e+04,3
3p63d4d,3D,3p63d4p,3P°,1.1529e-08,1.2756e-17,5.9935e+04,4.0487e+03,2.9767e+04,2.4009e+03,3
3p63d4d,3F,3p63d4p,3D°,3.9731e-09,1.5124e-19,6.3449e+04,5.9358e+03,2.8033e+04,1.4920e+04,3
3p63d4d,3F,3p63d4p,3F°,7.6923e-09,0.0000e+00,6.3449e+04,5.9358e+03,2.7629e+04,4.0065e+04,3
