Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
5p3,4S°,5s5p2,4P,7.7171e-10,1.1436e-19,1.2316e+05,3.1764e-22,4.8521e+04,4.5670e+06,3
5s24f,2F°,5s25d,2D,7.3962e-08,1.1184e-14,8.9292e+04,1.1213e+01,7.1834e+04,1.3744e+05,3
5s24f,2F°,5s5p2,2D,3.1340e-08,1.9741e-15,8.9292e+04,1.1213e+01,5.9257e+04,1.2784e+05,3
5s24f,2F°,5s5p2,4P,3.2582e-06,6.6665e-12,8.9292e+04,1.1213e+01,4.9943e+04,1.8597e+06,3
5s25d,2D,5s25p,2P°,2.4300e-09,1.1171e-17,7.1620e+04,1.3744e+05,2.8343e+03,6.0251e+06,3
5s25f,2F°,5s25d,2D,3.1302e-07,2.9613e-14,9.9665e+04,9.5373e+00,7.1834e+04,1.3744e+05,3
5s25f,2F°,5s26d,2D,2.0008e-08,3.2026e-19,9.9664e+04,1.4306e+01,9.0297e+04,6.0875e+03,2
5s25f,2F°,5s5p2,2D,4.3444e-08,2.3992e-15,9.9665e+04,9.5373e+00,5.9257e+04,1.2784e+05,3
5s25g,2G,5s24f,2F°,1.4892e-07,5.3767e-14,1.0032e+05,0.0000e+00,8.9290e+04,1.1213e+01,3
5s25p,2P°,5s25p,2P°,1.4409e+00,,4.2515e+03,,0.0000e+00,,1
5s26d,2D,5s25p,2P°,3.9194e-09,1.1391e-17,9.0278e+04,4.0583e+03,2.8343e+03,6.0251e+06,3
5s26d,2D,5s26p,2P°,2.3769e-08,6.1331e-16,9.0278e+04,4.0583e+03,7.2083e+04,2.6059e+05,3
5s26f,2F°,5s26d,2D,6.2500e-08,,1.0536e+05,,9.0352e+04,,1
5s26g,2G,5s24f,2F°,3.5850e-07,3.0864e-13,1.0574e+05,3.1764e-22,8.9290e+04,1.1213e+01,3
5s26p,2P°,5s26s,2S,1.5476e-08,2.8345e-18,7.1935e+04,3.9088e+05,5.6886e+04,0.0000e+00,2
5s26p,2P°,5s5p2,2D,1.8149e-07,5.0328e-14,7.2083e+04,2.6059e+05,5.9051e+04,1.2784e+05,3
5s26p,2P°,5s5p2,4P,7.9241e-06,8.0940e-11,7.1935e+04,3.9088e+05,4.9549e+04,2.7896e+06,2
5s26s,2S,5s25p,2P°,2.5376e-09,1.1306e-18,5.6886e+04,0.0000e+00,2.1257e+03,9.0376e+06,2
5s27d,2D,5s25p,2P°,7.8571e-09,5.8220e-17,1.0030e+05,1.0023e+03,2.8343e+03,6.0251e+06,3
5s27d,2D,5s26p,2P°,5.4235e-08,3.2928e-15,1.0030e+05,1.0023e+03,7.2083e+04,2.6059e+05,3
5s27g,2G,5s24f,2F°,7.1612e-07,1.2363e-12,1.0900e+05,0.0000e+00,8.9290e+04,1.1213e+01,3
5s27p,2P°,5s25d,2D,9.6088e-07,1.7768e-12,9.2147e+04,4.4204e+04,7.1620e+04,1.3744e+05,3
5s27p,2P°,5s5p2,2D,4.5806e-07,3.0810e-13,9.2147e+04,4.4204e+04,5.9051e+04,1.2784e+05,3
5s27p,2P°,5s26s,2S,9.0090e-07,,9.2268e+04,,5.6886e+04,,1
5s27p,2P°,5s5p2,4P,2.9412e-06,,9.2268e+04,,5.0730e+04,,1
5s27s,2S,5s25p,2P°,6.4430e-09,2.3915e-17,8.6280e+04,0.0000e+00,2.1257e+03,9.0376e+06,2
5s27s,2S,5s26p,2P°,2.0033e-08,7.5511e-17,8.6280e+04,0.0000e+00,7.1935e+04,3.9088e+05,2
5s5p5d,2D°,5s5p2,2D,2.2263e-09,6.3060e-18,1.3244e+05,9.6794e+04,5.9154e+04,1.2784e+05,4
5s5p5d,2D°,5s5p2,4P,1.6129e-08,,1.1382e+05,,5.0730e+04,,1
5s5p5d,4D°,5s5p2,4P,4.3478e-10,,1.2025e+05,,4.8368e+04,,1
5s5p5d,4F°,5s5p2,4P,1.2048e-08,,1.1642e+05,,5.0730e+04,,1
5s5p5d,4P°,5s5p2,4P,8.5958e-10,1.8980e-19,1.2406e+05,1.0359e+05,4.9943e+04,1.8597e+06,3
5s5p6s,4P°,5s5p2,4P,3.7237e-09,8.7654e-18,1.1139e+05,4.1560e+06,4.8499e+04,3.0480e+06,7
5s5p2,2D,5s25p,2P°,3.1508e-08,2.2526e-16,5.9051e+04,1.2784e+05,2.8343e+03,6.0251e+06,3
5s5p2,2P,5s25p,2P°,1.3943e-09,1.2012e-18,8.1087e+04,5.3189e+05,2.1257e+03,6.0251e+06,4
5s5p2,2S,5s25p,2P°,7.1662e-08,1.0137e-14,7.5954e+04,0.0000e+00,2.1257e+03,9.0376e+06,2
5s5p2,4P,5s25p,2P°,1.7719e-06,8.3858e-13,4.8007e+04,4.1021e+06,3.1886e+03,4.5188e+06,4
