Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3d,4D°,3d24s,a 4F,2.6316e-09,,5.2339e+04,,0.0000e+00,,1
3d,4F°,3d24s,a 4F,5.5866e-09,,5.2330e+04,,0.0000e+00,,1
3d,w 2D°,3d3,b 2D2,1.4053e-07,1.9145e-14,5.3576e+04,5.9576e+02,1.2694e+04,5.5827e+03,4
3d24p,y 2D°,3d24s,a 2D,6.5746e-08,1.0490e-14,3.9540e+04,5.2870e+03,8.7275e+03,3.8021e+02,4
3d24p,y 2D°,3d24s,a 2F,2.1694e-07,6.2699e-15,3.9519e+04,5.2870e+03,4.7183e+03,2.4131e+04,3
3d24p,y 2D°,3d24s,b 2P,6.4297e-07,3.3470e-15,3.9561e+04,5.2870e+03,1.6589e+04,3.9828e+03,3
3d24p,y 2D°,3d24s,b 4P,3.9491e-07,2.5736e-14,3.9603e+04,0.0000e+00,9.9428e+03,5.8774e+03,3
3d24p,y 2D°,3d3,a 2P,1.0550e-07,1.1713e-15,3.9540e+04,7.9305e+03,9.9760e+03,0.0000e+00,2
3d24p,y 2D°,3d3,a 4P,9.5412e-07,4.5903e-13,3.9519e+04,5.2870e+03,9.4366e+03,4.9898e+03,3
3d24p,y 2D°,3d3,b 2D2,6.4240e-07,8.3584e-13,3.9540e+04,5.2870e+03,1.2694e+04,5.5827e+03,4
3d24p,y 2D°,3d24s,b 2G,9.0090e-07,,3.9477e+04,,1.5266e+04,,1
3d24p,y 2D°,3d3,a 2G,1.5221e-07,,3.9477e+04,,8.9978e+03,,1
3d24p,y 2D°,3d3,b 4F,2.3529e-06,,3.9477e+04,,1.0874e+03,,1
3d24p,y 2F°,3d24s,a 2D,3.3502e-07,3.2184e-13,3.9976e+04,7.2867e+03,8.7331e+03,3.8021e+02,3
3d24p,y 2F°,3d24s,b 2G,1.8766e-07,2.1455e-16,4.0001e+04,1.0930e+04,1.5262e+04,3.3190e+01,2
3d24p,y 2F°,3d24s,a 2F,2.9789e-07,1.3838e-13,4.0001e+04,7.2867e+03,4.7632e+03,2.4131e+04,4
3d24p,y 2F°,3d3,a 2G,9.3206e-08,1.8003e-14,4.0025e+04,7.2867e+03,9.0380e+03,4.8399e+03,3
3d24p,y 2F°,3d3,a 2P,1.8553e-07,,3.9927e+04,,9.9760e+03,,1
3d24p,y 2F°,3d3,a 4P,7.8740e-07,,3.9927e+04,,9.3958e+03,,1
3d24p,y 2F°,3d3,b 2D2,1.4706e-07,2.9734e-14,3.9976e+04,7.2867e+03,1.2715e+04,5.5827e+03,3
3d24p,y 2F°,3d3,b 2F,7.5893e-07,1.5988e-13,4.0001e+04,1.0930e+04,2.0922e+04,1.7979e+03,2
3d24p,y 2F°,3d24s,b 4P,4.3290e-07,,4.0075e+04,,1.0025e+04,,1
3d24p,y 2F°,3d3,b 4F,4.6948e-07,,4.0075e+04,,1.2158e+03,,1
3d24p,z 2P°,3d24s,a 2D,7.3044e-08,1.2564e-14,3.9381e+04,6.4929e+04,8.7218e+03,3.8021e+02,3
3d24p,z 2P°,3d24s,b 2P,3.7576e-07,5.4308e-14,3.9454e+04,9.7393e+04,1.6571e+04,5.9741e+03,2
3d24p,z 2P°,3d24s,b 4P,1.1490e-06,1.7838e-12,3.9381e+04,6.4929e+04,9.9115e+03,1.1166e+03,3
3d24p,z 2P°,3d3,a 2P,1.0175e-07,7.8681e-15,3.9454e+04,6.4929e+04,9.9135e+03,5.2071e+03,4
3d24p,z 2P°,3d3,a 4P,3.5830e-07,3.7545e-14,3.9381e+04,6.4929e+04,9.3851e+03,3.4260e+02,3
