Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
3d2,s 3D°,3d34s,c 3D,1.0000e-07,,7.7555e+04,,4.4202e+04,,1
3d2,s 3D°,3d34s,b 3D,2.3317e-08,2.7522e-17,7.7555e+04,0.0000e+00,2.0570e+04,4.5054e+03,2
3d2,s 3D°,3d34s,b 3P,7.2917e-08,2.1701e-16,7.7555e+04,0.0000e+00,1.9150e+04,5.6190e+02,2
3d2,s 3D°,3d4,a 3D,8.3333e-08,,7.7555e+04,,1.8270e+04,,1
3d2,u 3F°,3d34s,b 3D,2.0615e-07,6.4685e-16,7.6416e+04,4.5525e+04,2.0587e+04,3.2023e+03,3
3d2,u 3F°,3d34s,b 3G,4.2901e-08,2.5556e-15,7.6456e+04,3.3990e+04,1.6412e+04,6.2262e+03,5
3d2,u 3F°,3d34s,a 3F,6.2500e-08,,7.6220e+04,,8.6404e+03,,1
3d2,u 3F°,3d4,a 3G,6.2068e-08,5.2649e-15,7.6456e+04,3.3990e+04,1.4538e+04,6.5282e+03,5
3d2,u 3F°,3d4,d 3F1,8.5069e-08,5.8304e-16,7.6367e+04,3.9963e+04,3.0643e+04,5.8469e+02,4
3d2,u 3F°,3d34s,c 3D,2.5000e-07,,7.6644e+04,,4.4098e+04,,1
3d2,u 3F°,3d34s,a 5F,5.8824e-08,,7.6644e+04,,3.1630e+03,,1
3d2,u 3F°,3d34s,a 5P,2.7027e-07,,7.6644e+04,,1.3742e+04,,1
3d2,u 3F°,3d4,a 3D,1.6949e-07,,7.6644e+04,,1.8354e+04,,1
3d2,w 3P°,3d34s,b 3D,1.3208e-08,7.6492e-17,7.6421e+04,1.3644e+04,2.0571e+04,3.1994e+03,4
3d2,w 3P°,3d4,a 3D,2.4100e-08,1.6862e-19,7.6353e+04,2.0493e+04,1.8312e+04,3.5545e+03,2
3d2,w 3P°,3d34s,b 3P,1.1111e-08,,7.6252e+04,,1.9133e+04,,1
3d2,w 3P°,3d34s,c 3P,5.0000e-08,,7.6252e+04,,2.0343e+04,,1
3d2,r 3F°,3d24s2,e 3F,1.7863e-07,2.4387e-15,8.7922e+04,1.6052e+04,3.8216e+04,8.4315e+04,3
3d2,r 3F°,3d34s,c 3D,2.8842e-08,7.5993e-16,8.7948e+04,1.0815e+04,4.4144e+04,1.9874e+03,5
3d2,r 3F°,3d34s,c 3F,1.1111e-08,0.0000e+00,8.7988e+04,5.9210e+03,3.0287e+04,7.5575e+02,2
