Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
5d36p,6D°,5d36s2,4F,3.3793e-07,8.0125e-14,4.9856e+04,5.7152e+05,1.0438e+04,2.2356e+06,3
5d36p,6D°,5d46s,4D,8.6841e-07,1.3420e-12,4.9245e+04,3.4291e+05,1.7679e+04,2.3855e+07,5
5d36p,6D°,5d46s,4F,2.5789e-06,6.7766e-12,4.9856e+04,5.7152e+05,2.1579e+04,9.4526e+05,3
5d36p,6D°,5d46s,6D,3.2670e-08,3.4124e-16,4.9638e+04,5.1437e+05,2.3498e+03,2.7713e+06,6
5d36p,6D°,5d5,6S,5.4324e-07,3.6574e-13,4.9638e+04,8.5728e+05,7.4203e+03,0.0000e+00,2
5d36p,6D°,5d46s,4H,5.5249e-07,,5.0292e+04,,1.5147e+04,,1
5d36p,6F°,5d46s,4D,1.5898e-06,,4.4455e+04,,1.4634e+04,,1
5d36p,6F°,5d46s,6D,1.2116e-08,1.6132e-16,4.4455e+04,0.0000e+00,7.5941e+02,1.1534e+06,2
5d36p,6G°,5d36s2,4F,4.5762e-07,1.0991e-13,4.3758e+04,5.6117e+06,1.2708e+04,1.4853e+06,3
5d36p,6G°,5d46s,4D,9.2593e-06,,4.2390e+04,,2.3450e+04,,1
5d36p,6G°,5d46s,4F,4.9751e-06,,4.2390e+04,,2.2140e+04,,1
5d36p,6G°,5d46s,6D,4.7371e-07,2.8909e-13,4.4032e+04,5.0506e+06,4.9798e+03,1.5326e+06,5
5d36p,6G°,5d46s,4H,5.5190e-07,1.4042e-13,4.6493e+04,0.0000e+00,1.6379e+04,1.3337e+06,3
5d46p,6F°,5d46s,4H,3.7949e-07,1.2302e-13,4.9923e+04,3.5770e+07,1.7027e+04,2.4965e+06,5
5d46p,6F°,5d46s,6D,6.5989e-08,4.6241e-15,4.3240e+04,2.0416e+07,3.4282e+03,4.1492e+06,10
5d46p,6F°,5d5,4G,9.6154e-07,,5.4229e+04,,2.6159e+04,,1
5d46p,6F°,5d36s2,4F,5.4319e-07,3.1850e-13,4.1547e+04,4.7073e+06,1.1141e+04,4.4345e+06,6
5d46p,6F°,5d46s,4D,9.2873e-07,6.3603e-13,4.1296e+04,7.5935e+06,1.6473e+04,2.2111e+07,4
5d46p,6F°,5d5,6S,2.0687e-06,2.8883e-14,4.2019e+04,8.2599e+06,7.4203e+03,0.0000e+00,3
5d46p,6P°,5d46s,4F,1.7513e-06,,4.7589e+04,,2.2140e+04,,1
5d46p,6P°,5d46s,4D,1.3351e-07,,4.7589e+04,,1.4634e+04,,1
5d46p,6P°,5d46s,6D,2.9433e-08,6.3387e-16,4.7589e+04,0.0000e+00,1.5638e+03,2.5177e+06,3
5d46p,6P°,5d5,6S,7.9365e-09,,4.7589e+04,,7.4203e+03,,1
