Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
5p46p,2[2]°,5p46s,2[2],1.7179e-08,1.5324e-16,1.2197e+05,1.3590e+08,1.0266e+05,1.0090e+08,4
5p46p,2[3]°,5p46s,2[2],2.4162e-08,4.4864e-16,1.2154e+05,8.4057e+07,1.0266e+05,1.0090e+08,4
5p46p,2[0]°,5p46s,2[1],1.3514e-08,,1.2118e+05,,1.0280e+05,,1
5p46p,2[2]°,5p45d,2[1],4.5455e-08,,1.2325e+05,,1.0425e+05,,1
5p46p,2[2]°,5p45d,2[3],1.1138e-07,5.5242e-15,1.1754e+05,6.2202e+07,1.0193e+05,8.4310e+07,2
5p46d,2[4],5p46p,2[3]°,7.1429e-09,,1.3660e+05,,1.1351e+05,,1
5p46p,2[1]°,5p46s,2[2],1.3140e-08,1.7849e-18,1.1523e+05,4.8367e+06,9.5064e+04,0.0000e+00,2
5p46p,2[2]°,5p45d,2[2],1.4986e-07,1.4523e-14,1.1190e+05,9.2652e+03,9.5609e+04,1.3515e+05,3
5p46p,2[3]°,5p45d,2[2],1.6393e-07,,1.1351e+05,,9.6033e+04,,1
5p46p,2[3]°,5p45d,2[3],1.0732e-07,7.9711e-17,1.1361e+05,1.8632e+04,9.5438e+04,0.0000e+00,2
5p46p,2[3]°,5p45d,2[4],3.7037e-08,,1.1371e+05,,9.9405e+04,,1
