Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,var_partial_lifetime,average_Ek,var_Ek,average_Ei,var_Ei,count
4d5p,y 3P°,4d2,a 3P,1.3607e-07,4.8360e-15,3.2173e+04,1.1151e+04,1.4023e+04,7.7029e+03,5
4d5p,y 3P°,4d5s,a 3D,5.1842e-08,1.0901e-14,3.2191e+04,1.0962e+04,1.0101e+03,5.6468e+04,6
4d5p,y 3P°,4d5s,a 1D,3.0714e-07,7.9971e-15,3.2204e+04,1.2699e+04,3.2962e+03,0.0000e+00,2
4d5p,y 3P°,5s2,a 1S,7.6923e-07,,3.2124e+04,,0.0000e+00,,1
4d5p,y 3P°,4d2,b 1D,3.2258e-07,,3.2283e+04,,1.4833e+04,,1
4d5p,z 1D°,4d2,a 3F,2.3585e-07,,2.6147e+04,,8.0031e+03,,1
4d5p,z 1D°,4d5s,a 1D,1.0000e-08,,2.6147e+04,,3.2962e+03,,1
4d5p,z 1D°,4d5s,a 3D,3.6436e-08,4.3166e-19,2.6147e+04,0.0000e+00,9.4264e+02,2.0987e+04,2
4d5p,z 1P°,4d2,a 3F,7.6923e-08,,2.7517e+04,,8.0031e+03,,1
4d5p,z 1P°,4d2,b 1D,1.0000e-07,,2.7517e+04,,1.4833e+04,,1
4d5p,z 1P°,4d5s,a 3D,4.5833e-08,3.4722e-17,2.7517e+04,0.0000e+00,9.4264e+02,2.0987e+04,2
4d5p,z 1P°,5s2,a 1S,7.6923e-09,,2.7517e+04,,0.0000e+00,,1
4d5p,z 3D°,4d2,a 3F,1.5452e-07,4.0158e-14,2.8897e+04,8.6932e+04,8.2811e+03,9.3149e+04,5
4d5p,z 3D°,4d2,b 1D,7.6923e-07,,2.8595e+04,,1.4833e+04,,1
4d5p,z 3D°,4d5s,a 1D,5.7599e-07,2.1752e-14,2.8663e+04,9.0754e+03,3.2962e+03,0.0000e+00,2
4d5p,z 3D°,4d5s,a 3D,1.9030e-08,9.8988e-17,2.8830e+04,7.2504e+04,1.1022e+03,6.4777e+04,7
4d5p,z 3D°,5s2,a 1S,2.8653e-08,,2.8595e+04,,0.0000e+00,,1
4d5p,z 3D°,4d2,a 3P,1.8093e-06,2.9818e-12,2.8972e+04,1.1710e+05,1.4098e+04,0.0000e+00,2
4d5p,z 3F°,4d2,a 3F,8.0066e-07,9.1846e-13,2.7691e+04,2.4917e+05,8.3539e+03,9.1898e+04,7
4d5p,z 3F°,4d5s,a 1D,2.9352e-07,1.5087e-13,2.7380e+04,4.6602e+04,3.2962e+03,0.0000e+00,2
4d5p,z 3F°,4d5s,a 3D,8.6405e-08,1.8425e-14,2.7523e+04,2.0438e+05,1.2133e+03,7.2706e+04,6
5s5p,z 3P°,4d5s,a 3D,4.4995e-07,5.0277e-13,2.4156e+04,3.0349e+05,1.0101e+03,5.6468e+04,6
5s5p,z 3P°,4d5s,a 1D,3.5993e-06,1.8818e-11,2.4212e+04,3.7921e+05,3.2962e+03,0.0000e+00,2
5s5p,z 3P°,5s2,a 1S,4.5662e-07,,2.3776e+04,,0.0000e+00,,1
