Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
226.34644,68300000.0,0.0,44166.398,3s23p,2P°,1/2,3s25d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5653&amp;comment_code=&amp;element=Al&amp;spectr_charge=1&amp;ref=5653&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3514&amp;comment_code=&amp;element=Al&amp;spectr_charge=1&amp;ref=3514&amp;type=
226.90963,75800000.0,112.061,44168.847,3s23p,2P°,3/2,3s25d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u36&amp;element=Al&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3514&amp;comment_code=&amp;element=Al&amp;spectr_charge=1&amp;ref=3514&amp;type=
226.92225,12600000.0,112.061,44166.398,3s23p,2P°,3/2,3s25d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5653&amp;comment_code=LS&amp;element=Al&amp;spectr_charge=1&amp;ref=5653&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3514&amp;comment_code=&amp;element=Al&amp;spectr_charge=1&amp;ref=3514&amp;type=
236.70518,76100000.0,0.0,42233.742,3s23p,2P°,1/2,3s24d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u36&amp;element=Al&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3514&amp;comment_code=&amp;element=Al&amp;spectr_charge=1&amp;ref=3514&amp;type=
237.31220,90700000.0,112.061,42237.783,3s23p,2P°,3/2,3s24d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u36&amp;element=Al&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3514&amp;comment_code=&amp;element=Al&amp;spectr_charge=1&amp;ref=3514&amp;type=
237.33497,15100000.0,112.061,42233.742,3s23p,2P°,3/2,3s24d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u36&amp;element=Al&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3514&amp;comment_code=&amp;element=Al&amp;spectr_charge=1&amp;ref=3514&amp;type=
256.79823,19200000.0,0.0,38929.413,3s23p,2P°,1/2,3s2nd,y 2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5653&amp;comment_code=&amp;element=Al&amp;spectr_charge=1&amp;ref=5653&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3514&amp;comment_code=&amp;element=Al&amp;spectr_charge=1&amp;ref=3514&amp;type=
257.50940,36000000.0,112.061,38933.968,3s23p,2P°,3/2,3s2nd,y 2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u36&amp;element=Al&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3514&amp;comment_code=&amp;element=Al&amp;spectr_charge=1&amp;ref=3514&amp;type=
257.53962,5990000.0,112.061,38929.413,3s23p,2P°,3/2,3s2nd,y 2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5653&amp;comment_code=LS&amp;element=Al&amp;spectr_charge=1&amp;ref=5653&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3514&amp;comment_code=&amp;element=Al&amp;spectr_charge=1&amp;ref=3514&amp;type=
265.24758,14200000.0,0.0,37689.407,3s23p,2P°,1/2,3s25s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7365&amp;comment_code=&amp;element=Al&amp;spectr_charge=1&amp;ref=7365&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3514&amp;comment_code=&amp;element=Al&amp;spectr_charge=1&amp;ref=3514&amp;type=
