Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
189.043+,266000000.0,0.0,52897.9,4s24p3,4S°,3/2,4s24p2(3P)5s,4P,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
193.760+,219000000.0,0.0,51610.2,4s24p3,4S°,3/2,4s24p2(3P)5s,4P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
197.263+,202000000.0,0.0,50693.8,4s24p3,4S°,3/2,4s24p2(3P)5s,4P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
228.811+,280000000.0,10914.6,54605.3,4s24p3,2D°,5/2,4s24p2(3P)5s,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
234.402+,35000000.0,18186.1,60834.8,4s24p3,2P°,1/2,4s24p2(1D)5s,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
234.984+,310000000.0,10592.5,53135.6,4s24p3,2D°,3/2,4s24p2(3P)5s,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
236.966+,60000000.0,18647.5,60834.8,4s24p3,2P°,3/2,4s24p2(1D)5s,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
237.077+,42000000.0,18647.5,60815.0,4s24p3,2P°,3/2,4s24p2(1D)5s,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
245.652+,7200000.0,10914.6,51610.2,4s24p3,2D°,5/2,4s24p2(3P)5s,4P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
249.293+,12000000.0,10592.5,50693.8,4s24p3,2D°,3/2,4s24p2(3P)5s,4P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
