Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
164.6674+,10000000.0,0.0,60728.49,5d106s,2S,1/2,5d107p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7776&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=7776&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4231&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=4231&amp;type=
166.5755+,240000.0,0.0,60032.85,5d106s,2S,1/2,5d107p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7776&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=7776&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4231&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=4231&amp;type=
212.66513+,3800000.0,0.0,47007.433,5d106s,2S,1/2,5d95/26s1/26p3/2,4P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7963&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=7963&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3312&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=3312&amp;type=
235.262+,8000000.0,9161.177,51653.9,5d96s2,2D,5/2,5d95/26s1/26p3/2,2D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7963&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=7963&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3312&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=3312&amp;type=
242.79440+,198000000.0,0.0,41174.613,5d106s,2S,1/2,5d106p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4060&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=4060&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3312&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=3312&amp;type=
264.14823+,4400000.0,9161.177,47007.433,5d96s2,2D,5/2,5d95/26s1/26p3/2,4P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7963&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=7963&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1336&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=1336&amp;type=
267.59366+,164000000.0,0.0,37358.991,5d106s,2S,1/2,5d106p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4060&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=4060&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1336&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=1336&amp;type=
274.82513+,10300000.0,9161.177,45537.195,5d96s2,2D,5/2,5d95/26s1/26p1/2,4F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7963&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=7963&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1336&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=1336&amp;type=
312.27831+,19000000.0,9161.177,41174.613,5d96s2,2D,5/2,5d106p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4060&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=4060&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1336&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=1336&amp;type=
330.826+,310000.0,21435.191,51653.9,5d96s2,2D,3/2,5d95/26s1/26p3/2,2D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7963&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=7963&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1336&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=1336&amp;type=
332.016+,30000000.0,37358.991,67469.4,5d106p,2P°,1/2,5d107d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7776&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=7776&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1336&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=1336&amp;type=
379.599+,32000000.0,41174.613,67510.7,5d106p,2P°,3/2,5d107d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7776&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=7776&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1336&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=1336&amp;type=
390.93828+,110000.0,21435.191,47007.433,5d96s2,2D,3/2,5d95/26s1/26p3/2,4P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7963&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=7963&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1336&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=1336&amp;type=
406.511+,85000000.0,37358.991,61951.6,5d106p,2P°,1/2,5d106d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4253&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=4253&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1336&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=1336&amp;type=
479.273+,89000000.0,41174.613,62033.7,5d106p,2P°,3/2,5d106d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4253&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=4253&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1336&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=1336&amp;type=
481.167+,15700000.0,41174.613,61951.6,5d106p,2P°,3/2,5d106d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7183&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=7183&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1336&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=1336&amp;type=
506.4593+,520000.0,21435.191,41174.613,5d96s2,2D,3/2,5d106p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4060&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=4060&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1336&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=1336&amp;type=
583.7374+,29500000.0,37358.991,54485.235,5d106p,2P°,1/2,5d107s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7183&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=7183&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1336&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=1336&amp;type=
627.8172+,3400000.0,21435.191,37358.991,5d96s2,2D,3/2,5d106p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4060&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=4060&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1336&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=1336&amp;type=
751.0729+,42400000.0,41174.613,54485.235,5d106p,2P°,3/2,5d107s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7183&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=7183&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1336&amp;comment_code=&amp;element=Au&amp;spectr_charge=1&amp;ref=1336&amp;type=
