Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
104.7652,0.0006,3500000.0,0.0,95451.5,2s22p,2P°,1/2,2s2p(3P°)4p,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3744&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=3744&amp;type=
104.7697,0.0006,14000000.0,0.0,95447.4,2s22p,2P°,1/2,2s2p(3P°)4p,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3744&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=3744&amp;type=
104.7820,0.0006,18000000.0,15.287,95451.5,2s22p,2P°,3/2,2s2p(3P°)4p,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3744&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=3744&amp;type=
104.7865,0.0006,7000000.0,15.287,95447.4,2s22p,2P°,3/2,2s2p(3P°)4p,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3744&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=3744&amp;type=
115.1213,0.0006,48800000.0,0.0,86864.9,2s22p,2P°,1/2,2s2p(3P°)3p,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3744&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=3744&amp;type=
115.1283,0.0006,195000000.0,0.0,86859.6,2s22p,2P°,1/2,2s2p(3P°)3p,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3744&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=3744&amp;type=
115.1416,0.0006,240000000.0,15.287,86864.9,2s22p,2P°,3/2,2s2p(3P°)3p,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3744&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=3744&amp;type=
115.1486,0.0006,97500000.0,15.287,86859.6,2s22p,2P°,3/2,2s2p(3P°)3p,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3744&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=3744&amp;type=
137.8653,0.0004,342000000.0,0.0,72534.55,2s22p,2P°,1/2,2s2p2,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2166&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=2166&amp;type=
137.8875,0.0004,1370000000.0,0.0,72522.9,2s22p,2P°,1/2,2s2p2,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2166&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=2166&amp;type=
137.8944,0.0003,1710000000.0,15.287,72534.55,2s22p,2P°,3/2,2s2p2,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2166&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=2166&amp;type=
137.9166,0.0004,684000000.0,15.287,72522.9,2s22p,2P°,3/2,2s2p2,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2166&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=2166&amp;type=
146.5559,0.0006,340000000.0,28647.43,96880.8,2s2p2,4P,1/2,2p3,4S°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3744&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=3744&amp;type=
146.5658,0.0005,660000000.0,28652.07,96880.8,2s2p2,4P,3/2,2p3,4S°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u27&amp;element=B&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3744&amp;comment_code=&amp;element=B&amp;spectr_charge=1&amp;ref=3744&amp;type=
