Wavelength,Unc.  (nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
117.88894+,0.0004,6000000.0,0.0,84825.6,4s24p5,2P°,3/2,4s4p6,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3187&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=3187&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
131.73750+,0.0004,28000000.0,0.0,75908.53,4s24p5,2P°,3/2,4s24p4(1D2)5s,2[2],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8844&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=8844&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
131.76909+,0.0004,1000000000.0,0.0,75890.33,4s24p5,2P°,3/2,4s24p4(1D2)5s,2[2],5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8844&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=8844&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
138.4595+,0.0004,500000000.0,3685.24,75908.53,4s24p5,2P°,1/2,4s24p4(1D2)5s,2[2],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8844&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=8844&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
144.9901+,0.0004,900000000.0,0.0,68970.21,4s24p5,2P°,3/2,4s24p4(3P0)5s,2[0],1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8844&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=8844&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
148.8459+,0.0004,200000000.0,0.0,67183.58,4s24p5,2P°,3/2,4s24p4(3P1)5s,2[1],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3064&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=3064&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
153.1746+,0.0004,600000000.0,3685.24,68970.21,4s24p5,2P°,1/2,4s24p4(3P0)5s,2[0],1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8844&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=8844&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
154.0661+,0.0004,220000000.0,0.0,64907.19,4s24p5,2P°,3/2,4s24p4(3P2)5s,2[2],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3064&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=3064&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
157.4844+,0.0004,20000000.0,3685.24,67183.58,4s24p5,2P°,1/2,4s24p4(3P1)5s,2[1],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3064&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=3064&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
157.6381+,0.0004,5700000.0,0.0,63436.45,4s24p5,2P°,3/2,4s24p4(3P2)5s,2[2],5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3064&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=3064&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
