Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
94.518745,4e-06,380000000.0,0.0,105799.119,2s22p2,3P,0,2s2p3,3S°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5520&amp;comment_code=LS&amp;element=C&amp;spectr_charge=1&amp;ref=5520&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12129&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=12129&amp;type=
94.533414,3e-06,1140000000.0,16.416713,105799.119,2s22p2,3P,1,2s2p3,3S°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5520&amp;comment_code=LS&amp;element=C&amp;spectr_charge=1&amp;ref=5520&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12129&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=12129&amp;type=
94.557546,3e-06,1900000000.0,43.4134567,105799.119,2s22p2,3P,2,2s2p3,3S°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5520&amp;comment_code=LS&amp;element=C&amp;spectr_charge=1&amp;ref=5520&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12129&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=12129&amp;type=
118.8832839,2e-06,19500000.0,0.0,84116.1152,2s22p2,3P,0,2s22p4d,3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7333&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7333&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7000&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7000&amp;type=
118.899265,3e-06,72000000.0,16.416713,84121.226,2s22p2,3P,1,2s22p4d,3P°,0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7333&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7333&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7000&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7000&amp;type=
118.9064905,2e-06,20100000.0,16.416713,84116.1152,2s22p2,3P,1,2s22p4d,3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7333&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7333&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7000&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7000&amp;type=
118.9248616,2e-06,10900000.0,16.416713,84103.1238,2s22p2,3P,1,2s22p4d,3P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7333&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7333&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3731&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=3731&amp;type=
118.9446728,2e-06,30000000.0,43.4134567,84116.1152,2s22p2,3P,2,2s22p4d,3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7333&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7333&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7000&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7000&amp;type=
118.9630557,2e-06,53000000.0,43.4134567,84103.1238,2s22p2,3P,2,2s22p4d,3P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7333&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7333&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7000&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7000&amp;type=
119.0020765,2e-06,910000.0,0.0,84032.1471,2s22p2,3P,0,2s22p4d,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7333&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7333&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7000&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7000&amp;type=
119.0253296,2e-06,480000.0,16.416713,84032.1471,2s22p2,3P,1,2s22p4d,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7333&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7333&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3731&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=3731&amp;type=
119.0635882,2e-06,13000.0,43.4134567,84032.1471,2s22p2,3P,2,2s22p4d,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7333&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7333&amp;type=,
119.1840995,2e-06,2900000.0,43.4134567,83947.2231,2s22p2,3P,2,2s22p4d,1F°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7333&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7333&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7000&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7000&amp;type=
119.3009118,2e-06,79000000.0,16.416713,83838.0728,2s22p2,3P,1,2s22p4d,3D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7333&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7333&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3731&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=3731&amp;type=
119.3030446,2.1000000000000002e-06,64000000.0,0.0,83820.1576,2s22p2,3P,0,2s22p4d,3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7333&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7333&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3731&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=3731&amp;type=
119.3239726,1.9e-06,111000000.0,43.4134567,83848.87,2s22p2,3P,2,2s22p4d,3D°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7333&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7333&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7000&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7000&amp;type=
119.3264154,2.1000000000000002e-06,43000000.0,16.416713,83820.1576,2s22p2,3P,1,2s22p4d,3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7333&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7333&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5455&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=5455&amp;type=
119.3393479,2e-06,34600000.0,43.4134567,83838.0728,2s22p2,3P,2,2s22p4d,3D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7333&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7333&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5455&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=5455&amp;type=
119.3648679,2.1000000000000002e-06,2250000.0,43.4134567,83820.1576,2s22p2,3P,2,2s22p4d,3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7333&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7333&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3731&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=3731&amp;type=
119.4300572,1.9e-06,4100000.0,16.416713,83747.43248,2s22p2,3P,1,2s22p4d,3F°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7333&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7333&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7000&amp;comment_code=&amp;element=C&amp;spectr_charge=1&amp;ref=7000&amp;type=
