Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
228.80227,530000000.0,0.0,43692.384,4d105s2,1S,0,4d105s5p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cd&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3486&amp;comment_code=&amp;element=Cd&amp;spectr_charge=1&amp;ref=3486&amp;type=
283.689991,28000000.0,30113.99,65353.372,4d105s5p,3P°,0,4d105s6d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cd&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3486&amp;comment_code=&amp;element=Cd&amp;spectr_charge=1&amp;ref=3486&amp;type=
288.076727,42000000.0,30656.087,65358.881,4d105s5p,3P°,1,4d105s6d,3D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cd&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3486&amp;comment_code=&amp;element=Cd&amp;spectr_charge=1&amp;ref=3486&amp;type=
288.122468,24000000.0,30656.087,65353.372,4d105s5p,3P°,1,4d105s6d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cd&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3486&amp;comment_code=&amp;element=Cd&amp;spectr_charge=1&amp;ref=3486&amp;type=
298.06204,59000000.0,31826.952,65367.227,4d105s5p,3P°,2,4d105s6d,3D,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cd&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3486&amp;comment_code=&amp;element=Cd&amp;spectr_charge=1&amp;ref=3486&amp;type=
298.13623,15000000.0,31826.952,65358.881,4d105s5p,3P°,2,4d105s6d,3D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cd&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3486&amp;comment_code=&amp;element=Cd&amp;spectr_charge=1&amp;ref=3486&amp;type=
326.10546,406000.0,0.0,30656.087,4d105s2,1S,0,4d105s5p,3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cd&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3486&amp;comment_code=&amp;element=Cd&amp;spectr_charge=1&amp;ref=3486&amp;type=
340.36521,77000000.0,30113.99,59485.768,4d105s5p,3P°,0,4d105s5d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cd&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3486&amp;comment_code=&amp;element=Cd&amp;spectr_charge=1&amp;ref=3486&amp;type=
346.61996,120000000.0,30656.087,59497.868,4d105s5p,3P°,1,4d105s5d,3D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cd&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3486&amp;comment_code=&amp;element=Cd&amp;spectr_charge=1&amp;ref=3486&amp;type=
346.76544,67000000.0,30656.087,59485.768,4d105s5p,3P°,1,4d105s5d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cd&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3486&amp;comment_code=&amp;element=Cd&amp;spectr_charge=1&amp;ref=3486&amp;type=
