Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
463.2321+,13800000.0,0.0,21581.408,4f5d6s2,1G°,4,4f5d(3H°)6s6p(3P°),,5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
465.0506+,16200000.0,228.849,21725.865,4f5d6s2,3F°,2,4f(2F°)5d2(1D) (2P°)6p,,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
482.2548+,13300000.0,0.0,20730.135,4f5d6s2,1G°,4,4f(2F°)5d2(3F) (4I°)6p,,5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
521.1920+,48200000.0,6809.128,25990.573,4f(2F°) 5d2(3F)6s (4F),5I°,8,4f(2F°)5d2(3F) (4I°)6p,,7,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
522.3461+,65000000.0,4762.718,23901.786,4f26s2,3H,4,4f2(3H4)6s6p(1P°1),"(4,1)°",4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
522.9742+,17800000.0,2208.657,21324.736,4f5d6s2,3H°,5,4f5d(3H°)6s6p(3P°),,6,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
524.5913+,49100000.0,4762.718,23819.871,4f26s2,3H,4,4f2(3H4)6s6p(1P°1),"(4,1)°",5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
529.6565+,22500000.0,3976.104,22851.015,4f5d6s2,3H°,6,4f(2F°)5d2(3F) (4I°)6p,,6,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
532.8085+,20900000.0,3976.104,22739.355,4f5d6s2,3H°,6,4f(2F°)5d2(3F) (4I°)6p,,7,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
539.7636+,23600000.0,2208.657,20730.135,4f5d6s2,3H°,5,4f(2F°)5d2(3F) (4I°)6p,,5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
