Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
199.99536,0.0002,140000000.0,8307.5753,58292.54,3d44s2,a 5D,4,3d44s5p,r 5D°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3196&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=3196&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=808&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=808&amp;type=
209.4928,0.0007,1200000.0,0.0,47719.18,3d5(6S)4s,a 7S,3,3d5(6S)6p,w 7P°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3196&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=3196&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=808&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=808&amp;type=
209.5403,0.0006,1100000.0,0.0,47708.35,3d5(6S)4s,a 7S,3,3d5(6S)6p,w 7P°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3196&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=3196&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=808&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=808&amp;type=
209.583,0.009000000000000001,1100000.0,0.0,47698.6,3d5(6S)4s,a 7S,3,3d5(6S)6p,w 7P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3196&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=3196&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=808&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=808&amp;type=
235.430952,8e-06,8100000.0,8095.1842,50557.4907,3d44s2,a 5D,3,3d5(4D)4p,u 5D°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3196&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=3196&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=808&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=808&amp;type=
236.4731,0.0013,5300000.0,0.0,42275.19,3d5(6S)4s,a 7S,3,3d5(6S)5p,x 7P°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3196&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=3196&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=808&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=808&amp;type=
236.59188,4e-05,5500000.0,0.0,42253.966,3d5(6S)4s,a 7S,3,3d5(6S)5p,x 7P°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3196&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=3196&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14866&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=14866&amp;type=
236.68156,4e-05,6900000.0,0.0,42237.957,3d5(6S)4s,a 7S,3,3d5(6S)5p,x 7P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3196&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=3196&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14866&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=14866&amp;type=
237.505779,1.7e-05,17000000.0,7927.441,50018.831,3d44s2,a 5D,2,3d5(4D)4p,s 5F°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3196&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=3196&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=808&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=808&amp;type=
238.330662,1.4000000000000001e-05,41000000.0,8307.5753,50253.295,3d44s2,a 5D,4,3d5(4D)4p,s 5F°,5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3196&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=3196&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14866&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=14866&amp;type=
238.5729,0.0009,17000000.0,8307.5753,50210.7,3d44s2,a 5D,4,3d5(4D)4p,s 5F°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3196&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=3196&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=808&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=808&amp;type=
238.921819,9e-06,23000000.0,7810.7795,49652.7224,3d44s2,a 5D,1,3d5(4D)4p,x 3F°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3196&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=3196&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=808&amp;comment_code=&amp;element=Cr&amp;spectr_charge=1&amp;ref=808&amp;type=
