Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
108.997,0.004,2400000.0,14499.2568,106245.0,5p65d,2D,3/2,5p56s(3P°)5d,4P°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5128&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=5128&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=16570&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=16570&amp;type=
109.113,0.004,40000000.0,14596.84232,106245.0,5p65d,2D,5/2,5p56s(3P°)5d,4P°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5128&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=5128&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=16570&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=16570&amp;type=
387.6147,0.0005,390000.0,0.0,25791.508,5p66s,2S,1/2,5p68p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5791&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=5791&amp;type=
388.8611413,2.2e-06,90000.0,0.0,25708.83548,5p66s,2S,1/2,5p68p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9729&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=9729&amp;type=
455.5280,0.0005,1836000.0,0.0,21946.397,5p66s,2S,1/2,5p67p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7550&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7550&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3506&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3506&amp;type=
459.3172,0.0004,794000.0,0.0,21765.348,5p66s,2S,1/2,5p67p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7550&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7550&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3506&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3506&amp;type=
684.890692,1e-05,22.23,0.0,14596.84232,5p66s,2S,1/2,5p65d,2D,5/2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7826&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7826&amp;type=E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=793&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=793&amp;type=E2
852.113165,4e-06,32790000.0,0.0,11732.3071041,5p66s,2S,1/2,5p66p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6469&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=6469&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=15527&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=15527&amp;type=
894.347424,4e-06,28630000.0,0.0,11178.2681587,5p66s,2S,1/2,5p66p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6469&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=6469&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12151&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=12151&amp;type=
3 011.1515,0.0009,984000.0,11178.2681587,14499.2568,5p66p,2P°,1/2,5p65d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7723&amp;comment_code=n&amp;element=Cs&amp;spectr_charge=1&amp;ref=7723&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5791&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=5791&amp;type=
