Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
202.43252,0.00021,9800000.0,0.0,49383.264,3d104s,2S,1/2,3d105p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7574&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=7574&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4958&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=4958&amp;type=
202.43383,7e-05,9800000.0,0.0,49382.945,3d104s,2S,1/2,3d105p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7574&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=7574&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4958&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=4958&amp;type=
216.50934,0.00014,55000000.0,0.0,46172.89,3d104s,2S,1/2,3d9(2D)4s4p(3P°),°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7574&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=7574&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=772&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=772&amp;type=
217.89488,0.00043,91000000.0,0.0,45879.32,3d104s,2S,1/2,3d9(2D)4s4p(3P°),2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7574&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=7574&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=772&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=772&amp;type=
218.17253,0.0007599999999999999,99000000.0,0.0,45820.94,3d104s,2S,1/2,3d9(2D)4s4p(3P°),2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7574&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=7574&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=772&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=772&amp;type=
222.57017,0.00064,44000000.0,0.0,44915.68,3d104s,2S,1/2,3d9(2D)4s4p(3P°),4D°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7574&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=7574&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=772&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=772&amp;type=
224.42670,0.00025,1850000.0,0.0,44544.16,3d104s,2S,1/2,3d9(2D)4s4p(3P°),4D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7574&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=7574&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=772&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=772&amp;type=
236.31997,0.00016999999999999999,70000.0,0.0,42302.58,3d104s,2S,1/2,3d9(2D)4s4p(3P°),4F°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7574&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=7574&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4958&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=4958&amp;type=
244.16333,0.00042,2010000.0,0.0,40943.78,3d104s,2S,1/2,3d9(2D)4s4p(3P°),4P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7574&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=7574&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4958&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=4958&amp;type=
249.21428,0.00018999999999999998,2790000.0,0.0,40114.01,3d104s,2S,1/2,3d9(2D)4s4p(3P°),4P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7574&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=7574&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=772&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=772&amp;type=
261.83685,0.00055,30700000.0,11202.618,49382.945,3d94s2,2D,5/2,3d105p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1343&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=1343&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=772&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=772&amp;type=
276.63913,0.0023,9600000.0,13245.443,49382.945,3d94s2,2D,3/2,3d105p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1343&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=1343&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=772&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=772&amp;type=
282.4368,0.0003,7800000.0,11202.618,46598.35,3d94s2,2D,5/2,3d9(2D)4s4p(3P°),2D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1343&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=1343&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=772&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=772&amp;type=
296.1164,0.0003,3760000.0,11202.618,44963.26,3d94s2,2D,5/2,3d9(2D)4s4p(3P°),2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1343&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=1343&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=772&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=772&amp;type=
306.3410,0.0003,1550000.0,13245.443,45879.32,3d94s2,2D,3/2,3d9(2D)4s4p(3P°),2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1343&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=1343&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=772&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=772&amp;type=
319.4096,0.0004,1550000.0,13245.443,44544.16,3d94s2,2D,3/2,3d9(2D)4s4p(3P°),4D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1343&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=1343&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=772&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=772&amp;type=
324.75358,0.00042,139500000.0,0.0,30783.697,3d104s,2S,1/2,3d104p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6355&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=6355&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=772&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=772&amp;type=
327.39521,0.00054,137600000.0,0.0,30535.324,3d104s,2S,1/2,3d104p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6355&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=6355&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=772&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=772&amp;type=
333.7843,0.0003,380000.0,11202.618,41153.47,3d94s2,2D,5/2,3d9(2D)4s4p(3P°),4F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1343&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=1343&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=772&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=772&amp;type=
402.26286,0.00021,19000000.0,30535.324,55387.667,3d104p,2P°,1/2,3d105d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1343&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=1343&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=772&amp;comment_code=&amp;element=Cu&amp;spectr_charge=1&amp;ref=772&amp;type=
