Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
401.3824+,2930000.0,0.0,24906.86,4f106s2,5I,8.0,4f10(5I6)6s6p(3P°2),"(6,2)°",7.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7148&amp;comment_code=&amp;element=Dy&amp;spectr_charge=1&amp;ref=7148&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Dy&amp;spectr_charge=1&amp;ref=3475&amp;type=
404.59701+,192000000.0,0.0,24708.971,4f106s2,5I,8.0,4f10(5I8)6s6p(1P°1),"(8,1)°",7.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7148&amp;comment_code=&amp;element=Dy&amp;spectr_charge=1&amp;ref=7148&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Dy&amp;spectr_charge=1&amp;ref=3475&amp;type=
413.0351+,1760000.0,0.0,24204.19,4f106s2,5I,8.0,4f9(6H°)5d2(3F) (8I°)6s,°,8.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7148&amp;comment_code=&amp;element=Dy&amp;spectr_charge=1&amp;ref=7148&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Dy&amp;spectr_charge=1&amp;ref=3475&amp;type=
414.6063+,195000000.0,9211.591,33324.06,4f106s2,5I,5.0,4f10(5I5)6s6p(1P°1),"(5,1)°",4.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7148&amp;comment_code=&amp;element=Dy&amp;spectr_charge=1&amp;ref=7148&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Dy&amp;spectr_charge=1&amp;ref=3475&amp;type=
416.79743+,192000000.0,4134.222,28119.931,4f106s2,5I,7.0,4f10(5I7)6s6p(1P°1),"(7,1)°",6.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7148&amp;comment_code=&amp;element=Dy&amp;spectr_charge=1&amp;ref=7148&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Dy&amp;spectr_charge=1&amp;ref=3475&amp;type=
418.68213+,126000000.0,0.0,23877.739,4f106s2,5I,8.0,4f10(5I8)6s6p(1P°1),"(8,1)°",8.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7148&amp;comment_code=&amp;element=Dy&amp;spectr_charge=1&amp;ref=7148&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Dy&amp;spectr_charge=1&amp;ref=3475&amp;type=
419.16398+,71000000.0,4134.222,27984.513,4f106s2,5I,7.0,4f9(6H°)5d2(3F) (8L°)6s,°,7.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7148&amp;comment_code=&amp;element=Dy&amp;spectr_charge=1&amp;ref=7148&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Dy&amp;spectr_charge=1&amp;ref=3475&amp;type=
419.48464+,88000000.0,0.0,23832.06,4f106s2,5I,8.0,4f9(6H°)5d2(3F) (8K°)6s,°,8.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7148&amp;comment_code=&amp;element=Dy&amp;spectr_charge=1&amp;ref=7148&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Dy&amp;spectr_charge=1&amp;ref=3475&amp;type=
419.8019+,108000000.0,9211.591,33025.64,4f106s2,5I,5.0,4f10(5I5)6s6p(1P°1),"(5,1)°",5.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7148&amp;comment_code=&amp;element=Dy&amp;spectr_charge=1&amp;ref=7148&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Dy&amp;spectr_charge=1&amp;ref=3475&amp;type=
420.2240+,48200000.0,7050.603,30840.73,4f106s2,5I,6.0,4f9(6F°)5d2(3F) (8H°)6s,°,6.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7148&amp;comment_code=&amp;element=Dy&amp;spectr_charge=1&amp;ref=7148&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Dy&amp;spectr_charge=1&amp;ref=3475&amp;type=
