Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
386.28515+,116000000.0,0.0,25880.274,4f126s2,3H,6.0,4f12(3H)6s6p,°,6.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Er&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Er&amp;spectr_charge=1&amp;ref=3475&amp;type=
389.26849+,72800000.0,0.0,25681.933,4f126s2,3H,6.0,4f11(4F°)5d6s2,°,5.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Er&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Er&amp;spectr_charge=1&amp;ref=3475&amp;type=
393.70129+,29200000.0,0.0,25392.779,4f126s2,3H,6.0,4f11(4F°)5d6s2,°,6.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Er&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Er&amp;spectr_charge=1&amp;ref=3475&amp;type=
397.30356+,47900000.0,0.0,25162.553,4f126s2,3H,6.0,4f11(4I°)5d6s2,°,5.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Er&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Er&amp;spectr_charge=1&amp;ref=3475&amp;type=
400.79641+,173000000.0,0.0,24943.272,4f126s2,3H,6.0,4f12(3H)6s6p,°,7.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Er&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Er&amp;spectr_charge=1&amp;ref=3475&amp;type=
408.76318+,30300000.0,0.0,24457.139,4f126s2,3H,6.0,4f11(4I°)5d6s2,°,6.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Er&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Er&amp;spectr_charge=1&amp;ref=3475&amp;type=
415.11075+,96000000.0,0.0,24083.166,4f126s2,3H,6.0,4f12(3H)6s6p,°,5.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Er&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Er&amp;spectr_charge=1&amp;ref=3475&amp;type=
460.6604+,7540000.0,0.0,21701.885,4f126s2,3H,6.0,4f11(4I°11/2)5d5/26s2,"(11/2,5/2)°",6.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Er&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Er&amp;spectr_charge=1&amp;ref=3475&amp;type=
582.6805+,1040000.0,0.0,17157.307,4f126s2,3H,6.0,4f12(3H6)6s6p(3P°1),"(6,1)°",7.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Er&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Er&amp;spectr_charge=1&amp;ref=3475&amp;type=
622.1017+,840000.0,0.0,16070.095,4f126s2,3H,6.0,4f11(4I°13/2)5d3/26s2,"(13/2,3/2)°",6.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Er&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Er&amp;spectr_charge=1&amp;ref=3475&amp;type=
