Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
237.2840+,22000000.0,0.0,42130.72,4f76s2,a 8S°,7/2,4f7(8S°)5d (7D°)6p,8P,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
237.5304+,23000000.0,0.0,42087.02,4f76s2,a 8S°,7/2,4f7(8S°)5d (7D°)6p,8P,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
237.9645+,23000000.0,0.0,42010.25,4f76s2,a 8S°,7/2,4f7(8S°)5d (7D°)6p,8P,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
261.9272+,800000.0,0.0,38167.16,4f76s2,a 8S°,7/2,4f7(8S°)5d (7D°)6p,z 6D,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
270.9986+,16000000.0,0.0,36889.62,4f76s2,a 8S°,7/2,4f7(8S°)5d (7D°)6p,y 8D,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
272.3960+,13700000.0,0.0,36700.39,4f76s2,a 8S°,7/2,4f7(8S°)5d (7D°)6p,y 8D,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
273.2603+,4200000.0,0.0,36584.31,4f76s2,a 8S°,7/2,4f7(8S°)5d (7D°)6p,y 8D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
287.8858+,3200000.0,0.0,34725.81,4f76s2,a 8S°,7/2,4f7(8S°)5d (9D°)6p,x 8P,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
295.8893+,1800000.0,0.0,33786.55,4f76s2,a 8S°,7/2,4f7(8S°)5d (9D°)6p,x 8P,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
305.8980+,4000000.0,0.0,32681.13,4f76s2,a 8S°,7/2,4f6(7F)5d6s2,6P,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7356&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7356&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
306.6941+,1040000.0,0.0,32596.31,4f76s2,a 8S°,7/2,4f7(8S°)5d (9D°)6p,y 10P,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
310.6170+,6500000.0,0.0,32184.65,4f76s2,a 8S°,7/2,4f7(8S°)5d (9D°)6p,z 8F,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7356&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7356&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
311.1429+,33000000.0,0.0,32130.25,4f76s2,a 8S°,7/2,4f6(7F)5d6s2,8P,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7356&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7356&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
316.8278+,840000.0,0.0,31553.76,4f76s2,a 8S°,7/2,4f6(7F)5d6s2,8F,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
318.5557+,440000.0,0.0,31382.61,4f76s2,a 8S°,7/2,4f7(8S°)5d (9D°)6p,z 10D,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7356&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7356&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
321.0571+,11900000.0,0.0,31138.11,4f76s2,a 8S°,7/2,4f7(8S°)5d (9D°)6p,z 10D,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7356&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7356&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
321.2813+,34100000.0,0.0,31116.38,4f76s2,a 8S°,7/2,4f6(7F)5d6s2,8P,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7356&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7356&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
321.3753+,16900000.0,0.0,31107.28,4f76s2,a 8S°,7/2,4f6(7F)5d6s2,6P,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7356&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7356&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
323.5120+,1020000.0,0.0,30901.84,4f76s2,a 8S°,7/2,4f7(8S°)5d (9D°)6p,z 8D,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7356&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7356&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
324.1398+,2200000.0,0.0,30841.99,4f76s2,a 8S°,7/2,4f7(8S°)5d (9D°)6p,z 8D,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7356&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7356&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
324.6021+,1610000.0,0.0,30798.06,4f76s2,a 8S°,7/2,4f7(8S°)5d (9D°)6p,z 8D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7356&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7356&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
324.7542+,2200000.0,0.0,30783.64,4f76s2,a 8S°,7/2,4f6(7F)5d6s2,8F,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7356&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7356&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
332.2259+,3470000.0,0.0,30091.34,4f76s2,a 8S°,7/2,4f6(7F)5d6s2,8F,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7356&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7356&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
333.4320+,41200000.0,0.0,29982.5,4f76s2,a 8S°,7/2,4f6(7F)5d6s2,8P,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7356&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7356&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
335.0402+,1490000.0,0.0,29838.59,4f76s2,a 8S°,7/2,4f6(7F)5d6s2,8D,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7356&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7356&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
335.3702+,280000.0,0.0,29809.23,4f76s2,a 8S°,7/2,4f6(7F)5d6s2,8G,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9376&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=9376&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
345.7043+,910000.0,0.0,28918.17,4f76s2,a 8S°,7/2,4f7(8S°)5d (9D°)6p,z 10F,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7356&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7356&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
346.7877+,1040000.0,0.0,28827.83,4f76s2,a 8S°,7/2,4f6(7F)5d6s2,8D,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7356&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7356&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
358.9266+,810000.0,0.0,27852.9,4f76s2,a 8S°,7/2,4f6(7F)5d6s2,8D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
432.997+,8400000.0,13778.68,36867.04,4f7(8S°)5d (9D°)6s,a 10D°,13/2,4f7(8S°)5d (7D°)6p,y 8D,11/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7356&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7356&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7586&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7586&amp;type=
459.403+,161000000.0,0.0,21761.26,4f76s2,a 8S°,7/2,4f7(8S°)6s6p(1P°),y 8P,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7356&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7356&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7586&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7586&amp;type=
462.723+,156000000.0,0.0,21605.17,4f76s2,a 8S°,7/2,4f7(8S°)6s6p(1P°),y 8P,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7356&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7356&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7586&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7586&amp;type=
466.188+,152000000.0,0.0,21444.58,4f76s2,a 8S°,7/2,4f7(8S°)6s6p(1P°),y 8P,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7356&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7356&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7586&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7586&amp;type=
490.085+,17800000.0,14067.86,34466.8,4f7(8S°)6s6p(3P°),z 10P,7/2,4f7(8S°)6s (9S°)6d,e 10D°,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7356&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7356&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7586&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7586&amp;type=
