Wavelength,Unc.  (nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
80.697051+,0.0005,313000000.0,0.0,123920.265,2s22p5,2P°,3/2,2s22p4(1D)3s,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7663&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
80.960508+,0.0005,264000000.0,404.141,123921.152,2s22p5,2P°,1/2,2s22p4(1D)3s,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7663&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
95.18707+,0.0003,242000000.0,0.0,105056.28,2s22p5,2P°,3/2,2s22p4(3P)3s,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7663&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
95.48267+,0.0003,598000000.0,0.0,104731.05,2s22p5,2P°,3/2,2s22p4(3P)3s,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7663&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
95.55466+,0.0003,474000000.0,404.141,105056.28,2s22p5,2P°,1/2,2s22p4(3P)3s,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7663&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
95.85255+,0.0003,115000000.0,404.141,104731.05,2s22p5,2P°,1/2,2s22p4(3P)3s,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7663&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
604.753+,0.003,236000.0,102405.71,118936.8,2s22p4(3P)3s,4P,5/2,2s22p4(3P)3p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7043&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
614.974+,0.003,190000.0,102680.44,118936.8,2s22p4(3P)3s,4P,3/2,2s22p4(3P)3p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7043&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
621.084+,0.003,92000.0,102840.38,118936.8,2s22p4(3P)3s,4P,1/2,2s22p4(3P)3p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7043&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
623.965+,0.0002,29000000.0,102405.71,118427.82,2s22p4(3P)3s,4P,5/2,2s22p4(3P)3p,4S°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7043&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
