Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
193.453495,4e-06,25000000.0,0.0,51692.01,3d64s2,a 5D,4.0,3d6(5D)4s (6D)5p,u 5P°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2227&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=2227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
193.726831,4e-06,22000000.0,0.0,51619.076,3d64s2,a 5D,4.0,3d6(5D)4s (6D)5p,u 5F°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2227&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=2227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
194.066039,5e-06,26000000.0,415.933,51944.784,3d64s2,a 5D,3.0,3d6(5D)4s (6D)5p,u 5P°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2227&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=2227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
213.201699,6e-06,7600000.0,0.0,46889.142,3d64s2,a 5D,4.0,3d6(3F2)4s4p(3P°),x 3F°,4.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2227&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=2227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
213.859231,6e-06,2800000.0,0.0,46744.993,3d64s2,a 5D,4.0,3d7(4P)4p,u 5D°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2227&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=2227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
214.518938,7.000000000000001e-06,5700000.0,415.933,47017.188,3d64s2,a 5D,3.0,3d7(4P)4p,w 3D°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2227&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=2227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
215.300638,7.000000000000001e-06,6900000.0,704.007,47136.084,3d64s2,a 5D,2.0,3d7(4P)4p,w 3D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2227&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=2227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
216.157900,7.000000000000001e-06,5000000.0,888.132,47136.084,3d64s2,a 5D,1.0,3d7(4P)4p,w 3D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2227&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=2227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
216.677326,6e-06,270000000.0,0.0,46137.097,3d64s2,a 5D,4.0,3d7(4P)4p,w 5P°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2227&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=2227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
217.129691,7.000000000000001e-06,5100000.0,704.007,46744.993,3d64s2,a 5D,2.0,3d7(4P)4p,u 5D°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2227&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=2227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
217.321355,7.000000000000001e-06,8300000.0,888.132,46888.517,3d64s2,a 5D,1.0,3d7(4P)4p,u 5D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2227&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=2227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
217.684010,7.000000000000001e-06,10000000.0,978.074,46901.832,3d64s2,a 5D,0.0,3d6(3P2)4s4p(3P°),y 3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2227&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=2227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
219.120418,7.000000000000001e-06,7300000.0,978.074,46600.818,3d64s2,a 5D,0.0,3d6(3P2)4s4p(3P°),z 3S°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2227&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=2227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
219.183908,7.000000000000001e-06,120000000.0,704.007,46313.537,3d64s2,a 5D,2.0,3d7(4P)4p,w 5P°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2227&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=2227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
219.604199,1.1e-05,120000000.0,888.132,46410.381,3d64s2,a 5D,1.0,3d7(4P)4p,w 5P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2227&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=2227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
220.038993,1.1e-05,89000000.0,978.074,46410.381,3d64s2,a 5D,0.0,3d7(4P)4p,w 5P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2227&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=2227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
220.072429,7.000000000000001e-06,28000000.0,888.132,46313.537,3d64s2,a 5D,1.0,3d7(4P)4p,w 5P°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2227&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=2227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
222.817144,8e-06,2100000.0,415.933,45281.833,3d64s2,a 5D,3.0,3d6(3P2)4s4p(3P°),x 3D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2227&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=2227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
225.079023,6e-06,1230000.0,0.0,44415.074,3d64s2,a 5D,4.0,3d6(3F2)4s4p(3P°),w 5F°,4.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5720&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=5720&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
225.928244,8e-06,1300000.0,415.933,44664.075,3d64s2,a 5D,3.0,3d6(3F2)4s4p(3P°),v 5D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2227&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=2227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
225.951006,1.1e-05,5660000.0,0.0,44243.685,3d64s2,a 5D,4.0,3d6(3F2)4s4p(3P°),w 5F°,5.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5720&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=5720&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
226.505412,1.2e-05,1430000.0,415.933,44551.335,3d64s2,a 5D,3.0,3d6(3F2)4s4p(3P°),w 5F°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5720&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=5720&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
226.708447,8e-06,4570000.0,415.933,44511.812,3d64s2,a 5D,3.0,3d7(4P)4p,y 5S°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5720&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=5720&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
227.206942,8e-06,2920000.0,415.933,44415.074,3d64s2,a 5D,3.0,3d6(3F2)4s4p(3P°),w 5F°,4.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5720&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=5720&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
227.519159,1.2e-05,6190000.0,888.132,44826.9,3d64s2,a 5D,1.0,3d6(3F2)4s4p(3P°),v 5D°,0.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5720&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=5720&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
227.602564,6e-06,12500000.0,0.0,43922.668,3d64s2,a 5D,4.0,3d6(3P2)4s4p(3P°),w 5D°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5720&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=5720&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
227.993675,1.2e-05,1880000.0,704.007,44551.335,3d64s2,a 5D,2.0,3d6(3F2)4s4p(3P°),w 5F°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5720&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=5720&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
228.330395,8e-06,2590000.0,978.074,44760.746,3d64s2,a 5D,0.0,3d6(3F2)4s4p(3P°),v 5D°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5720&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=5720&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11631&amp;comment_code=&amp;element=Fe&amp;spectr_charge=1&amp;ref=11631&amp;type=
