Wavelength,Unc.  (nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
365.3102,0.0007,752000.0,0.0,27366.2,7s,2S,1/2,9p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
368.651,0.0007,724000.0,0.0,27118.21,7s,2S,1/2,9p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
422.56552,0.0009,2820000.0,0.0,23658.306,7s,2S,1/2,8p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
432.53607,0.0009,2640000.0,0.0,23112.96,7s,2S,1/2,8p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
585.3491,0.0002,4440000.0,12237.409,29316.497,7p,2P°,1/2,9d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
648.421,0.0003,3910000.0,13923.998,29341.817,7p,2P°,3/2,9d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
649.4876,0.0003,641000.0,13923.998,29316.497,7p,2P°,3/2,9d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
650.7242,0.0003,8040000.0,12237.409,27600.657,7p,2P°,1/2,8d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
717.9866400000001,0.0001,47800000.0,0.0,13923.998,7s,2S,1/2,7p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
728.5892,0.0004,6930000.0,13923.998,27645.373,7p,2P°,3/2,8d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
730.9713,0.0004,1130000.0,13923.998,27600.657,7p,2P°,3/2,8d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
744.1976,0.004,2750000.0,12237.409,25671.0,7p,2P°,1/2,9s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
816.9418400000001,0.0002,32200000.0,0.0,12237.409,7s,2S,1/2,7p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
832.6449,0.002,16600000.0,12237.409,24244.03,7p,2P°,1/2,7d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
