Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
368.41341+,91000000.0,0.0,27135.695,4f7(8S°)5d6s2,9D°,2.0,4f7(8S°)5d (9D°)6s6p(1P°),9P,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=3475&amp;type=
371.35750+,92000000.0,215.124,27135.695,4f7(8S°)5d6s2,9D°,3.0,4f7(8S°)5d (9D°)6s6p(1P°),9P,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=3475&amp;type=
371.74835+,68000000.0,532.977,27425.245,4f7(8S°)5d6s2,9D°,4.0,4f7(8S°)5d (9D°)6s6p(1P°),,4.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=3475&amp;type=
378.30597+,94000000.0,999.121,27425.245,4f7(8S°)5d6s2,9D°,5.0,4f7(8S°)5d (9D°)6s6p(1P°),,4.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=3475&amp;type=
405.36402+,62000000.0,999.121,25661.34,4f7(8S°)5d6s2,9D°,5.0,4f7(8S°)5d (7D°)6s6p(3P°),,6.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=3475&amp;type=
405.82196+,57000000.0,215.124,24849.514,4f7(8S°)5d6s2,9D°,3.0,4f7(8S°)5d (7D°)6s6p(3P°),,4.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=3475&amp;type=
407.87040+,59000000.0,532.977,25043.649,4f7(8S°)5d6s2,9D°,4.0,4f7(8S°)5d (9D°)6s6p(1P°),,5.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=3475&amp;type=
417.55394+,42000000.0,1719.087,25661.34,4f7(8S°)5d6s2,9D°,6.0,4f7(8S°)5d (7D°)6s6p(3P°),,6.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=3475&amp;type=
419.07814+,30000000.0,999.121,24854.297,4f7(8S°)5d6s2,9D°,5.0,4f8(7F)5d (8G)6s,9G,6.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=3475&amp;type=
422.5848+,89000000.0,1719.087,25376.313,4f7(8S°)5d6s2,9D°,6.0,4f7(8S°)5d (9D°)6s6p(1P°),,7.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=3475&amp;type=
431.3845+,43000000.0,215.124,23389.782,4f7(8S°)5d6s2,9D°,3.0,4f7(8S°)5d (9D°)6s6p(1P°),,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=3475&amp;type=
432.7102+,52000000.0,0.0,23103.66,4f7(8S°)5d6s2,9D°,2.0,4f7(8S°)5d2(3F) (10F°)6p,,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=3475&amp;type=
440.1851+,38000000.0,1719.087,24430.425,4f7(8S°)5d6s2,9D°,6.0,4f7(8S°)5d (9D°)6s6p(1P°),,6.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=3475&amp;type=
442.2407+,28000000.0,215.124,22820.895,4f7(8S°)5d6s2,9D°,3.0,4f7(8S°)5d (7D°)6s6p(3P°),9D,4.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=3475&amp;type=
443.0629+,30000000.0,0.0,22563.824,4f7(8S°)5d6s2,9D°,2.0,4f7(8S°)5d (7D°)6s6p(3P°),9D,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=3475&amp;type=
451.9654+,38000000.0,215.124,22334.508,4f7(8S°)5d6s2,9D°,3.0,4f7(8S°)5d (9D°)6s6p(1P°),,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Gd&amp;spectr_charge=1&amp;ref=3475&amp;type=
