Wavelength,Unc.  (nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
194.4730,0.0001,70000000.0,557.1341,51978.15,4s24p2,3P,1.0,4s24p4d,3P°,0.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ge&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=187&amp;comment_code=&amp;element=Ge&amp;spectr_charge=1&amp;ref=187&amp;type=
195.511502,0.0005,28000000.0,557.1341,51705.02,4s24p2,3P,1.0,4s24p4d,3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ge&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3476&amp;comment_code=&amp;element=Ge&amp;spectr_charge=1&amp;ref=3476&amp;type=
198.826688,0.0005,25000000.0,1409.9609,51705.02,4s24p2,3P,2.0,4s24p4d,3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ge&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3476&amp;comment_code=&amp;element=Ge&amp;spectr_charge=1&amp;ref=3476&amp;type=
199.888698,0.0005,55000000.0,1409.9609,51437.802,4s24p2,3P,2.0,4s24p4d,3P°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ge&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3476&amp;comment_code=&amp;element=Ge&amp;spectr_charge=1&amp;ref=3476&amp;type=
204.17121,0.0001,110000000.0,0.0,48962.783,4s24p2,3P,0.0,4s24p4d,3D°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ge&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3476&amp;comment_code=&amp;element=Ge&amp;spectr_charge=1&amp;ref=3476&amp;type=
206.52147,0.0001,85000000.0,557.1341,48962.783,4s24p2,3P,1.0,4s24p4d,3D°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ge&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3476&amp;comment_code=&amp;element=Ge&amp;spectr_charge=1&amp;ref=3476&amp;type=
206.86562,0.0001,120000000.0,557.1341,48882.263,4s24p2,3P,1.0,4s24p4d,3D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ge&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3476&amp;comment_code=&amp;element=Ge&amp;spectr_charge=1&amp;ref=3476&amp;type=
208.60206,0.0001,40000000.0,557.1341,48480.048,4s24p2,3P,1.0,4s24p4d,1D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ge&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3476&amp;comment_code=&amp;element=Ge&amp;spectr_charge=1&amp;ref=3476&amp;type=
209.42582,0.0001,97000000.0,1409.9609,49144.397,4s24p2,3P,2.0,4s24p4d,3D°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ge&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3476&amp;comment_code=&amp;element=Ge&amp;spectr_charge=1&amp;ref=3476&amp;type=
210.58238,0.0001,17000000.0,1409.9609,48882.263,4s24p2,3P,2.0,4s24p4d,3D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ge&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3476&amp;comment_code=&amp;element=Ge&amp;spectr_charge=1&amp;ref=3476&amp;type=
