Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
53.7029918,3e-07,566340000.0,0.0,186209.36494,1s2,1S,0,1s3p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=551&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=551&amp;type=
53.7331173,3e-07,1299.0,0.0,186104.9666893,1s2,1S,0,1s3d,1D,2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=7378&amp;type=E2,
53.8895999,3e-07,0.121,0.0,185564.56192,1s2,1S,0,1s3p,3P°,2,M2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5612&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=5612&amp;type=M2,
58.4334357,4e-07,1798900000.0,0.0,171134.896946,1s2,1S,0,1s2p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=551&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=551&amp;type=
59.1412071,4e-07,176.4,0.0,169086.8428979,1s2,1S,0,1s2p,3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3585&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=3585&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=551&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=551&amp;type=
59.1412339,4e-07,0.327,0.0,169086.7664725,1s2,1S,0,1s2p,3P°,2,M2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1494&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=1494&amp;type=M2,
62.5563107,4e-07,0.0001272,0.0,159855.9743297,1s2,1S,0,1s2s,3S,1,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1896&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=1896&amp;type=M1,
388.8604648,2.1000000000000002e-06,9474600.0,159855.9743297,185564.85454,1s2s,3S,1,1s3p,3P°,0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,
388.8645585,2.1000000000000002e-06,9474600.0,159855.9743297,185564.583895,1s2s,3S,1,1s3p,3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14925&amp;comment_code=c72&amp;element=He&amp;spectr_charge=1&amp;ref=14925&amp;type=
388.8648909,2.1000000000000002e-06,9474600.0,159855.9743297,185564.56192,1s2s,3S,1,1s3p,3P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14925&amp;comment_code=c72&amp;element=He&amp;spectr_charge=1&amp;ref=14925&amp;type=
