Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
316.255825,7.000000000000001e-06,20400000.0,0.0,31610.8213,5d26s2,a 3F,2.0,5d2(a 3F)6s(a 2F)6p,y 1D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5346&amp;comment_code=&amp;element=Hf&amp;spectr_charge=1&amp;ref=5346&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21976&amp;comment_code=&amp;element=Hf&amp;spectr_charge=1&amp;ref=21976&amp;type=
318.963093,7.000000000000001e-06,2410000.0,0.0,31342.5275,5d26s2,a 3F,2.0,5d2(a 3P)6s(a 4P)6p,y 5D°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5346&amp;comment_code=&amp;element=Hf&amp;spectr_charge=1&amp;ref=5346&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21976&amp;comment_code=&amp;element=Hf&amp;spectr_charge=1&amp;ref=21976&amp;type=
333.272468,8e-06,18300000.0,0.0,29996.8513,5d26s2,a 3F,2.0,5d2(a 3F)6s(a 4F)6p,y 3D°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5346&amp;comment_code=&amp;element=Hf&amp;spectr_charge=1&amp;ref=5346&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21976&amp;comment_code=&amp;element=Hf&amp;spectr_charge=1&amp;ref=21976&amp;type=
336.005287,8e-06,2860000.0,0.0,29752.887,5d26s2,a 3F,2.0,5d2(a 3P)6s(a 4P)6p,y 5D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5346&amp;comment_code=&amp;element=Hf&amp;spectr_charge=1&amp;ref=5346&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21976&amp;comment_code=&amp;element=Hf&amp;spectr_charge=1&amp;ref=21976&amp;type=
340.021374,9e-06,3600000.0,0.0,29401.4784,5d26s2,a 3F,2.0,5d2(a 3P)6s(a 4P)6p,y 3P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5346&amp;comment_code=&amp;element=Hf&amp;spectr_charge=1&amp;ref=5346&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21976&amp;comment_code=&amp;element=Hf&amp;spectr_charge=1&amp;ref=21976&amp;type=
341.733878,8e-06,7000000.0,2356.6756,31610.8213,5d26s2,a 3F,3.0,5d2(a 3F)6s(a 2F)6p,y 1D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5346&amp;comment_code=&amp;element=Hf&amp;spectr_charge=1&amp;ref=5346&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21976&amp;comment_code=&amp;element=Hf&amp;spectr_charge=1&amp;ref=21976&amp;type=
344.897073,1e-05,329000.0,2356.6756,31342.5275,5d26s2,a 3F,3.0,5d2(a 3P)6s(a 4P)6p,y 5D°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5346&amp;comment_code=&amp;element=Hf&amp;spectr_charge=1&amp;ref=5346&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=16323&amp;comment_code=&amp;element=Hf&amp;spectr_charge=1&amp;ref=16323&amp;type=
347.240120,1e-05,26300000.0,0.0,28790.272,5d26s2,a 3F,2.0,5d2(a 3F)6s(a 4F)6p,y 3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5346&amp;comment_code=&amp;element=Hf&amp;spectr_charge=1&amp;ref=5346&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21976&amp;comment_code=&amp;element=Hf&amp;spectr_charge=1&amp;ref=21976&amp;type=
349.749366,9e-06,17900000.0,0.0,28583.7248,5d26s2,a 3F,2.0,5d2(a 3F)6s(a 4F)6p,z 3G°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5346&amp;comment_code=&amp;element=Hf&amp;spectr_charge=1&amp;ref=5346&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21976&amp;comment_code=&amp;element=Hf&amp;spectr_charge=1&amp;ref=21976&amp;type=
352.302351,1e-05,14600000.0,2356.6756,30733.2723,5d26s2,a 3F,3.0,5d2(a 3F)6s(a 4F)6p,y 3F°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5346&amp;comment_code=&amp;element=Hf&amp;spectr_charge=1&amp;ref=5346&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21976&amp;comment_code=&amp;element=Hf&amp;spectr_charge=1&amp;ref=21976&amp;type=
