Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
184.949946,1.7e-05,746000000.0,0.0,54068.6829,5d106s2,1S,0.0,5d106s6p,1P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3456&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=3456&amp;type=
237.83241,0.00011,3600000.0,37644.982,79678.57,5d106s6p,3P°,0.0,5d106s8d,3D,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3462&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=3462&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3456&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=3456&amp;type=
253.65209,5e-05,8400000.0,0.0,39412.237,5d106s2,1S,0.0,5d106s6p,3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7247&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=7247&amp;type=
265.20421,5e-05,39000000.0,39412.237,77107.807,5d106s6p,3P°,1.0,5d106s7d,3D,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5292&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=5292&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3451&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=3451&amp;type=
265.51300,5e-05,11000000.0,39412.237,77063.97,5d106s6p,3P°,1.0,5d106s7d,1D,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5292&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=5292&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3456&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=3456&amp;type=
275.27818,5.9999999999999995e-05,6100000.0,37644.982,73961.135,5d106s6p,3P°,0.0,5d106s8s,3S,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5292&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=5292&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3456&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=3456&amp;type=
285.69305,0.00016,1100000.0,39412.237,74404.56,5d106s6p,3P°,1.0,5d106s8s,1S,0.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5292&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=5292&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3456&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=3456&amp;type=
289.36001,5.9999999999999995e-05,15700000.0,39412.237,73961.135,5d106s6p,3P°,1.0,5d106s8s,3S,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5292&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=5292&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7247&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=7247&amp;type=
296.72832,5.9999999999999995e-05,46000000.0,37644.982,71336.005,5d106s6p,3P°,0.0,5d106s6d,3D,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3462&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=3462&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7247&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=7247&amp;type=
302.15041,0.0001,51000000.0,44042.909,77129.372,5d106s6p,3P°,2.0,5d106s7d,3D,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5292&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=5292&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7247&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=7247&amp;type=
302.34748,5.9999999999999995e-05,9400000.0,44042.909,77107.807,5d106s6p,3P°,2.0,5d106s7d,3D,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5292&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=5292&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3456&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=3456&amp;type=
302.74888,5.9999999999999995e-05,1980000.0,44042.909,77063.97,5d106s6p,3P°,2.0,5d106s7d,1D,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5292&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=5292&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3456&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=3456&amp;type=
312.56732,5e-05,66000000.0,39412.237,71396.073,5d106s6p,3P°,1.0,5d106s6d,3D,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5292&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=5292&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7247&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=7247&amp;type=
334.14834,8e-05,16800000.0,44042.909,73961.135,5d106s6p,3P°,2.0,5d106s8s,3S,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5292&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=5292&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7247&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=7247&amp;type=
365.01579,9e-05,129000000.0,44042.909,71431.18,5d106s6p,3P°,2.0,5d106s6d,3D,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5292&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=5292&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7247&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=7247&amp;type=
365.48429,7e-05,18400000.0,44042.909,71396.073,5d106s6p,3P°,2.0,5d106s6d,3D,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5292&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=5292&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7247&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=7247&amp;type=
366.28869,8e-05,3600000.0,44042.909,71336.005,5d106s6p,3P°,2.0,5d106s6d,3D,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3447&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=3447&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7247&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=7247&amp;type=
404.65643,8e-05,20700000.0,37644.982,62350.325,5d106s6p,3P°,0.0,5d106s7s,3S,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5292&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=5292&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7247&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=7247&amp;type=
407.78370,8e-05,4000000.0,39412.237,63928.12,5d106s6p,3P°,1.0,5d106s7s,1S,0.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5292&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=5292&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7247&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=7247&amp;type=
433.92228,9e-05,2900000.0,54068.6829,77107.807,5d106s6p,1P°,1.0,5d106s7d,3D,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5292&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=5292&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3451&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=3451&amp;type=
434.74951,9e-05,8400000.0,54068.6829,77063.97,5d106s6p,1P°,1.0,5d106s7d,1D,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5292&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=5292&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3451&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=3451&amp;type=
435.83363,8e-05,56000000.0,39412.237,62350.325,5d106s6p,3P°,1.0,5d106s7s,3S,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5292&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=5292&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7247&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=7247&amp;type=
491.6045,0.0005,5800000.0,54068.6829,74404.56,5d106s6p,1P°,1.0,5d106s8s,1S,0.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5292&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=5292&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3451&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=3451&amp;type=
502.56307,0.0002,26700.0,54068.6829,73961.135,5d106s6p,1P°,1.0,5d106s8s,3S,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5292&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=5292&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7587&amp;comment_code=c86&amp;element=Hg&amp;spectr_charge=1&amp;ref=7587&amp;type=
546.07498,9e-05,49000000.0,44042.909,62350.325,5d106s6p,3P°,2.0,5d106s7s,3S,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5292&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=5292&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7247&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=7247&amp;type=
576.96095,0.0001,23600000.0,54068.6829,71396.073,5d106s6p,1P°,1.0,5d106s6d,3D,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5292&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=5292&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7247&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=7247&amp;type=
578.96805,0.00022999999999999998,600000.0,54068.6829,71336.005,5d106s6p,1P°,1.0,5d106s6d,3D,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3447&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=3447&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=15226&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=15226&amp;type=
579.06705,0.0001,31000000.0,54068.6829,71333.053,5d106s6p,1P°,1.0,5d106s6d,1D,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3462&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=3462&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7247&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=7247&amp;type=
607.266,0.006,60000.0,62350.325,78813.02,5d106s7s,3S,1.0,5d96s2(2D5/2)6p,2[3/2]°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3462&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=3462&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7394&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=7394&amp;type=
671.636,0.006999999999999999,240000.0,63928.12,78813.02,5d106s7s,1S,0.0,5d96s2(2D5/2)6p,2[3/2]°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3462&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=3462&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7394&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=7394&amp;type=
690.746,0.004,1600000.0,62350.325,76823.43,5d106s7s,3S,1.0,5d106s8p,3P°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3462&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=3462&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7394&amp;comment_code=&amp;element=Hg&amp;spectr_charge=1&amp;ref=7394&amp;type=
