Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
404.0811+,37300000.0,0.0,24740.52,4f116s2,4I°,15/2,4f105d6s2,,13/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Ho&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ho&amp;spectr_charge=1&amp;ref=3475&amp;type=
405.3873+,162000000.0,0.0,24660.8,4f116s2,4I°,15/2,4f11(4I°15/2)6s6p(1P°1),"(15/2,1)",15/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Ho&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ho&amp;spectr_charge=1&amp;ref=3475&amp;type=
410.3796+,155000000.0,0.0,24360.81,4f116s2,4I°,15/2,4f11(4I°15/2)6s6p(1P°1),"(15/2,1)",17/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Ho&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ho&amp;spectr_charge=1&amp;ref=3475&amp;type=
410.8619+,200000000.0,5419.7,29751.91,4f116s2,4I°,13/2,4f11(4I°13/2)6s6p(1P°1),"(13/2,1)",13/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7125&amp;comment_code=&amp;element=Ho&amp;spectr_charge=1&amp;ref=7125&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ho&amp;spectr_charge=1&amp;ref=3475&amp;type=
412.7161+,210000000.0,5419.7,29642.6,4f116s2,4I°,13/2,4f11(4I°13/2)6s6p(1P°1),"(13/2,1)",15/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7125&amp;comment_code=&amp;element=Ho&amp;spectr_charge=1&amp;ref=7125&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ho&amp;spectr_charge=1&amp;ref=3475&amp;type=
416.3026+,89700000.0,0.0,24014.22,4f116s2,4I°,15/2,4f11(4I°15/2)6s6p(1P°1),"(15/2,1)",13/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Ho&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ho&amp;spectr_charge=1&amp;ref=3475&amp;type=
417.3197+,25800000.0,0.0,23955.69,4f116s2,4I°,15/2,4f11(4I°13/2)6s6p(3P°2),"(13/2,2)",13/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Ho&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ho&amp;spectr_charge=1&amp;ref=3475&amp;type=
422.713+,110000000.0,5419.7,29069.78,4f116s2,4I°,13/2,4f11(4I°13/2)6s6p(1P°1),"(13/2,1)",11/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7125&amp;comment_code=&amp;element=Ho&amp;spectr_charge=1&amp;ref=7125&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ho&amp;spectr_charge=1&amp;ref=3475&amp;type=
425.438+,11500000.0,0.0,23498.57,4f116s2,4I°,15/2,4f11(4I°13/2)6s6p(3P°2),"(13/2,2)",17/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Ho&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ho&amp;spectr_charge=1&amp;ref=3475&amp;type=
435.073+,8900000.0,0.0,22978.19,4f116s2,4I°,15/2,4f10(5I5)5d5/26s2,"(5,5/2)",13/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Ho&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ho&amp;spectr_charge=1&amp;ref=3475&amp;type=
493.901+,2600000.0,0.0,20241.31,4f116s2,4I°,15/2,4f10(5I6)5d5/26s2,"(6,5/2)",13/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Ho&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ho&amp;spectr_charge=1&amp;ref=3475&amp;type=
