Wavelength,Unc.  (nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
238.9534,0.001,2990000.0,0.0,41836.41,5s25p,2P°,1/2,5s27d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
252.1350,0.001,5330000.0,2212.599,41861.96,5s25p,2P°,3/2,5s27d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
252.2976,0.001,1270000.0,2212.599,41836.41,5s25p,2P°,3/2,5s27d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
256.01482,0.0001,19700000.0,0.0,39048.53,5s25p,2P°,1/2,5s26d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
271.02683,0.0001,27200000.0,2212.599,39098.38,5s25p,2P°,3/2,5s26d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
271.39363,0.0001,4630000.0,2212.599,39048.53,5s25p,2P°,3/2,5s26d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
275.38654,0.0001,13000000.0,0.0,36301.864,5s25p,2P°,1/2,5s27s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
277.535604,1e-05,260000.0,0.0,36020.78,5s25p,2P°,1/2,5s5p2,4P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
283.69014,0.0001,145000.0,2212.599,37451.962,5s25p,2P°,3/2,5s5p2,4P,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
285.812671,1e-05,653000.0,0.0,34977.678,5s25p,2P°,1/2,5s5p2,4P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
