Wavelength,Unc.  (nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
344.6372,0.0006,165000.0,0.0,29007.71,3p64s,2S,1/2,3p66p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5436&amp;comment_code=n&amp;element=K&amp;spectr_charge=1&amp;ref=5436&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=3287&amp;type=
344.7375,0.0006,145000.0,0.0,28999.27,3p64s,2S,1/2,3p66p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5436&amp;comment_code=n&amp;element=K&amp;spectr_charge=1&amp;ref=5436&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=3287&amp;type=
404.41422,8e-05,1150000.0,0.0,24720.139,3p64s,2S,1/2,3p65p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5436&amp;comment_code=n&amp;element=K&amp;spectr_charge=1&amp;ref=5436&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=3287&amp;type=
404.72132,8e-05,1070000.0,0.0,24701.382,3p64s,2S,1/2,3p65p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5436&amp;comment_code=n&amp;element=K&amp;spectr_charge=1&amp;ref=5436&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=3287&amp;type=
464.18750,0.00011,154.0,0.0,21536.988,3p64s,2S,1/2,3p63d,2D,3/2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5364&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=5364&amp;type=E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6096&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=6096&amp;type=E2
464.23725,0.00011,154.0,0.0,21534.68,3p64s,2S,1/2,3p63d,2D,5/2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5364&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=5364&amp;type=E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6096&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=6096&amp;type=E2
534.29693,9e-05,386000.0,12985.185724,31696.1661,3p64p,2P°,1/2,3p66d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9168&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=9168&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6096&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=6096&amp;type=
535.94998,9e-05,81000.0,13042.896027,31696.1661,3p64p,2P°,3/2,3p66d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9168&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=9168&amp;type=,
535.95761,9e-05,486000.0,13042.896027,31695.9005,3p64p,2P°,3/2,3p66d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9168&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=9168&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6096&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=6096&amp;type=
581.21521,0.0001,286000.0,12985.185724,30185.7476,3p64p,2P°,1/2,3p65d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9168&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=9168&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6096&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=6096&amp;type=
