Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
92.3712819+,114000000.0,0.0,108258.7553,4s24p6,1S,0,4s24p5(2P°3/2)6d,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4676&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=4676&amp;type=
92.8710778+,3870000.0,0.0,107676.1489,4s24p6,1S,0,4s24p5(2P°3/2)6d,2[1/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4676&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=4676&amp;type=
94.653556+,151000000.0,0.0,105648.434,4s24p6,1S,0,4s24p5(2P°3/2)5d,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4676&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=4676&amp;type=
95.10555+,25800000.0,0.0,105146.33,4s24p6,1S,0,4s24p5(2P°1/2)6s,2[1/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4676&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=4676&amp;type=
95.340414+,106000000.0,0.0,104887.315,4s24p6,1S,0,4s24p5(2P°1/2)4d,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4676&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=4676&amp;type=
96.3374497+,33500000.0,0.0,103801.7929,4s24p6,1S,0,4s24p5(2P°3/2)5d,2[1/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11903&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=11903&amp;type=
100.1060639+,342000000.0,0.0,99894.0485,4s24p6,1S,0,4s24p5(2P°3/2)6s,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11903&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=11903&amp;type=
100.355044+,182000000.0,0.0,99646.212,4s24p6,1S,0,4s24p5(2P°3/2)4d,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4676&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=4676&amp;type=
103.002319+,11100000.0,0.0,97085.193,4s24p6,1S,0,4s24p5(2P°3/2)4d,2[1/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4676&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=4676&amp;type=
116.4867079+,309000000.0,0.0,85846.7046,4s24p6,1S,0,4s24p5(2P°1/2)5s,2[1/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4676&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=4676&amp;type=
123.583779+,298000000.0,0.0,80916.768,4s24p6,1S,0,4s24p5(2P°3/2)5s,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4676&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=4676&amp;type=
125.044169+,0.0354,0.0,79971.7417,4s24p6,1S,0,4s24p5(2P°3/2)5s,2[3/2]°,2,M2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2190&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=2190&amp;type=M2,
349.598894+,17700.0,79971.7417,108567.7689,4s24p5(2P°3/2)5s,2[3/2]°,2,4s24p5(2P°1/2)6p,2[3/2],2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3952&amp;comment_code=n&amp;element=Kr&amp;spectr_charge=1&amp;ref=3952&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4054&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=4054&amp;type=
350.255262+,230000.0,79971.7417,108514.1824,4s24p5(2P°3/2)5s,2[3/2]°,2,4s24p5(2P°1/2)6p,2[1/2],1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3952&amp;comment_code=n&amp;element=Kr&amp;spectr_charge=1&amp;ref=3952&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7350&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=7350&amp;type=
351.189443+,13300.0,79971.7417,108438.2603,4s24p5(2P°3/2)5s,2[3/2]°,2,4s24p5(2P°1/2)6p,2[3/2],1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3952&amp;comment_code=n&amp;element=Kr&amp;spectr_charge=1&amp;ref=3952&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7350&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=7350&amp;type=
361.547453+,114000.0,80916.768,108567.7689,4s24p5(2P°3/2)5s,2[3/2]°,1,4s24p5(2P°1/2)6p,2[3/2],2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3952&amp;comment_code=n&amp;element=Kr&amp;spectr_charge=1&amp;ref=3952&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4054&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=4054&amp;type=
