Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
338.8607+,10100000.0,0.0,29502.18,5d6s2,2D,3/2,4f5d(3D°)6s,°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9460&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=9460&amp;type=,
340.4519+,14000000.0,1053.164,30417.46,5d6s2,2D,5/2,4f5d(3P°)6s,4P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9460&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=9460&amp;type=,
346.1184+,19600000.0,1053.164,29936.74,5d6s2,2D,5/2,4f5d(3P°)6s,°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9460&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=9460&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=3475&amp;type=
351.4055+,17500000.0,1053.164,29502.18,5d6s2,2D,5/2,4f5d(3D°)6s,°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9460&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=9460&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=3475&amp;type=
357.4425+,95000000.0,0.0,27968.54,5d6s2,2D,3/2,4f5d(3D°)6s,°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9460&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=9460&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=3475&amp;type=
361.3074+,15700000.0,0.0,27669.37,5d6s2,2D,3/2,4f5d(3F°)6s,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9460&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=9460&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=3475&amp;type=
363.6661+,7200000.0,1053.164,28543.08,5d6s2,2D,5/2,4f5d(3F°)6s,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9460&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=9460&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=3475&amp;type=
364.1519+,91000000.0,1053.164,28506.41,5d6s2,2D,5/2,5d6s(3D)6p,°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9460&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=9460&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=3475&amp;type=
364.9522+,18800000.0,0.0,27393.04,5d6s2,2D,3/2,5d2(1D)6p,°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9460&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=9460&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=3475&amp;type=
367.2014+,12600000.0,0.0,27225.26,5d6s2,2D,3/2,5d2(3P)6p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9460&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=9460&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=3475&amp;type=
