Wavelength,Unc.  (nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
274.1203,0.0010,1247000.0,0.0,36469.55,1s22s,2S,1/2,1s24p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6620&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=6620&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
274.1203,0.0010,1248000.0,0.0,36469.55,1s22s,2S,1/2,1s24p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6620&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=6620&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
323.2657,0.0010,1002000.0,0.0,30925.38,1s22s,2S,1/2,1s23p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7401&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=7401&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
323.2657,0.0010,1002000.0,0.0,30925.38,1s22s,2S,1/2,1s23p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7401&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=7401&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
460.2821,0.0010,19350000.0,14903.66,36623.38,1s22p,2P°,1/2,1s24d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6620&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=6620&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
460.2889,0.0010,23220000.0,14904.0,36623.4,1s22p,2P°,3/2,1s24d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6620&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=6620&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
460.2893,0.0010,3871000.0,14904.0,36623.38,1s22p,2P°,3/2,1s24d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6620&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=6620&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
497.1659,0.0010,3460000.0,14903.66,35012.06,1s22p,2P°,1/2,1s24s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7401&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=7401&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
497.1743,0.0010,6919000.0,14904.0,35012.06,1s22p,2P°,3/2,1s24s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7401&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=7401&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
610.353,0.010,57138000.0,14903.66,31283.08,1s22p,2P°,1/2,1s23d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6505&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=6505&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
