Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
285.28110,0.00016,538000.0,0.0,35042.85,2p63s,2S,1/2,2p65p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=c30&amp;element=Na&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6096&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=6096&amp;type=
285.30121,0.00016,531000.0,0.0,35040.38,2p63s,2S,1/2,2p65p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=c30&amp;element=Na&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6096&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=6096&amp;type=
330.23686,0.00022,2750000.0,0.0,30272.58,2p63s,2S,1/2,2p64p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=c30&amp;element=Na&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6096&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=6096&amp;type=
330.29785,0.00022,2730000.0,0.0,30266.99,2p63s,2S,1/2,2p64p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=c30&amp;element=Na&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6096&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=6096&amp;type=
341.607,0.011000000000000001,15000000.0,263745.3,293010.3,2p5(2P°)3s3p(3P°),4S,3/2,2p53s(3P°)3d,4D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5209&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=5209&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6269&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=6269&amp;type=
342.736,0.011000000000000001,28000000.0,263745.3,292913.9,2p5(2P°)3s3p(3P°),4S,3/2,2p53s(3P°)3d,4F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5209&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=5209&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6269&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=6269&amp;type=
348.890,0.009000000000000001,42000000.0,263745.3,292399.4,2p5(2P°)3s3p(3P°),4S,3/2,2p53s(3P°)3d,4D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5209&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=5209&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6269&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=6269&amp;type=
350.237,0.01,88000000.0,263745.3,292289.2,2p5(2P°)3s3p(3P°),4S,3/2,2p53s(3P°)3d,4P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5209&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=5209&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6269&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=6269&amp;type=
351.093,0.01,115000000.0,263745.3,292219.6,2p5(2P°)3s3p(3P°),4S,3/2,2p53s(3P°)3d,4P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5209&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=5209&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6269&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=6269&amp;type=
384.802,0.013000000000000001,28000000.0,266933.9,292913.9,2p5(2P°)3s3p(3P°),4D,5/2,2p53s(3P°)3d,4F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5209&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=5209&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6269&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=6269&amp;type=
386.543,0.013000000000000001,58000000.0,266586.7,292449.7,2p5(2P°)3s3p(3P°),4D,7/2,2p53s(3P°)3d,4F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5209&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=5209&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6269&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=6269&amp;type=
387.296,0.011000000000000001,12000000.0,266586.7,292399.4,2p5(2P°)3s3p(3P°),4D,7/2,2p53s(3P°)3d,4D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5209&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=5209&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6269&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=6269&amp;type=
388.181,0.02,163000000.0,266586.7,292340.6,2p5(2P°)3s3p(3P°),4D,7/2,2p53s(3P°)3d,4F°,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5209&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=5209&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6269&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=6269&amp;type=
388.39033,5e-05,0.000695,0.0,25739.999,2p63s,2S,1/2,2p64s,2S,1/2,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=c27&amp;element=Na&amp;spectr_charge=1&amp;ref=&amp;type=M1,
388.571,0.011000000000000001,62000000.0,267282.3,293010.3,2p5(2P°)3s3p(3P°),4D,3/2,2p53s(3P°)3d,4D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5209&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=5209&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6269&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=6269&amp;type=
390.033,0.013999999999999999,77000000.0,267282.3,292913.9,2p5(2P°)3s3p(3P°),4D,3/2,2p53s(3P°)3d,4F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5209&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=5209&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6269&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=6269&amp;type=
391.803,0.012,66000000.0,266933.9,292449.7,2p5(2P°)3s3p(3P°),4D,5/2,2p53s(3P°)3d,4F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5209&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=5209&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6269&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=6269&amp;type=
392.577,0.009000000000000001,45000000.0,266933.9,292399.4,2p5(2P°)3s3p(3P°),4D,5/2,2p53s(3P°)3d,4D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5209&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=5209&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6269&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=6269&amp;type=
393.059,0.013999999999999999,25000000.0,267576.0,293010.3,2p5(2P°)3s3p(3P°),4D,1/2,2p53s(3P°)3d,4D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5209&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=5209&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6269&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=6269&amp;type=
394.283,0.009000000000000001,21000000.0,266933.9,292289.2,2p5(2P°)3s3p(3P°),4D,5/2,2p53s(3P°)3d,4P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5209&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=5209&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6269&amp;comment_code=&amp;element=Na&amp;spectr_charge=1&amp;ref=6269&amp;type=
