Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
59.591998,1.4000000000000001e-05,28000000.0,0.0,167807.7649,2s22p6,1S,0,2s22p5(2P°1/2)4d,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6844&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=6844&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6178&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=6178&amp;type=
59.870563,1.4000000000000001e-05,42900000.0,0.0,167026.9923,2s22p6,1S,0,2s22p5(2P°3/2)4d,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6844&amp;comment_code=n&amp;element=Ne&amp;spectr_charge=1&amp;ref=6844&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6178&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=6178&amp;type=
59.889082,1.4000000000000001e-05,15200000.0,0.0,166975.3424,2s22p6,1S,0,2s22p5(2P°3/2)4d,2[1/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6844&amp;comment_code=n&amp;element=Ne&amp;spectr_charge=1&amp;ref=6844&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6178&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=6178&amp;type=
61.562830,1.4999999999999999e-05,40300000.0,0.0,162435.678,2s22p6,1S,0,2s22p5(2P°1/2)3d,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6844&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=6844&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6178&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=6178&amp;type=
61.867169,1.4999999999999999e-05,80000000.0,0.0,161636.6175,2s22p6,1S,0,2s22p5(2P°3/2)3d,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6844&amp;comment_code=n&amp;element=Ne&amp;spectr_charge=1&amp;ref=6844&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6178&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=6178&amp;type=
61.910238,1.4999999999999999e-05,26600000.0,0.0,161524.1739,2s22p6,1S,0,2s22p5(2P°3/2)3d,2[1/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6844&amp;comment_code=n&amp;element=Ne&amp;spectr_charge=1&amp;ref=6844&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6178&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=6178&amp;type=
62.682320,1.6e-05,94500000.0,0.0,159534.6196,2s22p6,1S,0,2s22p5(2P°1/2)4s,2[1/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6844&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=6844&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6178&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=6178&amp;type=
62.973881,1.6e-05,72300000.0,0.0,158795.9924,2s22p6,1S,0,2s22p5(2P°3/2)4s,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5842&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=5842&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6178&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=6178&amp;type=
73.589627,2.2e-05,588000000.0,0.0,135888.7173,2s22p6,1S,0,2s22p5(2P°1/2)3s,2[1/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6496&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=6496&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6178&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=6178&amp;type=
74.371955,2.2e-05,44000000.0,0.0,134459.2871,2s22p6,1S,0,2s22p5(2P°3/2)3s,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6496&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=6496&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1407&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=1407&amp;type=
335.17486,0.0001,10800.0,134459.2871,164285.8872,2s22p5(2P°3/2)3s,2[3/2]°,1,2s22p5(2P°1/2)4p,2[1/2],0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2427&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=2427&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4498&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=4498&amp;type=
336.98076,0.0001,132000.0,134041.84,163708.6029,2s22p5(2P°3/2)3s,2[3/2]°,2,2s22p5(2P°1/2)4p,2[3/2],2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6976&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=6976&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3451&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=3451&amp;type=
336.99072,0.0001,710000.0,134041.84,163707.7261,2s22p5(2P°3/2)3s,2[3/2]°,2,2s22p5(2P°1/2)4p,2[1/2],1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6976&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=6976&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3451&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=3451&amp;type=
337.56484,0.0001,220000.0,134041.84,163657.2726,2s22p5(2P°3/2)3s,2[3/2]°,2,2s22p5(2P°1/2)4p,2[3/2],1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3163&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=3163&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3451&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=3451&amp;type=
341.79031,0.0001,870000.0,134459.2871,163708.6029,2s22p5(2P°3/2)3s,2[3/2]°,1,2s22p5(2P°1/2)4p,2[3/2],2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6976&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=6976&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3451&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=3451&amp;type=
341.80056,0.0001,278000.0,134459.2871,163707.7261,2s22p5(2P°3/2)3s,2[3/2]°,1,2s22p5(2P°1/2)4p,2[1/2],1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6976&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=6976&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5951&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=5951&amp;type=
342.39120,0.0001,100000.0,134459.2871,163657.2726,2s22p5(2P°3/2)3s,2[3/2]°,1,2s22p5(2P°1/2)4p,2[3/2],1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3163&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=3163&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3451&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=3451&amp;type=
344.77024,0.0001,2130000.0,134041.84,163038.3544,2s22p5(2P°3/2)3s,2[3/2]°,2,2s22p5(2P°3/2)4p,2[3/2],2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6976&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=6976&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3451&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=3451&amp;type=
