Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
196.3870,11000000.0,204.787,51124.662,3d9(2D)4s,3D,3.0,3d8(1G)4s4p(3P°),3F°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
196.8919,4500000.0,0.0,50789.303,3d8(3F)4s2,3F,4.0,3d8(1G)4s4p(3P°),3F°,4.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
197.6890,110000000.0,204.787,50789.303,3d9(2D)4s,3D,3.0,3d8(1G)4s4p(3P°),3F°,4.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
197.7166,8.3,879.816,51457.25,3d9(2D)4s,3D,2.0,3d9(2D3/2)4d,2[1/2],0.0,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=848&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=1&amp;ref=848&amp;type=E2,
198.1621,13000000.0,879.816,51343.547,3d9(2D)4s,3D,2.0,3d8(1G)4s4p(3P°),3F°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
199.0254,83000000.0,879.816,51124.662,3d9(2D)4s,3D,2.0,3d8(1G)4s4p(3P°),3F°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
199.430,5700000.0,0.0,50142.8,3d8(3F)4s2,3F,4.0,3d9(2D)5p,°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
200.0497,5400000.0,879.816,50851.199,3d9(2D)4s,3D,2.0,3d9(2D)5p,3D°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
200.183,7300000.0,204.787,50142.8,3d9(2D)4s,3D,3.0,3d9(2D)5p,°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
200.6993,17000000.0,879.816,50689.489,3d9(2D)4s,3D,2.0,3d9(2D)5p,3D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
