Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
202.201749,1.4000000000000001e-05,5900000.0,0.0,49439.6165,6s26p2,"(1/2,1/2)",0,6s26p7s,"(3/2,1/2)°",1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=50&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=50&amp;type=
205.328150,1.4000000000000001e-05,10200000.0,0.0,48686.934,6s26p2,"(1/2,1/2)",0,6s26p8s,"(1/2,1/2)°",1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=50&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=50&amp;type=
217.000288,1.6e-05,147000000.0,0.0,46068.4385,6s26p2,"(1/2,1/2)",0,6s26p(2P°1/2)6d,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=50&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=50&amp;type=
240.193951,9e-06,24000000.0,7819.2626,49439.6165,6s26p2,"(3/2,1/2)",1,6s26p7s,"(3/2,1/2)°",1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=50&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=50&amp;type=
244.618073,9e-06,18600000.0,7819.2626,48686.934,6s26p2,"(3/2,1/2)",1,6s26p8s,"(1/2,1/2)°",1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=50&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=50&amp;type=
247.637766,1.3000000000000001e-05,26000000.0,7819.2626,48188.6296,6s26p2,"(3/2,1/2)",1,6s26p7s,"(3/2,1/2)°",2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=50&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=50&amp;type=
257.725953,8e-06,51000000.0,10650.3271,49439.6165,6s26p2,"(3/2,1/2)",2,6s26p7s,"(3/2,1/2)°",1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=50&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=50&amp;type=
261.365508,1.2e-05,22000000.0,7819.2626,46068.4385,6s26p2,"(3/2,1/2)",1,6s26p(2P°1/2)6d,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=50&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=50&amp;type=
261.417468,1.2e-05,198000000.0,7819.2626,46060.8364,6s26p2,"(3/2,1/2)",1,6s26p(2P°1/2)6d,2[3/2]°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=50&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=50&amp;type=
262.826247,9e-06,4100000.0,10650.3271,48686.934,6s26p2,"(3/2,1/2)",2,6s26p8s,"(1/2,1/2)°",1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=50&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=50&amp;type=
265.709372,1.2e-05,98000.0,7819.2626,45443.171,6s26p2,"(3/2,1/2)",1,6s26p(2P°1/2)6d,2[5/2]°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=50&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=50&amp;type=
266.315356,1.4000000000000001e-05,67000000.0,10650.3271,48188.6296,6s26p2,"(3/2,1/2)",2,6s26p7s,"(3/2,1/2)°",2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=50&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=50&amp;type=
280.199525,1.3000000000000001e-05,161000000.0,10650.3271,46328.6668,6s26p2,"(3/2,1/2)",2,6s26p(2P°1/2)6d,2[5/2]°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=50&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=50&amp;type=
282.318944,1.3000000000000001e-05,27000000.0,10650.3271,46060.8364,6s26p2,"(3/2,1/2)",2,6s26p(2P°1/2)6d,2[3/2]°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=50&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=50&amp;type=
283.305346,2.4e-05,49000000.0,0.0,35287.2244,6s26p2,"(1/2,1/2)",0,6s26p7s,"(1/2,1/2)°",1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=50&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=50&amp;type=
287.331100,1.2e-05,38000000.0,10650.3271,45443.171,6s26p2,"(3/2,1/2)",2,6s26p(2P°1/2)6d,2[5/2]°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=50&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=50&amp;type=
357.272911,1.4000000000000001e-05,99000000.0,21457.7982,49439.6165,6s26p2,"(3/2,3/2)",2,6s26p7s,"(3/2,1/2)°",1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3654&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=3654&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=50&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=50&amp;type=
363.956773,1.6e-05,32000000.0,7819.2626,35287.2244,6s26p2,"(3/2,1/2)",1,6s26p7s,"(1/2,1/2)°",1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=50&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=50&amp;type=
367.149113,1.4999999999999999e-05,31000000.0,21457.7982,48686.934,6s26p2,"(3/2,3/2)",2,6s26p8s,"(1/2,1/2)°",1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3654&amp;comment_code=n&amp;element=Pb&amp;spectr_charge=1&amp;ref=3654&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=50&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=50&amp;type=
368.346205,1.7e-05,137000000.0,7819.2626,34959.9084,6s26p2,"(3/2,1/2)",1,6s26p7s,"(1/2,1/2)°",0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=50&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=50&amp;type=
373.99352,2.9999999999999997e-05,73000000.0,21457.7982,48188.6296,6s26p2,"(3/2,3/2)",2,6s26p7s,"(3/2,1/2)°",2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3654&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=3654&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=50&amp;comment_code=&amp;element=Pb&amp;spectr_charge=1&amp;ref=50&amp;type=
