Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
482.59281,0.00011999999999999999,177000000.0,0.0,20715.6142,7s2,1S,0.0,7s7p,1P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3403&amp;comment_code=&amp;element=Ra&amp;spectr_charge=1&amp;ref=3403&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3527&amp;comment_code=&amp;element=Ra&amp;spectr_charge=1&amp;ref=3527&amp;type=
540.0231,0.0013,34000000.0,13993.94,32506.52,7s6d,3D,2.0,6d7p,3D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8060&amp;comment_code=&amp;element=Ra&amp;spectr_charge=1&amp;ref=8060&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3527&amp;comment_code=&amp;element=Ra&amp;spectr_charge=1&amp;ref=3527&amp;type=
540.6796,0.0016,42000000.0,14707.29,33197.39,7s6d,3D,3.0,6d7p,3D°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8060&amp;comment_code=&amp;element=Ra&amp;spectr_charge=1&amp;ref=8060&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3527&amp;comment_code=&amp;element=Ra&amp;spectr_charge=1&amp;ref=3527&amp;type=
555.5852,0.0018,43000000.0,13999.3569,31993.4,7s7p,3P°,1.0,7s7d,3D,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8060&amp;comment_code=&amp;element=Ra&amp;spectr_charge=1&amp;ref=8060&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3527&amp;comment_code=&amp;element=Ra&amp;spectr_charge=1&amp;ref=3527&amp;type=
566.0812,0.002,43000000.0,14707.29,32367.7,7s6d,3D,3.0,6d7p,3F°,4.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8002&amp;comment_code=&amp;element=Ra&amp;spectr_charge=1&amp;ref=8002&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3527&amp;comment_code=&amp;element=Ra&amp;spectr_charge=1&amp;ref=3527&amp;type=
581.1588,0.0021,4000000.0,13715.779,30918.01,7s6d,3D,1.0,6d7p,1D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8002&amp;comment_code=&amp;element=Ra&amp;spectr_charge=1&amp;ref=8002&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3527&amp;comment_code=&amp;element=Ra&amp;spectr_charge=1&amp;ref=3527&amp;type=
616.7051,0.0024,14600000.0,14707.29,30918.01,7s6d,3D,3.0,6d7p,1D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8002&amp;comment_code=&amp;element=Ra&amp;spectr_charge=1&amp;ref=8002&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3527&amp;comment_code=&amp;element=Ra&amp;spectr_charge=1&amp;ref=3527&amp;type=
620.0304,0.0016,25000000.0,13993.94,30117.72,7s6d,3D,2.0,6d7p,3F°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8002&amp;comment_code=&amp;element=Ra&amp;spectr_charge=1&amp;ref=8002&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3527&amp;comment_code=&amp;element=Ra&amp;spectr_charge=1&amp;ref=3527&amp;type=
644.6200,0.002,35000000.0,16688.54,32197.27,7s7p,3P°,2.0,7s7d,3D,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8060&amp;comment_code=&amp;element=Ra&amp;spectr_charge=1&amp;ref=8060&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3527&amp;comment_code=&amp;element=Ra&amp;spectr_charge=1&amp;ref=3527&amp;type=
648.7319,0.0017,9900000.0,14707.29,30117.72,7s6d,3D,3.0,6d7p,3F°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8002&amp;comment_code=&amp;element=Ra&amp;spectr_charge=1&amp;ref=8002&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3527&amp;comment_code=&amp;element=Ra&amp;spectr_charge=1&amp;ref=3527&amp;type=
698.0232,0.0017,16600000.0,13715.779,28038.0,7s6d,3D,1.0,6d7p,3F°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8002&amp;comment_code=&amp;element=Ra&amp;spectr_charge=1&amp;ref=8002&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3527&amp;comment_code=&amp;element=Ra&amp;spectr_charge=1&amp;ref=3527&amp;type=
