Wavelength,Unc.  (nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
358.70496,0.0005,396000.0,0.0,27870.11,4p65s,2S,1/2,4p67p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=3287&amp;type=
359.15717,0.0005,289000.0,0.0,27835.02,4p65s,2S,1/2,4p67p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=3287&amp;type=
420.18053,0.0005,1770000.0,0.0,23792.591,4p65s,2S,1/2,4p66p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=3287&amp;type=
421.5539,0.0005,1500000.0,0.0,23715.081,4p65s,2S,1/2,4p66p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=3287&amp;type=
505.07,0.03,6540000.0,134250.1,154044.0,4p55s5p,4S,3/2,4p54d(1P)5s,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7580&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7580&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7245&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7245&amp;type=
521.75,0.03,2860000.0,134250.1,153411.0,4p55s5p,4S,3/2,4p55p2,4D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7580&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7580&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7245&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7245&amp;type=
553.44,0.03,3270000.0,134250.1,152314.0,4p55s5p,4S,3/2,4p55s(1P)6s,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7580&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7580&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7245&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7245&amp;type=
586.01,0.03,9710000.0,134250.1,151310.0,4p55s5p,4S,3/2,4p55s6s,4P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7580&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7580&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7245&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7245&amp;type=
611.87,0.04,29700000.0,134250.1,150589.0,4p55s5p,4S,3/2,4p55s6s,4P°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7580&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7580&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7245&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7245&amp;type=
620.6310,0.0001,2948000.0,12578.95,28687.127,4p65p,2P°,1/2,4p66d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7712&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7712&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7459&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7459&amp;type=
629.8326,0.0001,3712000.0,12816.545,28689.39,4p65p,2P°,3/2,4p66d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7712&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7712&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7459&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7459&amp;type=
629.9224,0.0001,630000.0,12816.545,28687.127,4p65p,2P°,3/2,4p66d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7712&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7712&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7459&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7459&amp;type=
682.22,0.05,107000.0,134250.1,148904.0,4p55s5p,4S,3/2,4p54d(3D)5s,2D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7580&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7580&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7245&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7245&amp;type=
780.0268,0.001,38100000.0,0.0,12816.545,4p65s,2S,1/2,4p65p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4740&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=4740&amp;type=
794.7603,0.001,36100000.0,0.0,12578.95,4p65s,2S,1/2,4p65p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4740&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=4740&amp;type=
