Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
343.6736+,72800000.0,1190.64,30279.68,4d7(a 4F)5s,a 5F,4.0,4d7(a 4F)5p,z 5G°,5.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6131&amp;comment_code=&amp;element=Ru&amp;spectr_charge=1&amp;ref=6131&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ru&amp;spectr_charge=1&amp;ref=3475&amp;type=
349.8942+,86100000.0,0.0,28571.89,4d7(a 4F)5s,a 5F,5.0,4d7(a 4F)5p,z 5G°,6.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6131&amp;comment_code=&amp;element=Ru&amp;spectr_charge=1&amp;ref=6131&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ru&amp;spectr_charge=1&amp;ref=3475&amp;type=
358.9213+,91100000.0,3105.49,30958.8,4d7(a 4F)5s,a 5F,1.0,4d7(a 4F)5p,z 5G°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6131&amp;comment_code=&amp;element=Ru&amp;spectr_charge=1&amp;ref=6131&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ru&amp;spectr_charge=1&amp;ref=3475&amp;type=
359.3018+,81700000.0,2713.24,30537.06,4d7(a 4F)5s,a 5F,2.0,4d7(a 4F)5p,z 5G°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6131&amp;comment_code=&amp;element=Ru&amp;spectr_charge=1&amp;ref=6131&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ru&amp;spectr_charge=1&amp;ref=3475&amp;type=
359.6178+,42000000.0,2091.54,29890.91,4d7(a 4F)5s,a 5F,3.0,4d7(a 4F)5p,z 3G°,4.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6131&amp;comment_code=&amp;element=Ru&amp;spectr_charge=1&amp;ref=6131&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ru&amp;spectr_charge=1&amp;ref=3475&amp;type=
372.6924+,75300000.0,1190.64,28014.79,4d7(a 4F)5s,a 5F,4.0,4d7(a 4F)5p,z 5F°,4.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6131&amp;comment_code=&amp;element=Ru&amp;spectr_charge=1&amp;ref=6131&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ru&amp;spectr_charge=1&amp;ref=3475&amp;type=
372.8025+,82000000.0,0.0,26816.23,4d7(a 4F)5s,a 5F,5.0,4d7(a 4F)5p,z 5F°,5.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6131&amp;comment_code=&amp;element=Ru&amp;spectr_charge=1&amp;ref=6131&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ru&amp;spectr_charge=1&amp;ref=3475&amp;type=
373.0431+,70600000.0,2091.54,28890.47,4d7(a 4F)5s,a 5F,3.0,4d7(a 4F)5p,z 5F°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6131&amp;comment_code=&amp;element=Ru&amp;spectr_charge=1&amp;ref=6131&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ru&amp;spectr_charge=1&amp;ref=3475&amp;type=
379.8898+,59800000.0,1190.64,27506.59,4d7(a 4F)5s,a 5F,4.0,4d7(a 4F)5p,z 5D°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6131&amp;comment_code=&amp;element=Ru&amp;spectr_charge=1&amp;ref=6131&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ru&amp;spectr_charge=1&amp;ref=3475&amp;type=
379.9349+,53300000.0,0.0,26312.83,4d7(a 4F)5s,a 5F,5.0,4d7(a 4F)5p,z 5D°,4.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6131&amp;comment_code=&amp;element=Ru&amp;spectr_charge=1&amp;ref=6131&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ru&amp;spectr_charge=1&amp;ref=3475&amp;type=
