Wavelength,Unc.  (nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
206.83440,0.0001,181000000.0,0.0,48332.424,5p3,4S°,3/2,5p2(3P)6s,4P,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3880&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=3880&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
213.96981,0.0001,174000000.0,8512.125,55232.963,5p3,2D°,3/2,5p2(1D)6s,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3880&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=3880&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
217.58175,0.0001,175000000.0,0.0,45945.34,5p3,4S°,3/2,5p2(3P)6s,4P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3880&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=3880&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
217.91898,0.0001,239000000.0,9854.018,55728.264,5p3,2D°,5/2,5p2(1D)6s,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3880&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=3880&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
231.14633,0.0001,169000000.0,0.0,43249.337,5p3,4S°,3/2,5p2(3P)6s,4P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3880&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=3880&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
252.85088,0.0001,177000000.0,9854.018,49391.133,5p3,2D°,5/2,5p2(3P)6s,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3880&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=3880&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
259.80480,0.0001,21000000.0,8512.125,46991.058,5p3,2D°,3/2,5p2(3P)6s,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3880&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=3880&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
287.79128,0.0001,42400000.0,8512.125,43249.337,5p3,2D°,3/2,5p2(3P)6s,4P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3880&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=3880&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
323.24948,0.0001,30700000.0,18464.202,49391.133,5p3,2P°,3/2,5p2(3P)6s,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3880&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=3880&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
326.74913,0.0001,49500000.0,16395.359,46991.058,5p3,2P°,1/2,5p2(3P)6s,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3880&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=3880&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
