Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
211.28467,4e-05,3200000.0,0.0,47314.526,3d4s2,2D,3/2,3d2(3F)5p,2D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3038&amp;comment_code=&amp;element=Sc&amp;spectr_charge=1&amp;ref=3038&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2110&amp;comment_code=&amp;element=Sc&amp;spectr_charge=1&amp;ref=2110&amp;type=
211.66505,4e-05,20000000.0,0.0,47229.509,3d4s2,2D,3/2,3d2(3F)5p,2D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3038&amp;comment_code=&amp;element=Sc&amp;spectr_charge=1&amp;ref=3038&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2110&amp;comment_code=&amp;element=Sc&amp;spectr_charge=1&amp;ref=2110&amp;type=
212.03916,4e-05,20000000.0,168.3371,47314.526,3d4s2,2D,5/2,3d2(3F)5p,2D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3038&amp;comment_code=&amp;element=Sc&amp;spectr_charge=1&amp;ref=3038&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2110&amp;comment_code=&amp;element=Sc&amp;spectr_charge=1&amp;ref=2110&amp;type=
226.22920,9e-05,5800000.0,0.0,44189.284,3d4s2,2D,3/2,3d2(3P)4p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3038&amp;comment_code=&amp;element=Sc&amp;spectr_charge=1&amp;ref=3038&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4189&amp;comment_code=c12&amp;element=Sc&amp;spectr_charge=1&amp;ref=4189&amp;type=
226.65935,0.0001,48000000.0,0.0,44105.43,3d4s2,2D,3/2,3d2(3P)4p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3038&amp;comment_code=&amp;element=Sc&amp;spectr_charge=1&amp;ref=3038&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4189&amp;comment_code=c12&amp;element=Sc&amp;spectr_charge=1&amp;ref=4189&amp;type=
227.09438,9e-05,46000000.0,168.3371,44189.284,3d4s2,2D,5/2,3d2(3P)4p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3038&amp;comment_code=&amp;element=Sc&amp;spectr_charge=1&amp;ref=3038&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4189&amp;comment_code=c12&amp;element=Sc&amp;spectr_charge=1&amp;ref=4189&amp;type=
228.08321,9e-05,28000000.0,0.0,43830.118,3d4s2,2D,3/2,3d2(1G)4p,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3038&amp;comment_code=&amp;element=Sc&amp;spectr_charge=1&amp;ref=3038&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4189&amp;comment_code=c12&amp;element=Sc&amp;spectr_charge=1&amp;ref=4189&amp;type=
228.96266,9e-05,4100000.0,168.3371,43830.118,3d4s2,2D,5/2,3d2(1G)4p,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3038&amp;comment_code=&amp;element=Sc&amp;spectr_charge=1&amp;ref=3038&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4189&amp;comment_code=c12&amp;element=Sc&amp;spectr_charge=1&amp;ref=4189&amp;type=
231.12912,8e-05,4100000.0,0.0,43252.557,3d4s2,2D,3/2,3d4s(1D)5p,2D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3038&amp;comment_code=&amp;element=Sc&amp;spectr_charge=1&amp;ref=3038&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4189&amp;comment_code=c12&amp;element=Sc&amp;spectr_charge=1&amp;ref=4189&amp;type=
231.56881,0.0001,25000000.0,0.0,43170.439,3d4s2,2D,3/2,3d4s(1D)5p,2D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3038&amp;comment_code=&amp;element=Sc&amp;spectr_charge=1&amp;ref=3038&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4189&amp;comment_code=c12&amp;element=Sc&amp;spectr_charge=1&amp;ref=4189&amp;type=
