Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
162.5705,71600000.0,0.0,61511.77,3s23p2,3P,0.0,3s23p5d,3D°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8363&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=8363&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3521&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=3521&amp;type=
162.7746,53400000.0,77.115,61511.77,3s23p2,3P,1.0,3s23p5d,3D°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8363&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=8363&amp;type=,
162.9441,87300000.0,77.115,61447.86,3s23p2,3P,1.0,3s23p5d,3D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5071&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=5071&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3521&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=3521&amp;type=
162.9948,211000000.0,223.157,61574.814,3s23p2,3P,2.0,3s23p5d,3D°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5071&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=5071&amp;type=,
163.1624,3540000.0,223.157,61511.77,3s23p2,3P,2.0,3s23p5d,3D°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8363&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=8363&amp;type=,
163.3328,11200000.0,223.157,61447.86,3s23p2,3P,2.0,3s23p5d,3D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5071&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=5071&amp;type=,
166.0475,7670000.0,77.115,60300.86,3s23p2,3P,1.0,3s23p5d,1D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5071&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=5071&amp;type=,
166.6376,17500000.0,0.0,60010.458,3s23p2,3P,0.0,3s23pnd,a 3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5071&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=5071&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3521&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=3521&amp;type=
166.7629,82700000.0,77.115,60042.5,3s23p2,3P,1.0,3s23pnd,a 3P°,0.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8363&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=8363&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3521&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=3521&amp;type=
166.8520,25800000.0,77.115,60010.458,3s23p2,3P,1.0,3s23pnd,a 3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5071&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=5071&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3521&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=3521&amp;type=
167.1117,8300000.0,77.115,59917.336,3s23p2,3P,1.0,3s23pnd,a 3P°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5071&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=5071&amp;type=,
167.2596,30900000.0,223.157,60010.458,3s23p2,3P,2.0,3s23pnd,a 3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5071&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=5071&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3521&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=3521&amp;type=
167.5205,64100000.0,223.157,59917.336,3s23p2,3P,2.0,3s23pnd,a 3P°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5071&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=5071&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3521&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=3521&amp;type=
168.944,22.0,0.0,59191.072,3s23p2,3P,0.0,3s23p(2P°3/2)4f,2[3/2],2.0,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5785&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=5785&amp;type=E2,
169.1648,4.38,77.115,59191.072,3s23p2,3P,1.0,3s23p(2P°3/2)4f,2[3/2],2.0,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5785&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=5785&amp;type=E2,
169.1665,86.2,77.115,59190.46,3s23p2,3P,1.0,3s23p(2P°3/2)4f,2[3/2],1.0,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5785&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=5785&amp;type=E2,
169.174,0.0131,0.0,59110.892,3s23p2,3P,0.0,3s23p(2P°3/2)4f,2[5/2],2.0,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5785&amp;comment_code=&amp;element=Si&amp;spectr_charge=1&amp;ref=5785&amp;type=E2,
