Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
207.30741,5e-05,3600000.0,0.0,48222.159,5s25p2,3P,0.0,5s25p7s,3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3149&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3149&amp;type=
219.93456,2.9999999999999997e-05,29000000.0,1691.806,47145.684,5s25p2,3P,1.0,5s25p5d,1D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3149&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3149&amp;type=
220.96595,4e-05,56000000.0,3427.673,48669.409,5s25p2,3P,2.0,5s25p5d,3P°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3149&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3149&amp;type=
224.60563,5e-05,160000000.0,0.0,44508.677,5s25p2,3P,0.0,5s25p5d,3D°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3149&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3149&amp;type=
226.89296,2.9999999999999997e-05,120000000.0,3427.673,47487.696,5s25p2,3P,2.0,5s25p5d,3D°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3149&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3149&amp;type=
228.66814,2.9999999999999997e-05,31000000.0,3427.673,47145.684,5s25p2,3P,2.0,5s25p5d,1D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3149&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3149&amp;type=
231.72300,2.9999999999999997e-05,200000000.0,8612.955,51754.671,5s25p2,1D,2.0,5s25p6d,3F°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3149&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3149&amp;type=
233.48120,2.9999999999999997e-05,66000000.0,1691.806,44508.677,5s25p2,3P,1.0,5s25p5d,3D°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3149&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3149&amp;type=
235.48500,2.9999999999999997e-05,170000000.0,1691.806,44144.368,5s25p2,3P,1.0,5s25p5d,3D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3149&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3149&amp;type=
238.07403,2.9999999999999997e-05,3100000.0,1691.806,43682.737,5s25p2,3P,1.0,5s25p5d,3F°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3149&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3149&amp;type=
240.81506,2.9999999999999997e-05,18000000.0,8612.955,50125.971,5s25p2,1D,2.0,5s25p5d,1P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3149&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3149&amp;type=
242.16941,5.9999999999999995e-05,250000000.0,8612.955,49893.823,5s25p2,1D,2.0,5s25p5d,1F°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3149&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3149&amp;type=
242.94948,2.9999999999999997e-05,150000000.0,3427.673,44576.006,5s25p2,3P,2.0,5s25p5d,3F°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3149&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3149&amp;type=
243.34768,2.9999999999999997e-05,800000.0,3427.673,44508.677,5s25p2,3P,2.0,5s25p5d,3D°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3149&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3149&amp;type=
245.52518,2.9999999999999997e-05,1100000.0,3427.673,44144.368,5s25p2,3P,2.0,5s25p5d,3D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3149&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3149&amp;type=
247.64015,4e-05,1100000.0,8612.955,48981.934,5s25p2,1D,2.0,5s25p5d,3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3149&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3149&amp;type=
248.34098,2.9999999999999997e-05,21000000.0,3427.673,43682.737,5s25p2,3P,2.0,5s25p5d,3F°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3149&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3149&amp;type=
249.57240,5e-05,62000000.0,8612.955,48669.409,5s25p2,1D,2.0,5s25p5d,3P°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3149&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3149&amp;type=
252.39066,4e-05,7400000.0,8612.955,48222.159,5s25p2,1D,2.0,5s25p7s,3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3149&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3149&amp;type=
