Wavelength,Unc.  (nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
251.3778+,0.0005,5300000.0,0.0,39768.79,4f13(2F°)6s2,2F°,7/2,4f12(1G4)5d5/26s2,"(4,5/2)",9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6708&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=6708&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
252.7020+,0.0005,14700000.0,0.0,39560.41,4f13(2F°)6s2,2F°,7/2,4f12(1G4)5d3/26s2,,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3042&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=3042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
252.7857+,0.002,6400000.0,0.0,39547.31,4f13(2F°)6s2,2F°,7/2,4f13(2F°7/2)5d6p(3F°2),"(7/2,2)",5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3042&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=3042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=3475&amp;type=
259.6491+,0.0005,14000000.0,0.0,38502.0,4f13(2F°)6s2,2F°,7/2,4f13(2F°7/2)6s7p,,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3042&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=3042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
260.1091+,0.0005,14900000.0,0.0,38433.92,4f13(2F°)6s2,2F°,7/2,4f13(2F°7/2)6s7p,,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3042&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=3042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
262.2464+,0.0005,5200000.0,0.0,38120.71,4f13(2F°)6s2,2F°,7/2,4f12(1G4)5d3/26s2,"(4,3/2)",9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3042&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=3042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
266.04203+,0.0005,460000.0,0.0,37576.866,4f13(2F°)6s2,2F°,7/2,4f13(2F°7/2)6s7p,,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3042&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=3042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
284.1124+,0.0005,14000000.0,8771.243,43958.23,4f13(2F°)6s2,2F°,5/2,4f13(2F°7/2)5d6p(3D°3),"(7/2,3)",5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3338&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=3338&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
285.4166+,0.0005,24200000.0,0.0,35026.22,4f13(2F°)6s2,2F°,7/2,4f13(2F°5/2)6s6p(1P°1),,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6708&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=6708&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
291.4839+,0.0005,9400000.0,0.0,34297.17,4f13(2F°)6s2,2F°,7/2,4f13(2F°5/2)6s6p(1P°1),"(5/2,1)",7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6708&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=6708&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
