Wavelength,Unc.  (nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
104.383497+,3e-06,59000000.0,0.0,95800.584,5p6,1S,0,5p5(2P°1/2)7s,2[1/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3180&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=3180&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9794&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=9794&amp;type=
106.81679+,0.0002,372000000.0,0.0,93618.24,5p6,1S,0,5p5(2P°1/2)5d,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6449&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=6449&amp;type=
107.858532+,0.0002,7600000.0,0.0,92714.038,5p6,1S,0,5p5(2P°3/2)7d,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3180&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=3180&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6449&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=6449&amp;type=
108.544295+,0.0002,42800000.0,0.0,92128.287,5p6,1S,0,5p5(2P°3/2)7d,2[1/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6449&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=6449&amp;type=
111.071428+,0.0002,150000000.0,0.0,90032.155,5p6,1S,0,5p5(2P°3/2)6d,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6449&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=6449&amp;type=
112.930835+,0.0002,4400000.0,0.0,88549.775,5p6,1S,0,5p5(2P°3/2)6d,2[1/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3180&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=3180&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6449&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=6449&amp;type=
117.041175+,0.0002,139000000.0,0.0,85440.017,5p6,1S,0,5p5(2P°3/2)7s,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6449&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=6449&amp;type=
119.203760+,0.0002,593000000.0,0.0,83889.971,5p6,1S,0,5p5(2P°3/2)5d,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6449&amp;comment_code=c110&amp;element=Xe&amp;spectr_charge=1&amp;ref=6449&amp;type=
125.020913+,0.0002,14900000.0,0.0,79986.618,5p6,1S,0,5p5(2P°3/2)5d,2[1/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6449&amp;comment_code=c110&amp;element=Xe&amp;spectr_charge=1&amp;ref=6449&amp;type=
129.558783+,0.0002,253000000.0,0.0,77185.041,5p6,1S,0,5p5(2P°1/2)6s,2[1/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6449&amp;comment_code=c110&amp;element=Xe&amp;spectr_charge=1&amp;ref=6449&amp;type=
146.96123+,0.0003,273000000.0,0.0,68045.156,5p6,1S,0,5p5(2P°3/2)6s,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7324&amp;comment_code=c110&amp;element=Xe&amp;spectr_charge=1&amp;ref=7324&amp;type=
379.63060+,0.001,160000.0,67067.547,93401.466,5p5(2P°3/2)6s,2[3/2]°,2,5p5(2P°3/2)5f,2[5/2],3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3269&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=3269&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4739&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=4739&amp;type=
419.35296+,0.0002,220000.0,67067.547,90907.09,5p5(2P°3/2)6s,2[3/2]°,2,5p5(2P°3/2)4f,2[5/2],3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3269&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=3269&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7292&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7292&amp;type=
420.3695+,0.0002,110000.0,67067.547,90849.44,5p5(2P°3/2)6s,2[3/2]°,2,5p5(2P°3/2)4f,2[3/2],2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3269&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=3269&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7292&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7292&amp;type=
