Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
76.551,0.018000000000000002,7600000.0,0.0,130632.0,3d104s2,1S,0.0,3d9(2D5/2)4s26p,2[3/2]°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=Zn&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=400&amp;comment_code=&amp;element=Zn&amp;spectr_charge=1&amp;ref=400&amp;type=
79.1998,0.0019,5700000.0,0.0,126263.0,3d104s2,1S,0.0,3d9(2D3/2)4s25p,2[3/2]°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=Zn&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=400&amp;comment_code=&amp;element=Zn&amp;spectr_charge=1&amp;ref=400&amp;type=
79.407,0.01,18000000.0,0.0,125933.0,3d104s2,1S,0.0,3d9(2D3/2)4s25p,2[1/2]°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=Zn&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=400&amp;comment_code=&amp;element=Zn&amp;spectr_charge=1&amp;ref=400&amp;type=
80.992,0.01,26000000.0,0.0,123469.0,3d104s2,1S,0.0,3d9(2D5/2)4s25p,2[3/2]°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=Zn&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=400&amp;comment_code=&amp;element=Zn&amp;spectr_charge=1&amp;ref=400&amp;type=
110.832,0.012,31000000.0,0.0,90227.0,3d104s2,1S,0.0,3d94s24p,3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=Zn&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=242&amp;comment_code=&amp;element=Zn&amp;spectr_charge=1&amp;ref=242&amp;type=
213.857354,9e-06,714000000.0,0.0,46745.4032,3d104s2,1S,0.0,3d104s4p,1P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7574&amp;comment_code=&amp;element=Zn&amp;spectr_charge=1&amp;ref=7574&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9761&amp;comment_code=&amp;element=Zn&amp;spectr_charge=1&amp;ref=9761&amp;type=
307.589703,1.9e-05,38000.0,0.0,32501.399,3d104s2,1S,0.0,3d104s4p,3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7574&amp;comment_code=&amp;element=Zn&amp;spectr_charge=1&amp;ref=7574&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9761&amp;comment_code=&amp;element=Zn&amp;spectr_charge=1&amp;ref=9761&amp;type=
328.232554,1.4999999999999999e-05,90000000.0,32311.3176,62768.7462,3d104s4p,3P°,0.0,3d104s4d,3D,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=Zn&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9761&amp;comment_code=&amp;element=Zn&amp;spectr_charge=1&amp;ref=9761&amp;type=
330.258290,1.6e-05,120000000.0,32501.399,62772.0144,3d104s4p,3P°,1.0,3d104s4d,3D,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=Zn&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9761&amp;comment_code=&amp;element=Zn&amp;spectr_charge=1&amp;ref=9761&amp;type=
330.293951,1.4000000000000001e-05,67000000.0,32501.399,62768.7462,3d104s4p,3P°,1.0,3d104s4d,3D,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=Zn&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9761&amp;comment_code=&amp;element=Zn&amp;spectr_charge=1&amp;ref=9761&amp;type=
