Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
90.83491,11600.0,0.0,110089.83,2p63s2,1S,0,3s3d,1D,2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=c41&amp;element=Al&amp;spectr_charge=2&amp;ref=&amp;type=E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6526&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=6526&amp;type=E2
104.78894,23300000.0,37393.03,132822.95,3s3p,3P°,0,3s5d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6298&amp;comment_code=c4&amp;element=Al&amp;spectr_charge=2&amp;ref=6298&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3460&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=3460&amp;type=
104.85583,17500000.0,37453.91,132822.95,3s3p,3P°,1,3s5d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6298&amp;comment_code=c4&amp;element=Al&amp;spectr_charge=2&amp;ref=6298&amp;type=,
104.85600,31400000.0,37453.91,132822.8,3s3p,3P°,1,3s5d,3D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6298&amp;comment_code=c4&amp;element=Al&amp;spectr_charge=2&amp;ref=6298&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3460&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=3460&amp;type=
104.99221,1160000.0,37577.79,132822.95,3s3p,3P°,2,3s5d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6298&amp;comment_code=c4&amp;element=Al&amp;spectr_charge=2&amp;ref=6298&amp;type=,
104.99228,41700000.0,37577.79,132822.89,3s3p,3P°,2,3s5d,3D,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6298&amp;comment_code=c4&amp;element=Al&amp;spectr_charge=2&amp;ref=6298&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3460&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=3460&amp;type=
104.99238,10400000.0,37577.79,132822.8,3s3p,3P°,2,3s5d,3D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6298&amp;comment_code=c4&amp;element=Al&amp;spectr_charge=2&amp;ref=6298&amp;type=,
116.98458,8370.0,0.0,85481.35,2p63s2,1S,0,3p2,1D,2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=c41&amp;element=Al&amp;spectr_charge=2&amp;ref=&amp;type=E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6526&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=6526&amp;type=E2
118.91848,82900000.0,37393.03,121484.252,3s3p,3P°,0,3s4d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6298&amp;comment_code=c4&amp;element=Al&amp;spectr_charge=2&amp;ref=6298&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3460&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=3460&amp;type=
119.00463,62200000.0,37453.91,121484.252,3s3p,3P°,1,3s4d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6298&amp;comment_code=c4&amp;element=Al&amp;spectr_charge=2&amp;ref=6298&amp;type=,
119.00510,112000000.0,37453.91,121483.92,3s3p,3P°,1,3s4d,3D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6298&amp;comment_code=c4&amp;element=Al&amp;spectr_charge=2&amp;ref=6298&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3460&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=3460&amp;type=
119.18033,4120000.0,37577.79,121484.252,3s3p,3P°,2,3s4d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6298&amp;comment_code=c4&amp;element=Al&amp;spectr_charge=2&amp;ref=6298&amp;type=,
119.18080,37000000.0,37577.79,121483.92,3s3p,3P°,2,3s4d,3D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6298&amp;comment_code=c4&amp;element=Al&amp;spectr_charge=2&amp;ref=6298&amp;type=,
119.18140,148000000.0,37577.79,121483.5,3s3p,3P°,2,3s4d,3D,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6298&amp;comment_code=c4&amp;element=Al&amp;spectr_charge=2&amp;ref=6298&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3460&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=3460&amp;type=
120.91915,25100000.0,37393.03,120092.919,3s3p,3P°,0,3s5s,3S,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6298&amp;comment_code=c4&amp;element=Al&amp;spectr_charge=2&amp;ref=6298&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3460&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=3460&amp;type=
121.00823,74700000.0,37453.91,120092.919,3s3p,3P°,1,3s5s,3S,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6298&amp;comment_code=c4&amp;element=Al&amp;spectr_charge=2&amp;ref=6298&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3460&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=3460&amp;type=
121.18990,124000000.0,37577.79,120092.919,3s3p,3P°,2,3s5s,3S,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6298&amp;comment_code=c4&amp;element=Al&amp;spectr_charge=2&amp;ref=6298&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3460&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=3460&amp;type=
135.01773,237000000.0,59852.02,133916.368,3s3p,1P°,1,3s5d,1D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6533&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=6533&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3460&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=3460&amp;type=
153.98329,670000000.0,59852.02,124794.13,3s3p,1P°,1,3s4d,1D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6533&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=6533&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3460&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=3460&amp;type=
162.56276,131000000.0,59852.02,121366.725,3s3p,1P°,1,3s5s,1S,0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6533&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=6533&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3460&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=3460&amp;type=
167.07874,1410000000.0,0.0,59852.02,2p63s2,1S,0,3s3p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=c47&amp;element=Al&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3460&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=3460&amp;type=
171.9442,655000000.0,37393.03,95551.44,3s3p,3P°,0,3s3d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=c47&amp;element=Al&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3460&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=3460&amp;type=
