Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
71.8089852,4e-07,950000000.0,0.0,139258.3389,3s23p5,2P°,3/2,3s23p4(3P)4s,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=997&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=997&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=16202&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=16202&amp;type=
72.3360560,4e-07,2300000000.0,0.0,138243.6444,3s23p5,2P°,3/2,3s23p4(3P)4s,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=997&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=997&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=16202&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=16202&amp;type=
72.5548530,4e-07,1900000000.0,1431.5831,139258.3389,3s23p5,2P°,1/2,3s23p4(3P)4s,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=997&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=997&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=16202&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=16202&amp;type=
73.0929708,4e-07,450000000.0,1431.5831,138243.6444,3s23p5,2P°,1/2,3s23p4(3P)4s,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=997&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=997&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1317&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=1317&amp;type=
73.7453699,5e-07,3800000.0,0.0,135601.7336,3s23p5,2P°,3/2,3s23p4(3P)4s,4P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=997&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=997&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=16202&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=16202&amp;type=
74.0269185,4e-07,31000000.0,0.0,135085.9958,3s23p5,2P°,3/2,3s23p4(3P)4s,4P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=997&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=997&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1317&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=1317&amp;type=
74.5322262,5e-07,7300000.0,1431.5831,135601.7336,3s23p5,2P°,1/2,3s23p4(3P)4s,4P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=997&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=997&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1317&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=1317&amp;type=
74.8198267,4e-07,5900000.0,1431.5831,135085.9958,3s23p5,2P°,1/2,3s23p4(3P)4s,4P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=997&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=997&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=16202&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=16202&amp;type=
91.978096,1e-05,140000000.0,0.0,108721.537,3s23p5,2P°,3/2,3s3p6,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1137&amp;comment_code=c62&amp;element=Ar&amp;spectr_charge=2&amp;ref=1137&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1317&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=1317&amp;type=
93.205371,1e-05,67000000.0,1431.5831,108721.537,3s23p5,2P°,1/2,3s3p6,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1137&amp;comment_code=c62&amp;element=Ar&amp;spectr_charge=2&amp;ref=1137&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1317&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=1317&amp;type=
231.774598,4e-06,14000000.0,148842.4674,191974.58,3s23p4(1D)4s,2D,5/2,3s23p4(1S)4p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=926&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=926&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11520&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=11520&amp;type=
269.2594235,2.4e-06,500000.0,135085.9958,172213.8798,3s23p4(3P)4s,4P,3/2,3s23p4(1D)4p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=926&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=926&amp;type=,
275.486713,4e-06,200000.0,134241.7389,170530.404,3s23p4(3P)4s,4P,5/2,3s23p4(1D)4p,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=926&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=926&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14821&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=14821&amp;type=
284.412859,3e-06,200000.0,138243.6444,173393.4658,3s23p4(3P)4s,2P,3/2,3s23p4(1D)4p,2D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=926&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=926&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14821&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=14821&amp;type=
284.781921,3e-06,300000.0,138243.6444,173347.9158,3s23p4(3P)4s,2P,3/2,3s23p4(1D)4p,2D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=926&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=926&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14821&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=14821&amp;type=
289.161218,4e-06,18200000.0,138243.6444,172816.2926,3s23p4(3P)4s,2P,3/2,3s23p4(1D)4p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=926&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=926&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11520&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=11520&amp;type=
293.259008,3e-06,800000.0,139258.3389,173347.9158,3s23p4(3P)4s,2P,1/2,3s23p4(1D)4p,2D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=926&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=926&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11520&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=11520&amp;type=
294.289308,3e-06,53000000.0,138243.6444,172213.8798,3s23p4(3P)4s,2P,3/2,3s23p4(1D)4p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=926&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=926&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11520&amp;comment_code=&amp;element=Ar&amp;spectr_charge=2&amp;ref=11520&amp;type=
