Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
84.20250,0.00021,97600000.0,0.0,118761.32,1s22s,2S,1/2,1s24p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6989&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=6989&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
84.20307,0.00021,97900000.0,0.0,118760.51,1s22s,2S,1/2,1s24p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6989&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=6989&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
103.6299,0.0003,172100000.0,0.0,96497.288,1s22s,2S,1/2,1s23p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6956&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=6956&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
103.6319,0.001,171900000.0,0.0,96495.36,1s22s,2S,1/2,1s23p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6956&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=6956&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
114.2956,0.0004,314000000.0,31928.744,119421.2,1s22p,2P°,1/2,1s24d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6962&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=6962&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
114.3038,0.0004,375000000.0,31935.32,119421.44,1s22p,2P°,3/2,1s24d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6962&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=6962&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
114.3042,0.0004,62700000.0,31935.32,119421.2,1s22p,2P°,3/2,1s24d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6962&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=6962&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
119.7093,0.001,48370000.0,31928.744,115464.44,1s22p,2P°,1/2,1s24s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6956&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=6956&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
119.7187,0.0004,96710000.0,31935.32,115464.44,1s22p,2P°,3/2,1s24s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6956&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=6956&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
151.2268,0.0012,921700000.0,31928.744,98054.57,1s22p,2P°,1/2,1s23d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6956&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=6956&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
151.2407,0.0012,1106000000.0,31935.32,98055.1,1s22p,2P°,3/2,1s23d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6956&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=6956&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
151.2419,0.0012,184300000.0,31935.32,98054.57,1s22p,2P°,3/2,1s23d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6956&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=6956&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
177.6099,0.0008,136100000.0,31928.744,88231.915,1s22p,2P°,1/2,1s23s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6956&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=6956&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
177.6306,0.0008,272200000.0,31935.32,88231.915,1s22p,2P°,3/2,1s23s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6956&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=6956&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
313.04219,5e-05,112920000.0,0.0,31935.32,1s22s,2S,1/2,1s22p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6820&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=6820&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
313.10667,4e-05,112850000.0,0.0,31928.744,1s22s,2S,1/2,1s22p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6820&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=6820&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
327.4587,0.001,14100000.0,88231.915,118761.32,1s23s,2S,1/2,1s24p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5118&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=5118&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
327.4674,0.001,14100000.0,88231.915,118760.51,1s23s,2S,1/2,1s24p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5118&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=5118&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
436.0665,0.001,90900000.0,96495.36,119421.2,1s23p,2P°,1/2,1s24d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5118&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=5118&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
436.0986,0.001,109000000.0,96497.288,119421.44,1s23p,2P°,3/2,1s24d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5118&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=5118&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
436.1032,0.001,18200000.0,96497.288,119421.2,1s23p,2P°,3/2,1s24d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5118&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=5118&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
467.3332,0.001,207000000.0,98054.57,119446.59,1s23d,2D,3/2,1s24f,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7409&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=7409&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
467.3420,0.001,221000000.0,98055.1,119446.72,1s23d,2D,5/2,1s24f,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7409&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=7409&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
467.3448,0.001,14700000.0,98055.1,119446.59,1s23d,2D,5/2,1s24f,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7409&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=7409&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
482.799,0.01,877000.0,98054.57,118761.32,1s23d,2D,3/2,1s24p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5118&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=5118&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
482.812,0.004,7870000.0,98055.1,118761.32,1s23d,2D,5/2,1s24p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5118&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=5118&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
482.818,0.004,8760000.0,98054.57,118760.51,1s23d,2D,3/2,1s24p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5118&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=5118&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
527.0270,0.002,32340000.0,96495.36,115464.44,1s23p,2P°,1/2,1s24s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6956&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=6956&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
527.0806,0.002,64660000.0,96497.288,115464.44,1s23p,2P°,3/2,1s24s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6956&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=6956&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
1 209.5358,0.002,12610000.0,88231.915,96497.288,1s23s,2S,1/2,1s23p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6956&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=6956&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
1 209.8180,0.002,12600000.0,88231.915,96495.36,1s23s,2S,1/2,1s23p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6956&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=6956&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
3 033.17,0.1,2760000.0,115464.44,118761.32,1s24s,2S,1/2,1s24p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5118&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=5118&amp;type=,
3 033.92,0.1,2750000.0,115464.44,118760.51,1s24s,2S,1/2,1s24p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5118&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=5118&amp;type=,
6 413.5,1.0,65780.0,96495.36,98054.57,1s23p,2P°,1/2,1s23d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6956&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=6956&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
6 419.3,1.0,78720.0,96497.288,98055.1,1s23p,2P°,3/2,1s23d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6956&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=6956&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
6 421.4,1.0,13110.0,96497.288,98054.57,1s23p,2P°,3/2,1s23d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6956&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=6956&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12158&amp;comment_code=&amp;element=Be&amp;spectr_charge=2&amp;ref=12158&amp;type=
15 135.7,1.0,21200.0,118760.51,119421.2,1s24p,2P°,1/2,1s24d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5118&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=5118&amp;type=,
15 148.8,1.0,25400.0,118761.32,119421.44,1s24p,2P°,3/2,1s24d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5118&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=5118&amp;type=,
15 154.3,1.0,4220.0,118761.32,119421.2,1s24p,2P°,3/2,1s24d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5118&amp;comment_code=LS&amp;element=Be&amp;spectr_charge=2&amp;ref=5118&amp;type=,
