Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
143.2503,101000000.0,13650.19,83458.08,3p63d,2D,3/2,3p66f,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u7&amp;element=Ca&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7256&amp;comment_code=&amp;element=Ca&amp;spectr_charge=2&amp;ref=7256&amp;type=
143.3749,7200000.0,13710.88,83458.08,3p63d,2D,5/2,3p66f,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u7&amp;element=Ca&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7256&amp;comment_code=&amp;element=Ca&amp;spectr_charge=2&amp;ref=7256&amp;type=
143.3749,107000000.0,13710.88,83458.08,3p63d,2D,5/2,3p66f,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u7&amp;element=Ca&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7256&amp;comment_code=&amp;element=Ca&amp;spectr_charge=2&amp;ref=7256&amp;type=
155.3176,159000000.0,13650.19,78034.39,3p63d,2D,3/2,3p65f,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u7&amp;element=Ca&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7256&amp;comment_code=&amp;element=Ca&amp;spectr_charge=2&amp;ref=7256&amp;type=
155.4642,169000000.0,13710.88,78034.39,3p63d,2D,5/2,3p65f,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u7&amp;element=Ca&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7256&amp;comment_code=&amp;element=Ca&amp;spectr_charge=2&amp;ref=7256&amp;type=
155.4642,11300000.0,13710.88,78034.39,3p63d,2D,5/2,3p65f,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u7&amp;element=Ca&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7256&amp;comment_code=&amp;element=Ca&amp;spectr_charge=2&amp;ref=7256&amp;type=
164.2803,140000.0,13650.19,74521.75,3p63d,2D,3/2,3p66p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u7&amp;element=Ca&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7256&amp;comment_code=&amp;element=Ca&amp;spectr_charge=2&amp;ref=7256&amp;type=
164.3798,1400000.0,13650.19,74484.92,3p63d,2D,3/2,3p66p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u7&amp;element=Ca&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7256&amp;comment_code=&amp;element=Ca&amp;spectr_charge=2&amp;ref=7256&amp;type=
164.4443,1300000.0,13710.88,74521.75,3p63d,2D,5/2,3p66p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u7&amp;element=Ca&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7256&amp;comment_code=&amp;element=Ca&amp;spectr_charge=2&amp;ref=7256&amp;type=
180.7337,41200000.0,25191.51,80521.53,3p64p,2P°,1/2,3p66d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u7&amp;element=Ca&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7256&amp;comment_code=&amp;element=Ca&amp;spectr_charge=2&amp;ref=7256&amp;type=
